"matrix","grouping","level","n","method","r","slope"
"raw","condition","GLOBAL",36,"spearman",0.969673472147476,56306.6198120319
"raw","condition","GLOBAL",36,"pearson",0.68392656307258,56306.6198120319
"raw","myTime","GLOBAL",36,"spearman",0.969673472147476,56306.6198120319
"raw","myTime","GLOBAL",36,"pearson",0.68392656307258,56306.6198120319
"raw","myResistance","GLOBAL",36,"spearman",0.969673472147476,56306.6198120319
"raw","myResistance","GLOBAL",36,"pearson",0.68392656307258,56306.6198120319
"log2raw","condition","GLOBAL",36,"spearman",-0.652658438167757,-0.177640298272651
"log2raw","condition","GLOBAL",36,"pearson",-0.326338929778093,-0.177640298272651
"log2raw","myTime","GLOBAL",36,"spearman",-0.652658438167757,-0.177640298272651
"log2raw","myTime","GLOBAL",36,"pearson",-0.326338929778093,-0.177640298272651
"log2raw","myResistance","GLOBAL",36,"spearman",-0.652658438167757,-0.177640298272651
"log2raw","myResistance","GLOBAL",36,"pearson",-0.326338929778093,-0.177640298272651
"sizeFactor","condition","GLOBAL",36,"spearman",-0.659265419941247,-0.180970250324328
"sizeFactor","condition","GLOBAL",36,"pearson",-0.32904430715529,-0.180970250324328
"sizeFactor","myTime","GLOBAL",36,"spearman",-0.659265419941247,-0.180970250324328
"sizeFactor","myTime","GLOBAL",36,"pearson",-0.32904430715529,-0.180970250324328
"sizeFactor","myResistance","GLOBAL",36,"spearman",-0.659265419941247,-0.180970250324328
"sizeFactor","myResistance","GLOBAL",36,"pearson",-0.32904430715529,-0.180970250324328
"rlog_blind","condition","GLOBAL",36,"spearman",-0.00413696695316863,-0.000718481200564319
"rlog_blind","condition","GLOBAL",36,"pearson",-0.00426047032650636,-0.000718481200564319
"rlog_blind","myTime","GLOBAL",36,"spearman",-0.00413696695316863,-0.000718481200564319
"rlog_blind","myTime","GLOBAL",36,"pearson",-0.00426047032650636,-0.000718481200564319
"rlog_blind","myResistance","GLOBAL",36,"spearman",-0.00413696695316863,-0.000718481200564319
"rlog_blind","myResistance","GLOBAL",36,"pearson",-0.00426047032650636,-0.000718481200564319
"rlog_design","condition","GLOBAL",36,"spearman",0.146179610093644,0.0101246776008044
"rlog_design","condition","GLOBAL",36,"pearson",0.0406687472614625,0.0101246776008044
"rlog_design","myTime","GLOBAL",36,"spearman",0.146179610093644,0.0101246776008044
"rlog_design","myTime","GLOBAL",36,"pearson",0.0406687472614625,0.0101246776008044
"rlog_design","myResistance","GLOBAL",36,"spearman",0.146179610093644,0.0101246776008044
"rlog_design","myResistance","GLOBAL",36,"pearson",0.0406687472614625,0.0101246776008044
"vst_blind","condition","GLOBAL",36,"spearman",-0.0141292832382687,0.00655777449786485
"vst_blind","condition","GLOBAL",36,"pearson",0.020632058676415,0.00655777449786485
"vst_blind","myTime","GLOBAL",36,"spearman",-0.0141292832382687,0.00655777449786485
"vst_blind","myTime","GLOBAL",36,"pearson",0.020632058676415,0.00655777449786485
"vst_blind","myResistance","GLOBAL",36,"spearman",-0.0141292832382687,0.00655777449786485
"vst_blind","myResistance","GLOBAL",36,"pearson",0.020632058676415,0.00655777449786485
"vst_design","condition","GLOBAL",36,"spearman",0.131123493962555,0.0190743534166737
"vst_design","condition","GLOBAL",36,"pearson",0.0640777202125898,0.0190743534166737
