"matrix","grouping","level","n","method","r","slope"
"raw","condition","GLOBAL",36,"spearman",0.969673472147476,56306.6198120319
"raw","condition","Rpv12.0",3,"spearman",0.949597576199459,16134.0356654983
"raw","condition","Rpv12.1.0",3,"spearman",0.954795014496777,7629.143878361
"raw","condition","Rpv12.1.24",3,"spearman",0.920005589802515,84106.6269752931
"raw","condition","Rpv12.1.3.0",3,"spearman",0.967934527948033,32672.9403064787
"raw","condition","Rpv12.1.3.24",3,"spearman",0.951449671607487,28461.977618612
"raw","condition","Rpv12.1.3.6",3,"spearman",0.97271855649414,45228.0933465686
"raw","condition","Rpv12.1.6",3,"spearman",0.943856846431152,66743.0905199555
"raw","condition","Rpv12.24",3,"spearman",0.989500221474599,17346.1795413884
"raw","condition","Rpv12.6",3,"spearman",0.964563825669388,46208.3386051749
"raw","condition","Susceptible.0",3,"spearman",0.912003817612773,26968.5014510928
"raw","condition","Susceptible.24",3,"spearman",0.913349068840762,52183.8543646727
"raw","condition","Susceptible.6",3,"spearman",0.967623811406232,2455.89488151253
"raw","condition","GLOBAL",36,"pearson",0.68392656307258,56306.6198120319
"raw","condition","Rpv12.0",3,"pearson",0.579538170436168,16134.0356654983
"raw","condition","Rpv12.1.0",3,"pearson",0.668712521334531,7629.143878361
"raw","condition","Rpv12.1.24",3,"pearson",0.594340651333799,84106.6269752931
"raw","condition","Rpv12.1.3.0",3,"pearson",0.784787241873406,32672.9403064787
"raw","condition","Rpv12.1.3.24",3,"pearson",0.661636798995206,28461.977618612
"raw","condition","Rpv12.1.3.6",3,"pearson",0.820711617102946,45228.0933465686
"raw","condition","Rpv12.1.6",3,"pearson",0.60054031409619,66743.0905199555
"raw","condition","Rpv12.24",3,"pearson",0.830702405367159,17346.1795413884
"raw","condition","Rpv12.6",3,"pearson",0.551524564571786,46208.3386051749
"raw","condition","Susceptible.0",3,"pearson",0.611426955889618,26968.5014510928
"raw","condition","Susceptible.24",3,"pearson",0.625419022172326,52183.8543646727
"raw","condition","Susceptible.6",3,"pearson",0.589620395068465,2455.89488151253
"raw","myTime","GLOBAL",36,"spearman",0.969673472147476,56306.6198120319
"raw","myTime","0",12,"spearman",0.967986374592277,48306.036516665
"raw","myTime","6",12,"spearman",0.970472953386084,56435.9055016759
"raw","myTime","24",12,"spearman",0.966101094425006,56066.0485402535
"raw","myTime","GLOBAL",36,"pearson",0.68392656307258,56306.6198120319
"raw","myTime","0",12,"pearson",0.697221886531749,48306.036516665
"raw","myTime","6",12,"pearson",0.711740806177521,56435.9055016759
"raw","myTime","24",12,"pearson",0.623274602526623,56066.0485402535
"raw","myResistance","GLOBAL",36,"spearman",0.969673472147476,56306.6198120319
"raw","myResistance","Rpv1",9,"spearman",0.980437061290924,40215.9069820815
"raw","myResistance","Rpv1.12",9,"spearman",0.961934542419572,56616.8541076091
"raw","myResistance","Rpv1.12.3",9,"spearman",0.975730319108221,36159.2668441968
"raw","myResistance","Susceptible",9,"spearman",0.957251776626487,27782.5540899287
"raw","myResistance","GLOBAL",36,"pearson",0.68392656307258,56306.6198120319
"raw","myResistance","Rpv1",9,"pearson",0.521578580852577,40215.9069820815
"raw","myResistance","Rpv1.12",9,"pearson",0.612781962501397,56616.8541076091
"raw","myResistance","Rpv1.12.3",9,"pearson",0.797717795240658,36159.2668441968
"raw","myResistance","Susceptible",9,"pearson",0.720085336839974,27782.5540899287
"log2raw","condition","GLOBAL",36,"spearman",-0.652658438167757,-0.177640298272651
"log2raw","condition","Rpv12.0",3,"spearman",-0.364724136000826,-0.0776732406560805
"log2raw","condition","Rpv12.1.0",3,"spearman",-0.362195739620736,-0.0857253076826968
"log2raw","condition","Rpv12.1.24",3,"spearman",-0.362608196499512,-0.191520392455824
"log2raw","condition","Rpv12.1.3.0",3,"spearman",-0.237275339950692,-0.0943365055062629
"log2raw","condition","Rpv12.1.3.24",3,"spearman",-0.388779550794044,-0.125254483429035
"log2raw","condition","Rpv12.1.3.6",3,"spearman",-0.231325016801043,-0.0882290036931666
"log2raw","condition","Rpv12.1.6",3,"spearman",-0.338857531971212,-0.109991509144459
"log2raw","condition","Rpv12.24",3,"spearman",-0.281989205928745,-0.0628242028587951
"log2raw","condition","Rpv12.6",3,"spearman",-0.331246257376834,-0.117908713067594
"log2raw","condition","Susceptible.0",3,"spearman",-0.390144243075703,-0.156476298735127
"log2raw","condition","Susceptible.24",3,"spearman",-0.362990752627549,-0.134148348948284
"log2raw","condition","Susceptible.6",3,"spearman",-0.51903282222504,-0.0732192025284426
"log2raw","condition","GLOBAL",36,"pearson",-0.326338929778093,-0.177640298272651
"log2raw","condition","Rpv12.0",3,"pearson",-0.446519658128959,-0.0776732406560805
"log2raw","condition","Rpv12.1.0",3,"pearson",-0.428122481511608,-0.0857253076826968
"log2raw","condition","Rpv12.1.24",3,"pearson",-0.239700231491462,-0.191520392455824
"log2raw","condition","Rpv12.1.3.0",3,"pearson",-0.390741194745865,-0.0943365055062629
"log2raw","condition","Rpv12.1.3.24",3,"pearson",-0.253495428587128,-0.125254483429035
"log2raw","condition","Rpv12.1.3.6",3,"pearson",-0.329362208140059,-0.0882290036931666
"log2raw","condition","Rpv12.1.6",3,"pearson",-0.268619725097797,-0.109991509144459
