"matrix","condition","mean_of_gene_means","mean_of_gene_variances","spearman_r","pearson_r"
"rlog+ComBat_protected","Rpv12.0",7.37373329390123,0.0449598557125879,-0.0444257640027619,-0.0520885880510848
"rlog+ComBat_unprotected","Rpv12.0",7.36442461000608,0.0431514418222543,-0.0529870418012847,-0.0580603524821879
"SF+ComBat_protected","Rpv12.0",7.49824597455111,0.316239851166719,-0.377623240175801,-0.460521106253542
"SF+ComBat_unprotected","Rpv12.0",7.46603956384574,0.30586191517661,-0.379324461994535,-0.458883774734006
"rlog+ComBat_protected","Rpv12.1.0",7.37524218775453,0.0450198090065039,-0.135831534376112,-0.0446279927561352
"rlog+ComBat_unprotected","Rpv12.1.0",7.36416613073631,0.0424130416454036,-0.148785852810277,-0.0490120891846823
"SF+ComBat_protected","Rpv12.1.0",7.51823922559803,0.302037546749549,-0.443062156285284,-0.447146515778677
"SF+ComBat_unprotected","Rpv12.1.0",7.48443288443231,0.291103748547205,-0.451032880777068,-0.447681716763603
"rlog+ComBat_protected","Rpv12.1.24",7.29052063281076,0.149521433598164,-0.0130920605227627,-0.00187304788380685
"rlog+ComBat_unprotected","Rpv12.1.24",7.29041854119001,0.179261012438337,-0.00823993303266743,-0.000285676504819362
"SF+ComBat_protected","Rpv12.1.24",7.31771051105577,0.649681706305882,-0.481846549426349,-0.283416944909383
"SF+ComBat_unprotected","Rpv12.1.24",7.31619723598149,0.753525871686124,-0.474582734964362,-0.277495161402028
"rlog+ComBat_protected","Rpv12.1.3.0",7.1820766468665,0.0489643316967156,-0.0541386668096635,-0.0816593482502888
"rlog+ComBat_unprotected","Rpv12.1.3.0",7.18314941879945,0.0464588216185106,-0.0580102270215579,-0.0863014605948224
"SF+ComBat_protected","Rpv12.1.3.0",7.06251731366662,0.393550370209537,-0.296106711473589,-0.397848513506649
"SF+ComBat_unprotected","Rpv12.1.3.0",7.06918976657651,0.376274554406455,-0.295319163481024,-0.398569768386243
"rlog+ComBat_protected","Rpv12.1.3.24",7.22605347593286,0.0583504229076105,-0.106368583433249,-0.0344998514988286
"rlog+ComBat_unprotected","Rpv12.1.3.24",7.23042815161783,0.0679489350603859,-0.0904801811151538,-0.0277784305858774
"SF+ComBat_protected","Rpv12.1.3.24",7.20527278988241,0.338922576272958,-0.570437958973395,-0.365143218448713
"SF+ComBat_unprotected","Rpv12.1.3.24",7.21078503359917,0.382497914372423,-0.558953853070498,-0.33890688619936
"rlog+ComBat_protected","Rpv12.1.3.6",7.16967376556718,0.122655989615254,0.0163840829352258,-0.0372819160258475
"rlog+ComBat_unprotected","Rpv12.1.3.6",7.16907530036412,0.116492442749918,0.00733618074885458,-0.0383097410564463
"SF+ComBat_protected","Rpv12.1.3.6",7.05940337185765,0.55671200076379,-0.470582410274476,-0.342463236379456
"SF+ComBat_unprotected","Rpv12.1.3.6",7.05649742629033,0.561077288627357,-0.478957661932479,-0.35338803184927
"rlog+ComBat_protected","Rpv12.1.6",7.26121014390005,0.0825933018863872,-0.0476759990957116,-0.015679287145841
"rlog+ComBat_unprotected","Rpv12.1.6",7.25948862489377,0.0839334202130176,-0.0470545618732028,-0.0231469133540041
"SF+ComBat_protected","Rpv12.1.6",7.26155891216386,0.441526211599642,-0.518891296307436,-0.31395642222536
"SF+ComBat_unprotected","Rpv12.1.6",7.25652818743614,0.455279548402086,-0.520064869005828,-0.331594283831394
"rlog+ComBat_protected","Rpv12.24",7.30297713749974,0.0208708661015578,-0.26137572690917,-0.18378654906553
"rlog+ComBat_unprotected","Rpv12.24",7.30764687054009,0.0229615317514257,-0.250415986295358,-0.175478990675917
"SF+ComBat_protected","Rpv12.24",7.33960569634295,0.213753173800872,-0.541934365937024,-0.506838310703747
"SF+ComBat_unprotected","Rpv12.24",7.35768676305585,0.230892813749415,-0.540210853518185,-0.499968747071394
"rlog+ComBat_protected","Rpv12.6",7.24002313489394,0.102343519174444,-0.00143916060966516,-0.000959830363152988
"rlog+ComBat_unprotected","Rpv12.6",7.24312105946031,0.137145776559757,0.0209542076036837,0.00137362382675356
"SF+ComBat_protected","Rpv12.6",7.21166198394638,0.49440653554845,-0.506097616775477,-0.328371813422148
"SF+ComBat_unprotected","Rpv12.6",7.21540869362095,0.619232500694646,-0.47681418153509,-0.268816356107101
"rlog+ComBat_protected","Susceptible.0",7.28973191863931,0.113681939920787,-0.106762101079296,-0.0181616413941442
"rlog+ComBat_unprotected","Susceptible.0",7.29187676643746,0.135378470152747,-0.0802950672024096,-0.0117583111359342
"SF+ComBat_protected","Susceptible.0",7.31915514192164,0.56883719381301,-0.558935211747056,-0.345269294047451
"SF+ComBat_unprotected","Susceptible.0",7.32638051216719,0.66468882000494,-0.521231001926187,-0.324886916832771
"rlog+ComBat_protected","Susceptible.24",7.3084374448202,0.20092972592675,0.00169765694901351,-0.00657772384641718
"rlog+ComBat_unprotected","Susceptible.24",7.31038493311512,0.211107003304396,-0.00694239434874713,-0.0021980129006549
"SF+ComBat_protected","Susceptible.24",7.35076588381963,0.805093893521513,-0.464696238714601,-0.269574507006955
"SF+ComBat_unprotected","Susceptible.24",7.35511114290092,0.836105669136273,-0.450802108844217,-0.261381511844388
"rlog+ComBat_protected","Susceptible.6",7.32608503788831,0.0174591163937493,-0.398787235529601,-0.258608350051617
"rlog+ComBat_unprotected","Susceptible.6",7.32978746049592,0.0191580265999408,-0.388190246036396,-0.243591286990489
"SF+ComBat_protected","Susceptible.6",7.39985044545448,0.19961893965269,-0.612061559938088,-0.526170017742231
"SF+ComBat_unprotected","Susceptible.6",7.4163952273528,0.215150791683796,-0.611392372306961,-0.51975572560686
