ID	both_ok_Perc	Forw_ok_perc	Reverse_ok_perc	dropped_perc	total_filtered_read_pairs	uniquely_mapped_reads	NCBI_sample_name	genotype	time	replicate
A11	97.23	1.22	1.25	0.3	22186259	94.29	Rpv12_0hpi_A	Rpv12	0	A
A12	95.13	3.07	1.25	0.55	24397706	91.29	Rpv12_6hpi_A	Rpv12	6	A
A14	87.99	9.84	1.52	0.64	24317152	85.07	Rpv12_24hpi_A	Rpv12	24	A
A21	95.41	2.6	1.59	0.4	27961276	92.81	Rpv12+1_0hpi_A	Rpv12+1	0	A
A22	94.39	3.68	1.37	0.55	22180971	92.93	Rpv12+1_6hpi_A	Rpv12+1	6	A
A24	92.05	6.09	1.33	0.52	25532728	92.6	Rpv12+1_24hpi_A	Rpv12+1	24	A
A31	95.74	1.95	1.86	0.46	23426677	94.77	Rpv12+1+3_0hpi_A	Rpv12+1+3	0	A
A32	95.72	1.98	1.84	0.47	21785921	94.09	Rpv12+1+3_6hpi_A	Rpv12+1+3	6	A
A34	91.72	6.4	1.37	0.5	29166745	86.87	Rpv12+1+3_24hpi_A	Rpv12+1+3	24	A
A41	90.88	6.97	1.63	0.52	23871074	86.67	Control_0hpi_A	susceptible	0	A
A42	93.88	3.81	1.79	0.52	22780987	91.1	Control_6hpi_A	susceptible	6	A
A44	95.46	2.34	1.75	0.44	23258976	86.11	Control_24hpi_A	susceptible	24	A
B11	95.47	2.61	1.58	0.35	22106463	92.06	Rpv12_0hpi_B	Rpv12	0	B
B12	95.46	2.41	1.68	0.45	32433742	93.4	Rpv12_6hpi_B	Rpv12	6	B
B14	90.11	7.73	1.48	0.68	34967328	83.54	Rpv12_24hpi_B	Rpv12	24	B
B21	95.57	2.33	1.69	0.41	20893802	92.46	Rpv12+1_0hpi_B	Rpv12+1	0	B
B22	94.17	3.71	1.57	0.54	27365786	94.58	Rpv12+1_6hpi_B	Rpv12+1	6	B
B24	94.76	3.2	1.46	0.59	27051052	94.29	Rpv12+1_24hpi_B	Rpv12+1	24	B
B31	94.66	2.96	1.87	0.5	27290253	94.32	Rpv12+1+3_0hpi_B	Rpv12+1+3	0	B
B32	95.81	1.94	1.82	0.43	23076471	95.12	Rpv12+1+3_6hpi_B	Rpv12+1+3	6	B
B34	92.47	5.76	1.36	0.41	24631566	84.52	Rpv12+1+3_24hpi_B	Rpv12+1+3	24	B
B41	95.04	2.74	1.83	0.39	19152642	95.3	Control_0hpi_B	susceptible	0	B
B42	93.38	4.32	1.79	0.5	26388859	90.98	Control_6hpi_B	susceptible	6	B
B44	93.92	3.9	1.68	0.5	25524958	89.81	Control_24hpi_B	susceptible	24	B
C11	96.11	1.84	1.67	0.38	27411382	94.42	Rpv12_0hpi_C	Rpv12	0	C
C12	94.96	2.92	1.75	0.38	19867476	92.62	Rpv12_6hpi_C	Rpv12	6	C
C14	89.62	8.34	1.52	0.52	21289776	84.41	Rpv12_24hpi_C	Rpv12	24	C
C21	95.47	2.37	1.66	0.5	20710775	93.2	Rpv12+1_0hpi_C	Rpv12+1	0	C
C22	95.83	1.97	1.72	0.47	26053128	94.6	Rpv12+1_6hpi_C	Rpv12+1	6	C
C24	95.53	2.46	1.53	0.47	26565768	94.56	Rpv12+1_24hpi_C	Rpv12+1	24	C
C31	94.8	2.92	1.77	0.51	20970923	94.26	Rpv12+1+3_0hpi_C	Rpv12+1+3	0	C
C32	95.54	2.7	1.31	0.46	35494981	93.4	Rpv12+1+3_6hpi_C	Rpv12+1+3	6	C
C34	95.5	2.33	1.7	0.47	23658928	94.39	Rpv12+1+3_24hpi_C	Rpv12+1+3	24	C
C41	95.57	2.51	1.53	0.39	21666678	90.38	Control_0hpi_C	susceptible	0	C
C42	97.26	1.32	1.11	0.3	25388454	92.9	Control_6hpi_C	susceptible	6	C
C44	93.02	5.04	1.44	0.5	23854220	87.44	Control_24hpi_C	susceptible	24	C
