run_accession	sample_title	url_R1	url_R2
ERR2987432	0h_mock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2987432/ERR2987432_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2987432/ERR2987432_2.fastq.gz
ERR2987443	0h_mock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2987443/ERR2987443_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2987443/ERR2987443_2.fastq.gz
ERR2987454	0h_mock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2987454/ERR2987454_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2987454/ERR2987454_2.fastq.gz
ERR2987435	12h_mock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2987435/ERR2987435_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2987435/ERR2987435_2.fastq.gz
ERR2987446	12h_mock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2987446/ERR2987446_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2987446/ERR2987446_2.fastq.gz
ERR2987457	12h_mock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987457/ERR2987457_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987457/ERR2987457_2.fastq.gz
ERR2987436	12h_inoculated	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2987436/ERR2987436_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2987436/ERR2987436_2.fastq.gz
ERR2987447	12h_inoculated	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987447/ERR2987447_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987447/ERR2987447_2.fastq.gz
ERR2987458	12h_inoculated	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987458/ERR2987458_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987458/ERR2987458_2.fastq.gz
ERR2987437	24h_mock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987437/ERR2987437_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987437/ERR2987437_2.fastq.gz
ERR2987448	24h_mock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987448/ERR2987448_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987448/ERR2987448_2.fastq.gz
ERR2987459	24h_mock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2987459/ERR2987459_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2987459/ERR2987459_2.fastq.gz
ERR2987438	24h_inoculated	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987438/ERR2987438_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987438/ERR2987438_2.fastq.gz
ERR2987449	24h_inoculated	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2987449/ERR2987449_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2987449/ERR2987449_2.fastq.gz
