run_accession	fastq_ftp	fastq_md5
ERR2987437	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987437/ERR2987437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987437/ERR2987437_2.fastq.gz	5f4283a865622a02b33e40636d7d5387;32f17eaaf8e79616b9761de1b3277594
ERR2987448	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987448/ERR2987448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987448/ERR2987448_2.fastq.gz	4a2e7270b83d8a8cab184c8a1cec7ebb;4a6e77532175ecb0c7d4fd0eeeff5650
ERR2987458	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987458/ERR2987458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987458/ERR2987458_2.fastq.gz	4092b9da7321e99e200ef6c18f651e6d;5408db143a02464e0c4dec6c3c7d48fc
ERR2987460	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/000/ERR2987460/ERR2987460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/000/ERR2987460/ERR2987460_2.fastq.gz	a1c8bf0f34565c599856798240b911b5;6c59a19e64ba2b96688541924b8200d6
ERR2987464	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2987464/ERR2987464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2987464/ERR2987464_2.fastq.gz	b40f7fad883ca117db38a80a25965e18;9202cbcf2e9c5953f4e87f9b784f69bc
ERR2987432	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2987432/ERR2987432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2987432/ERR2987432_2.fastq.gz	59fa43d8ec4ed69ec3938e87685a3b1c;ae358fc71fbf76d1e6bbb4ad481ac015
ERR2987439	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2987439/ERR2987439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2987439/ERR2987439_2.fastq.gz	509726e633b21b002bc734c6a25982d9;e067714ba110761321215fb31e451bac
ERR2987441	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/001/ERR2987441/ERR2987441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/001/ERR2987441/ERR2987441_2.fastq.gz	fbda01bf0fa2ba337cd05d0b5903e064;4b85157da03549f16c3bde3cf7e577d4
ERR2987444	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2987444/ERR2987444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2987444/ERR2987444_2.fastq.gz	1de0656cb71adde7d0b27f8ba527c6aa;e85fdf465ea224dad27731e0ee9e2799
ERR2987446	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2987446/ERR2987446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2987446/ERR2987446_2.fastq.gz	dcb3d28b385cc0db361d1fdc86b49cdb;d1d4fae506ec3d062a686276391c3a95
ERR2987451	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/001/ERR2987451/ERR2987451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/001/ERR2987451/ERR2987451_2.fastq.gz	d7c492f3375548c016c3f6f50fb5c800;fcf52e3904dec3b57708ecc087862223
ERR2987457	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987457/ERR2987457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987457/ERR2987457_2.fastq.gz	0406e4eb6b27ac52012fb69bf33777db;cc3947efe2e154a9c2a78f40a34fe948
ERR2987462	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2987462/ERR2987462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2987462/ERR2987462_2.fastq.gz	45b7ec39e7777a2e5660ce4d9a5afa29;d96a2c044b7a5adae3edc75b21b8317c
ERR2987463	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2987463/ERR2987463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2987463/ERR2987463_2.fastq.gz	9fe9552002de75045ecbd762a12d03c3;6c2bc7c0678099cf2818bde1c3fd64f1
ERR2987434	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2987434/ERR2987434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2987434/ERR2987434_2.fastq.gz	8ce7cf75ade7ae64c7e5085f6becfa0a;d0eda610d3d6ed0f4afff533e3e19527
ERR2987435	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2987435/ERR2987435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2987435/ERR2987435_2.fastq.gz	6091a942203a866f67ed7884cb6cb802;937ae5dc3255af05211c0dcf3d52f7d7
ERR2987443	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2987443/ERR2987443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2987443/ERR2987443_2.fastq.gz	cf1da13cd501d5a480eb1d2aed8d9604;55337971b4d79ebea03fefcf1935781a
ERR2987447	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987447/ERR2987447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2987447/ERR2987447_2.fastq.gz	f3aa7bbbd8e953051a64ddba3d6659f9;dcc73fc8e934e3d5e1a358188d8e413f
ERR2987450	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/000/ERR2987450/ERR2987450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/000/ERR2987450/ERR2987450_2.fastq.gz	690bf8c85dfd348c94d25adbd4bb5dc6;22b25c20d7c96108756ba225e192e458
ERR2987452	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2987452/ERR2987452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2987452/ERR2987452_2.fastq.gz	4bf8da25958b517990a85fd38c29c5f9;61c7d096800ff659a57d63531b85f89c
ERR2987453	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2987453/ERR2987453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2987453/ERR2987453_2.fastq.gz	a5c09ae623a1df2b68d1e9d521e29b35;ca00a8d0922e4b53c803a1e88efd1aaa
ERR2987454	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2987454/ERR2987454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2987454/ERR2987454_2.fastq.gz	5f98157636b7c3172014570a4e2021ae;90c9b345b35b80b7eb8a19d0ce63576b
ERR2987456	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2987456/ERR2987456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2987456/ERR2987456_2.fastq.gz	ba39afa6e2785753f138ab9939267cb5;fd316dd976801899442d23e751f70b87
ERR2987461	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/001/ERR2987461/ERR2987461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/001/ERR2987461/ERR2987461_2.fastq.gz	61169d54bb95484ade535545a02f6386;7df68f9a9f36fcd144094d6efa0c686e
ERR2987442	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2987442/ERR2987442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2987442/ERR2987442_2.fastq.gz	ef76fba4ca4170d2d059f6fc4dc505b4;b009456c0f990217e351931191664b4b
ERR2987445	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2987445/ERR2987445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2987445/ERR2987445_2.fastq.gz	82d56209b0423d81b79935736f3aeae7;93e0c86cac8fea4826ae2149b9cff0d4
ERR2987455	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2987455/ERR2987455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2987455/ERR2987455_2.fastq.gz	bd116dc00e432041c9b11689200b62c7;7117736f0567f5e93126076ba66252cf
ERR2987433	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2987433/ERR2987433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2987433/ERR2987433_2.fastq.gz	917e35af53b93f4ec93bfba5286a27b9;ce493b53862df1cd6e1e4aecccb3310b
ERR2987436	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2987436/ERR2987436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2987436/ERR2987436_2.fastq.gz	234cd40c520ec71f61bd76b9c3b1cf22;34126ae1690d44115b9b2eed64ce7312
ERR2987438	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987438/ERR2987438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2987438/ERR2987438_2.fastq.gz	4b02e055cbf77cc8367ceaf85138ed30;6cd18a4e1ba47c1332d31c9d20bf6bd1
ERR2987440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/000/ERR2987440/ERR2987440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/000/ERR2987440/ERR2987440_2.fastq.gz	d7579dc45ba2a72c9a4007cf57ec5e02;1a5293ebc2060d4e1fa4ba904264cf76
ERR2987449	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2987449/ERR2987449.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2987449/ERR2987449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2987449/ERR2987449_2.fastq.gz	c767ef2d7e7f0774ef45aaa539c25f71;c8722cd55cc577faea31743bebcb394a;7c8c1e9431a7ce28338914f1cca68e5a
