ID	Both_Surviving_Read_Percent	Forward_Only_Surviving_Read_Percent	Reverse_Only_Surviving_Read_Percent	Dropped_Read_Percent
ERR2987432_summary.txt		93.40	4.16	1.31	1.13
ERR2987433_summary.txt		95.02	3.06	1.06	0.86
ERR2987435_summary.txt		94.09	3.77	1.20	0.93
ERR2987436_summary.txt		93.53	3.91	1.42	1.15
ERR2987437_summary.txt		94.91	2.82	1.24	1.03
ERR2987438_summary.txt		95.33	2.75	1.06	0.86
ERR2987439_summary.txt		93.86	3.96	1.19	1.00
ERR2987440_summary.txt		94.56	3.19	1.22	1.03
ERR2987441_summary.txt		94.84	3.13	1.08	0.95
ERR2987442_summary.txt		93.50	4.25	1.25	0.99
ERR2987443_summary.txt		94.07	3.87	1.16	0.90
ERR2987444_summary.txt		95.18	2.91	1.05	0.86
ERR2987446_summary.txt		93.95	3.83	1.25	0.97
ERR2987447_summary.txt		94.09	3.63	1.31	0.97
ERR2987448_summary.txt		94.67	2.90	1.35	1.09
ERR2987449_summary.txt		95.06	2.95	1.15	0.84
ERR2987450_summary.txt		93.99	3.23	1.68	1.09
ERR2987451_summary.txt		95.01	2.91	1.13	0.96
ERR2987452_summary.txt		94.95	3.16	1.05	0.84
ERR2987453_summary.txt		94.85	2.98	1.19	0.98
ERR2987454_summary.txt		94.13	3.27	1.46	1.14
ERR2987457_summary.txt		94.88	3.09	1.16	0.87
ERR2987458_summary.txt		94.91	3.04	1.19	0.87
ERR2987459_summary.txt		94.78	2.95	1.22	1.04
ERR2987460_summary.txt		95.03	2.93	1.11	0.93
ERR2987461_summary.txt		94.51	3.36	1.19	0.94
ERR2987462_summary.txt		94.94	3.07	1.09	0.90
ERR2987463_summary.txt		95.09	2.95	1.07	0.89
ERR2987464_summary.txt		94.60	3.31	1.17	0.92
