"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","DE_primary","contrast"
"Vitvi01g04017",96.3578029110813,1.38179023812649,1.19457562922908,0.365431509705475,4.12114818895106,3.76988826323957e-05,0.030140882784095,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi10g01684",246.882191443746,2.43189691446522,2.2520387939211,0.472144227814586,5.35928085955745,8.35538751284118e-08,0.000310681159019145,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi11g00039",24.0046026979402,2.63196845153826,2.2412386041491,0.729875182474095,3.94243048557791,8.06600326206628e-05,0.0499868146601941,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi11g00165",1161.6370351739,1.53243285692282,1.36287233120566,0.364348339533727,4.50349002610686,6.68465064653833e-06,0.00877262093672177,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi12g02237",416.482151348477,1.19245694556568,1.12847852941101,0.196166307020649,6.24705152808967,4.18273104504464e-10,2.33291824037365e-06,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi13g01977",64.5608414706026,2.70705544153377,2.51372862104228,0.514727230853352,5.48981756744417,4.02349098428828e-08,0.000179528167718943,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi13g01979",73.560739863473,2.50188034315128,2.38102638292314,0.390052008035947,6.53354373040993,6.42314275314122e-11,4.77667716075269e-07,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi14g00510",55.4092123956672,1.84752146512072,1.69383845588862,0.379118764961215,5.0801272748366,3.77182081942784e-07,0.00120213317830622,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi15g00362",164.331706030366,1.30290000583122,1.17693605043446,0.28891126215431,4.76840750822866,1.85687888189603e-06,0.00419252579033141,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi15g00715",20.3790673835949,1.94416216946322,1.65732503226854,0.534752545235286,3.94801727215092,7.88011205473426e-05,0.0499868146601941,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi16g01150",29.4059166923459,3.12888426647735,2.8340744714165,0.683025746099628,4.88594020654331,1.02936437040165e-06,0.00287063988795759,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi18g00202",45.1975256559121,1.42432762936464,1.24529616177226,0.361129488613981,4.2416485906526,2.21883914039947e-05,0.0215227396618749,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi18g02061",22.0645763637981,3.86930181687064,3.4800838702565,0.870005154329167,4.6283339259321,3.68619298223458e-06,0.00632607426412719,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi07g01644",3423.82608165102,1.15651903444893,1.0360108916689,0.268865042738724,4.5827324028239,4.58939193361056e-06,0.00715725442510019,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi08g00801",419.614447084388,1.26643649793439,1.12490145447421,0.30280880652683,4.47124476314817,7.77656329085395e-06,0.00963861816771954,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi09g01655",21.6767265080295,3.05092010661128,2.75947077557439,0.669403218689055,4.69992693398895,2.60254590311512e-06,0.00527843628168166,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi09g01664",143.793107573171,2.10795904304267,2.00829844425873,0.325565289660313,6.65045807028706,2.92182232161804e-11,3.25929279976492e-07,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi09g01665",153.187568160077,2.5621873717878,2.49259044998604,0.299975279038591,8.70937548299326,3.05553546283067e-18,6.81689961757522e-14,TRUE,"12hpi_proxy_for_6hpi"
"Vitvi00g04564",851.368627449188,1.22452500097201,1.06232531811963,0.320227486985092,4.16352849006738,3.13366903878079e-05,0.0279648625020797,TRUE,"12hpi_proxy_for_6hpi"
