"run_accession","hpi","treatment","bioreplicate"
"ERR2987432",0,"mock","bio1"
"ERR2987433",120,"mock","bio1"
"ERR2987435",12,"mock","bio1"
"ERR2987436",12,"inoculated","bio1"
"ERR2987437",24,"mock","bio1"
"ERR2987438",24,"inoculated","bio1"
"ERR2987439",48,"mock","bio1"
"ERR2987440",48,"inoculated","bio1"
"ERR2987441",96,"mock","bio1"
"ERR2987442",96,"inoculated","bio1"
"ERR2987443",0,"mock","bio2"
"ERR2987444",120,"mock","bio2"
"ERR2987446",12,"mock","bio2"
"ERR2987447",12,"inoculated","bio2"
"ERR2987448",24,"mock","bio2"
"ERR2987449",24,"inoculated","bio2"
"ERR2987450",48,"mock","bio2"
"ERR2987451",48,"inoculated","bio2"
"ERR2987452",96,"mock","bio2"
"ERR2987453",96,"inoculated","bio2"
"ERR2987454",0,"mock","bio3"
"ERR2987457",12,"mock","bio3"
"ERR2987458",12,"inoculated","bio3"
"ERR2987459",24,"mock","bio3"
"ERR2987460",24,"inoculated","bio3"
"ERR2987461",48,"mock","bio3"
"ERR2987462",48,"inoculated","bio3"
"ERR2987463",96,"mock","bio3"
"ERR2987464",96,"inoculated","bio3"
