gene,Athal_common_name_or_homolog,Chitarrini_24hpi_inocVsMock_log2FC,Chitarrini_24hpi_inocVsMock_padj,Own_Rpv12vsSusc_24hpi_log2FC,Own_Rpv12vsSusc_24hpi_padj,same_direction
Vitvi00g04555,NA,-1.21,0.00147197818944227,-3.57,4.7921945166748e-05,True
Vitvi00g04799,ASAT1,-1.01,0.000208800979888228,-1.43,0.00194854633271742,True
Vitvi01g01919,NA,-1.02,0.0121612799514828,2.94,0.00027210336482832,False
Vitvi01g04056,NA,1.25,0.00254912873836899,-2.39,0.000190770923449598,False
Vitvi02g01323,DIR5,1.72,8.90678035119692e-08,-1.8,0.0126916232374829,False
Vitvi02g01408,OSM34,1.0,0.010787148947398,-5.57,5.74908362955137e-07,False
Vitvi03g00752,PR1,1.26,0.000330205827551024,-1.22,0.0429642820713274,False
Vitvi03g01651,PRB1,2.46,4.24551026744572e-07,-3.24,0.00046932239713329,False
Vitvi04g00021,NA,1.08,7.41636367081664e-05,-1.41,0.0119463079291846,False
Vitvi04g00644,NA,1.36,0.000491150677064433,-1.36,0.00856107079815383,False
Vitvi04g01941,NA,1.16,0.000367247474694494,-3.2,1.42317811337063e-09,False
Vitvi05g01843,NA,-1.44,0.000982365820702561,1.16,0.00523799156674768,False
Vitvi06g01917,BG3,1.08,0.000163844545342145,-4.2,5.60939820001456e-08,False
Vitvi07g00130,GA1,3.37,2.24659721281692e-28,-3.59,0.00226379301900371,False
Vitvi07g03194,NA,1.06,0.0387923190202321,-1.97,0.00288377879624007,False
Vitvi09g01664,BCB,1.08,0.0103092952065605,-2.75,6.68123803198486e-05,False
Vitvi09g01665,BCB,1.79,1.32648835938625e-05,-2.7,0.000306311126294877,False
Vitvi10g00399,NDA2,-1.46,1.05835498232246e-11,-3.84,8.87790101755935e-06,True
Vitvi10g01684,NA,1.74,5.25073461082543e-07,-2.58,8.89651671749599e-05,False
Vitvi10g04223,TPS14,-2.11,0.000685865844481676,-3.21,0.0106146810315838,True
Vitvi10g04623,TT4,-1.42,3.15510218177951e-07,-2.61,0.000440488041147677,True
Vitvi12g02307,NA,-1.38,0.00108041637627948,-1.29,0.0136394781547479,True
Vitvi13g01779,UPM1,1.13,0.0109199249333889,1.78,3.9544719962157e-09,True
Vitvi13g01979,NA,1.73,0.000607039136783658,-2.01,0.0046071240015559,False
Vitvi13g01980,NA,1.63,6.44323545517048e-06,-1.6,0.0161473042407499,False
Vitvi13g02104,NA,1.41,6.43591736312694e-05,-1.85,0.00047051904474365,False
Vitvi14g00169,GSTU8,-1.35,0.000321428534533266,1.73,0.0303196228547919,False
Vitvi14g00193,SRC2,-1.14,1.22671947091591e-06,-1.83,0.000595451327977988,True
Vitvi14g00564,ERF1,-1.26,0.0242416305987856,-1.25,0.0489777350402973,True
Vitvi14g01688,CYP96A1,-1.0,0.00332542753759509,6.99,0.0001155312627522,False
Vitvi14g03037,MMP,1.74,1.84636828372325e-05,-4.19,1.61188733177848e-05,False
Vitvi16g01695,RLP6,1.49,0.00896790536344794,-1.4,0.0082386428782996,False
Vitvi17g00203,NA,1.03,0.013259245672443,-2.39,2.4246505492138e-05,False
Vitvi18g00262,ILL6,-1.05,0.000180235381782384,-1.53,6.84395470680608e-05,True
Vitvi18g01262,NA,1.01,0.000321428534533266,-3.16,0.000586152677576865,False
Vitvi18g02476,CRL1,-1.13,0.000606253393889253,2.77,4.60843085666992e-07,False
Vitvi18g02761,JMT,-1.88,0.000189425699195121,-2.98,1.28418404860014e-07,True
