"gene","annotation","own_log2FC","chit_log2FC","same_direction"
"Vitvi00g04594",NA,1.91,2.29,TRUE
"Vitvi00g04688",NA,1.32,1.47,TRUE
"Vitvi00g04728","EMB3113",-6.51,-1.38,TRUE
"Vitvi00g04777",NA,-1.62,-1.06,TRUE
"Vitvi01g00192","RHA2B",-1.21,-2.43,TRUE
"Vitvi01g00203","PHO1;H1",-1.99,-1.68,TRUE
"Vitvi01g00300","ENDO2",-1.4,-1.12,TRUE
"Vitvi01g00329",NA,-1.52,-1.33,TRUE
"Vitvi01g01027",NA,-1.04,-1.03,TRUE
"Vitvi01g01265","GSO1",1.52,1.54,TRUE
"Vitvi01g01902","RHA2A",-1.31,-1.39,TRUE
"Vitvi01g01923",NA,-2.2,-1.72,TRUE
"Vitvi01g01997",NA,2.09,1.13,TRUE
"Vitvi01g04109",NA,1.21,1,TRUE
"Vitvi01g04468",NA,-1.55,-1.03,TRUE
"Vitvi02g00114","WRKY41",-1.49,-1.88,TRUE
"Vitvi02g00228","HB-12",-1.08,-1.9,TRUE
"Vitvi02g00260","SBT3.3",1.74,1.03,TRUE
"Vitvi02g01118",NA,-1.72,-1.59,TRUE
"Vitvi02g01121",NA,-1.21,-1.63,TRUE
"Vitvi02g01126",NA,-1.06,-2.64,TRUE
"Vitvi02g01286","NCED4",-1.09,-1.4,TRUE
"Vitvi03g00119",NA,1.44,2.36,TRUE
"Vitvi03g00325","RL1",-1.95,-1.68,TRUE
"Vitvi03g00353",NA,3.37,1.28,TRUE
"Vitvi03g00630","STZ",-1.53,-1.38,TRUE
"Vitvi03g01185","ABCG11",-1.89,-1.68,TRUE
"Vitvi03g01500",NA,-1.36,-1.02,TRUE
"Vitvi03g01695","AK-LYS1",1.46,1.06,TRUE
"Vitvi03g04055","ROC5",-1.14,-1.38,TRUE
"Vitvi03g04194",NA,1.05,2.21,TRUE
"Vitvi03g04266",NA,2.18,1.1,TRUE
"Vitvi04g00094","ATBFRUCT1",2.77,2.57,TRUE
"Vitvi04g00095","ATBFRUCT1",2.53,1.1,TRUE
"Vitvi04g00423","ABCG40",1.55,1.88,TRUE
"Vitvi04g01309","RL6",-1.66,-2.12,TRUE
"Vitvi04g01338",NA,-1.61,-1.45,TRUE
"Vitvi04g02017","OXS3",1.4,1.75,TRUE
"Vitvi04g04314",NA,-1.52,-1.1,TRUE
"Vitvi05g00041","ATL2",-1.32,-2.12,TRUE
"Vitvi05g00551",NA,-1.08,-2.08,TRUE
"Vitvi05g00885",NA,-1.06,-1.27,TRUE
"Vitvi05g01193","SPS3F",-1.35,-1.1,TRUE
"Vitvi05g01351",NA,-8,-6,TRUE
"Vitvi05g01981","arpc2b",1.09,1.7,TRUE
"Vitvi05g04092",NA,2.36,1.94,TRUE
"Vitvi06g00143","BGLU13",3.6,4.65,TRUE
"Vitvi06g00266",NA,-1.84,-1.37,TRUE
"Vitvi06g00397","EXO70H2",-1.11,-1.01,TRUE
"Vitvi06g00639","CAX3",-1.14,-1.35,TRUE
"Vitvi06g00667",NA,-1.93,-1.28,TRUE
"Vitvi06g00810","CRF4",-1.12,-1.22,TRUE
"Vitvi06g01530",NA,-2.13,-1.11,TRUE
"Vitvi06g01546","CAF1a",-1.06,-1.52,TRUE
"Vitvi06g01594",NA,-2.46,-1.32,TRUE
"Vitvi06g01682","ZAT11",-2.18,-1.37,TRUE
"Vitvi06g04066",NA,3,2.44,TRUE
"Vitvi07g00259",NA,-1.03,-3.6,TRUE
"Vitvi07g00283","GSTF8",-1.21,-1.62,TRUE
"Vitvi07g01737","MAPKKK21",-1.75,-2.23,TRUE
"Vitvi07g02650",NA,-2.11,-1.03,TRUE
"Vitvi07g02681",NA,1.52,1.01,TRUE
"Vitvi07g04167",NA,-8.89,-1.21,TRUE
"Vitvi07g04467",NA,1.24,1.51,TRUE
"Vitvi08g00086",NA,-3.47,-1.16,TRUE
"Vitvi08g00827",NA,-1.29,-1.08,TRUE
"Vitvi08g00935","KIN10",1.23,1.23,TRUE
"Vitvi08g01777",NA,-4,-2.77,TRUE
"Vitvi08g02226","GSTU8",1.53,1.24,TRUE
"Vitvi08g02253","ABA2",2.08,3.89,TRUE
"Vitvi09g00035","GLIP1",2.45,2.85,TRUE
"Vitvi09g00046",NA,1.46,1.53,TRUE
"Vitvi09g00937","RLP15",1.43,1.51,TRUE
"Vitvi10g00020","GA2OX8",-1.27,-2.87,TRUE
"Vitvi10g00567","SAG12",-2.73,-1,TRUE
"Vitvi10g00652",NA,1.03,1.23,TRUE
"Vitvi10g00826","JAZ8",-2.23,-1.2,TRUE
"Vitvi10g01016","FAH1",1.01,1.72,TRUE
"Vitvi10g01046",NA,5.31,1.79,TRUE
"Vitvi10g02309",NA,-1.28,-1,TRUE
"Vitvi10g04223","TPS14",-3.61,-2.72,TRUE
"Vitvi11g00046",NA,-1.4,-1.21,TRUE
"Vitvi11g00074","TT7",-3.42,-1.94,TRUE
"Vitvi11g00192",NA,-1.06,-1.78,TRUE
"Vitvi11g00231","MIOX4",2.04,1.47,TRUE
"Vitvi11g00238","NUDT8",-2.8,-1.31,TRUE
"Vitvi11g00261",NA,-1.36,-1.09,TRUE
"Vitvi11g00285","TINY2",-1.04,-1.44,TRUE
"Vitvi11g00749",NA,1.15,1.47,TRUE
"Vitvi11g01325",NA,-1.35,-1.54,TRUE
"Vitvi12g00153",NA,4.9,1.8,TRUE
