"gene","annotation","own_log2FC","chit_log2FC","same_direction"
"Vitvi01g00499","FKF1",2.33,1.57,TRUE
"Vitvi01g00593",NA,-1.22,-1.32,TRUE
"Vitvi01g01038","NAP",2.66,2.79,TRUE
"Vitvi01g01048",NA,4.49,2.21,TRUE
"Vitvi01g01711",NA,2.09,1.31,TRUE
"Vitvi01g01958",NA,1.99,2.74,TRUE
"Vitvi01g02275",NA,-1.3,-1.06,TRUE
"Vitvi02g00226","CYP78A6",3.43,1.06,TRUE
"Vitvi02g00416",NA,-1.27,-1.72,TRUE
"Vitvi02g00605","CT-BMY",2.49,1.06,TRUE
"Vitvi02g01358",NA,-1.5,-1.28,TRUE
"Vitvi03g00047","COR27",2.8,2.65,TRUE
"Vitvi03g00426","MEE14",1.64,3.32,TRUE
"Vitvi03g00509","NIR1",1.89,1.23,TRUE
"Vitvi03g00995","NIC1",1.38,3.03,TRUE
"Vitvi03g01388","PRP2",-1.31,-1.6,TRUE
"Vitvi03g01573","COR27",2.13,3.19,TRUE
"Vitvi03g01763","COPT2",-1.01,-1.57,TRUE
"Vitvi03g04087","SAUR68",-1.07,-2.26,TRUE
"Vitvi04g00479","SHN3",-1.99,-1.97,TRUE
"Vitvi04g01220","CML41",-1.11,-1.22,TRUE
"Vitvi04g01550","YLS2",1.78,1.3,TRUE
"Vitvi04g04438",NA,2.47,1.16,TRUE
"Vitvi05g00108","BZIP53",2,1.07,TRUE
"Vitvi05g00357","BMY3",1.06,1.36,TRUE
"Vitvi05g00839","IIL1",4.2,1.01,TRUE
"Vitvi05g01768","VEP1",3.85,1.5,TRUE
"Vitvi06g00505","PCL1",1.4,3.6,TRUE
"Vitvi06g00761",NA,-1.23,-2.79,TRUE
"Vitvi06g01410",NA,-1.12,-1.55,TRUE
"Vitvi06g04093",NA,-1.21,-1.08,TRUE
"Vitvi07g00164","EDL3",2.67,2.24,TRUE
"Vitvi07g01255","GLC",-1.39,-2.08,TRUE
"Vitvi07g01844","CYP96A10",-1.51,-1.6,TRUE
"Vitvi07g02185","SRC2",1.74,1.52,TRUE
"Vitvi07g02681",NA,2.21,3.21,TRUE
"Vitvi07g03030","RAP2.4",1.06,2.03,TRUE
"Vitvi07g04167",NA,-1.78,-1.26,TRUE
"Vitvi08g00219",NA,2.13,1.48,TRUE
"Vitvi08g00761","FER4",2.58,2.31,TRUE
"Vitvi08g00768","PYL4",1.31,1.78,TRUE
"Vitvi08g00853","LP1",-1.9,-2.07,TRUE
"Vitvi08g04123","FER4",1.71,3.1,TRUE
"Vitvi08g04221","AS1",-1.56,-1.77,TRUE
"Vitvi10g00049","RbcX1",3.4,2.91,TRUE
"Vitvi10g00219","BBX8",1.17,3.18,TRUE
"Vitvi10g00562",NA,-1.7,-2.25,TRUE
"Vitvi10g00656",NA,2.83,1.03,TRUE
"Vitvi10g00902","AAT1",1.38,1.89,TRUE
"Vitvi10g01384",NA,4.08,1.93,TRUE
"Vitvi11g00040",NA,-1.13,-1.85,TRUE
"Vitvi11g01675","XTR6",-1.31,-2,TRUE
"Vitvi12g00086",NA,1.08,2.85,TRUE
"Vitvi12g00248","FLA9",-1.55,-1.37,TRUE
"Vitvi12g01881",NA,4.16,1.62,TRUE
"Vitvi12g02064","MAPKKK15",2.52,2.16,TRUE
"Vitvi12g02389","OMT1",2.76,1.4,TRUE
"Vitvi12g02681",NA,-1.16,-1.45,TRUE
"Vitvi12g02724",NA,3.28,2.61,TRUE
"Vitvi12g04201",NA,2.44,3.83,TRUE
"Vitvi12g04208",NA,1.69,3.23,TRUE
"Vitvi12g04594",NA,3.5,2.45,TRUE
"Vitvi13g00432","UGT85A1",-1.34,-1.86,TRUE
"Vitvi13g00683",NA,1.89,2.93,TRUE
"Vitvi13g01686",NA,-1.03,-1.24,TRUE
"Vitvi13g01903","ASG8",-1.43,-1.6,TRUE
"Vitvi13g01913","LTP3",-1.59,-1.1,TRUE
"Vitvi13g04261",NA,2.05,1.43,TRUE
"Vitvi14g00973",NA,2.08,1.95,TRUE
"Vitvi14g01283",NA,1.26,1.51,TRUE
"Vitvi14g01487","BBX12",1.64,1.64,TRUE
"Vitvi14g01525",NA,1.89,1.91,TRUE
"Vitvi14g01735","TRP1",-1.42,-1.44,TRUE
"Vitvi14g01808","DOX1",3.9,1.38,TRUE
"Vitvi14g01856",NA,-1.11,-1.07,TRUE
"Vitvi14g04415",NA,-1.18,-1.08,TRUE
"Vitvi15g00789",NA,-1.13,-1.13,TRUE
"Vitvi15g00921","RABA3",-1.61,-1.2,TRUE
"Vitvi15g01217","LBD1",1.93,1.33,TRUE
"Vitvi15g01514","CYP76C1",1.48,1.08,TRUE
"Vitvi15g01629",NA,-1.35,-1.49,TRUE
"Vitvi15g04438","CYP76C4",1.37,4.81,TRUE
"Vitvi16g00970","IQD24",-1.15,-1.35,TRUE
"Vitvi16g00985",NA,3.16,1.48,TRUE
"Vitvi16g01164","SLAH3",2.03,2.5,TRUE
"Vitvi17g00148",NA,1.29,1.03,TRUE
"Vitvi17g00601","GASA6",-1.53,-1.03,TRUE
"Vitvi17g00975","BT1",1.86,1.4,TRUE
"Vitvi17g01373",NA,1.73,1.49,TRUE
"Vitvi17g04078",NA,-1.35,-1.02,TRUE
"Vitvi17g04091","CYP71B10",-1.85,-1.42,TRUE
"Vitvi18g00018",NA,-1.37,-1.07,TRUE
"Vitvi18g00316",NA,-1.46,-1.14,TRUE
"Vitvi18g00427","UGT85A1",6.19,4.84,TRUE
"Vitvi18g00430","UGT85A3",4.56,2.88,TRUE
"Vitvi18g00480","PUP3",2.41,1.23,TRUE
"Vitvi18g00789","COR27",2.29,3.12,TRUE
"Vitvi18g01123",NA,1.57,1.02,TRUE
"Vitvi18g01678","ERF1-3",3.78,1.27,TRUE
"Vitvi18g01980",NA,1.4,1.53,TRUE
"Vitvi18g02327",NA,-1.05,-1.33,TRUE
"Vitvi18g02494","CYP87A2",3.93,1.92,TRUE
"Vitvi18g02754",NA,2.44,1.4,TRUE
"Vitvi18g04066",NA,-1.23,-2.03,TRUE
"Vitvi18g04174","DEAR2",2.15,3.57,TRUE
"Vitvi18g04176","PAB8",6.61,1.81,TRUE
"Vitvi19g00164",NA,2.66,1.08,TRUE
"Vitvi19g00775",NA,1.39,1.82,TRUE
"Vitvi19g01484","NAC1",3.43,2.34,TRUE
"Vitvi19g04139",NA,-1.53,-1,TRUE
"Vitvi02g00451","OZS1",1.19,-2.16,FALSE
"Vitvi02g01286","NCED4",1.23,-1.65,FALSE
"Vitvi02g01317",NA,1.57,-1.89,FALSE
"Vitvi02g01427","CYP706A6",1.38,-1.31,FALSE
"Vitvi03g00251",NA,-1.76,1.26,FALSE
"Vitvi03g00312",NA,6.01,-1.16,FALSE
"Vitvi03g00557","UGT84A1",1.68,-1.25,FALSE
"Vitvi04g00118",NA,1.39,-1.16,FALSE
"Vitvi05g01947",NA,3.88,-1.01,FALSE
"Vitvi05g02090",NA,1.77,-2.18,FALSE
"Vitvi05g02096",NA,4,-3.47,FALSE
"Vitvi06g00138","RLK1",2.37,-1.92,FALSE
"Vitvi07g00154","IPT3",1.22,-1.19,FALSE
"Vitvi07g01408","CLA1",1.07,-1.52,FALSE
"Vitvi07g01719",NA,-1.15,1.37,FALSE
"Vitvi08g01260","ChlAKR",1.15,-1.4,FALSE
"Vitvi09g00308",NA,1.88,-2.7,FALSE
"Vitvi10g00451",NA,-1.92,2.48,FALSE
"Vitvi11g00924","C4H",-1.22,1.29,FALSE
"Vitvi11g01643",NA,1.78,-1.51,FALSE
"Vitvi12g00193","TTL3",-1.03,1.1,FALSE
"Vitvi12g00429",NA,1.34,-1.84,FALSE
"Vitvi12g00462",NA,-1.04,1.53,FALSE
"Vitvi12g00478",NA,1.46,-2.89,FALSE
"Vitvi12g02353",NA,-1.77,1.02,FALSE
"Vitvi13g00126",NA,1.59,-1.59,FALSE
"Vitvi13g01722","LOG3",1.79,-1.64,FALSE
"Vitvi13g04750",NA,-1.66,1.16,FALSE
"Vitvi14g00445",NA,-1.17,2.26,FALSE
"Vitvi14g04547",NA,-1.19,1.43,FALSE
"Vitvi15g00960","FOP1",4.67,-2.38,FALSE
"Vitvi16g00878","SBT1.3",-1.25,1.33,FALSE
"Vitvi16g01021","SHOC1",2.28,-1.21,FALSE
"Vitvi17g04255",NA,2.34,-1.01,FALSE
"Vitvi18g01510",NA,2.93,-2.75,FALSE
"Vitvi18g02066","cpHsc70-2",1.32,-1.59,FALSE
"Vitvi19g00140","TCP4",1.01,-1.08,FALSE
