"","DEGs","genotype","timing","direction"
"1","125","Rpv12","0","Down"
"2","713","Rpv12","6","Down"
"3","258","Rpv12","24","Down"
"4","246","Rpv12","0","Up"
"5","130","Rpv12","6","Up"
"6","341","Rpv12","24","Up"
"7","49","Rpv12+1","0","Down"
"8","749","Rpv12+1","6","Down"
"9","14","Rpv12+1","24","Down"
"10","126","Rpv12+1","0","Up"
"11","394","Rpv12+1","6","Up"
"12","19","Rpv12+1","24","Up"
"13","296","Rpv12+1+3","0","Down"
"14","1421","Rpv12+1+3","6","Down"
"15","148","Rpv12+1+3","24","Down"
"16","152","Rpv12+1+3","0","Up"
"17","396","Rpv12+1+3","6","Up"
"18","119","Rpv12+1+3","24","Up"
