"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","contrast"
"Vitvi14g00668",1586.18302192233,7.10578928445235,7.07866711896498,0.270679808678566,26.0663257424798,8.78629450695299e-150,2.12004500158269e-145,2.05808056504452e-111,5.17483777274795e-107,7.80200717642529e-113,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi09g01592",1319.12350099015,5.80478021673935,5.77348476206847,0.266634447572165,21.7192083454222,1.35086743695653e-104,1.6297540193162e-100,1.45924958449766e-72,1.83456857763045e-68,7.01742001028508e-73,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi18g04646",349.800421484365,5.11077820493477,5.06557807211876,0.323781463390378,15.8341733910447,1.80819733554726e-56,1.45433311698066e-52,1.86562865914663e-37,1.52463428341044e-33,2.18303456097832e-37,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi15g01247",1047.70838963293,3.50778651709987,3.47919771578168,0.22717736068805,15.277786882962,1.07530912772423e-52,6.48653348571447e-49,4.50444714751739e-28,1.13259819077177e-24,3.96087240342488e-29,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi00g04449",431.192404629011,5.73080342010175,5.67324773330141,0.374858192706293,15.216033036077,2.76815120807835e-52,1.33585440999445e-48,1.73180371017247e-36,8.7088944977153e-33,7.13980511159993e-37,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi12g04597",563.172656042939,6.89331080765709,6.81121992633956,0.458079590746158,14.873098457334,4.92788407924121e-50,1.98174858246685e-46,2.42544429432142e-37,1.52463428341044e-33,3.92565707393119e-38,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi12g04563",250.397708439849,-8.33899448559101,-8.23805981142009,0.61072905392753,-13.5702842408055,6.00885662185878e-42,2.07125287755472e-38,3.53333123056673e-33,1.48070134102283e-29,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi18g01959",205.744192164665,6.32787325971077,6.24041636962553,0.466922025264249,13.3137083525415,1.92675830391677e-40,5.81134388940095e-37,1.82653002713843e-29,5.10291900026317e-26,1.30531646675057e-30,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi11g00286",421.584134395832,-5.22754953658748,-5.16320961797451,0.408138999459132,-13.157806851434,1.53476379850005e-39,4.11470174377863e-36,9.62405203961845e-27,2.19988331349242e-23,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi14g02707",681.35117560579,1.96504290392549,1.9455990844869,0.151743894557292,13.1120996283472,2.80717694264751e-39,6.77343724491419e-36,5.99650265730188e-11,1.47819669426665e-08,1.12476286309948e-11,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi13g04706",900.109303159414,-2.64552363995058,-2.61623290855735,0.205390303135672,-12.9892022306589,1.40887967118932e-38,3.09044159873883e-35,3.25637237156223e-16,2.27439519196002e-13,1.93099603433225e-16,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi18g04660",217.321042314486,5.69511903017285,5.60978465605941,0.447971216266337,12.5667741751442,3.21579345840969e-36,6.46615669649729e-33,1.88112043995051e-25,3.63837633400889e-22,2.78529960927869e-26,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi03g00610",403.403796088796,2.62694100154597,2.59353413282619,0.210404412838831,12.5383675333963,4.60381667208313e-36,8.5450378831303e-33,4.07017310377253e-15,2.2742318338057e-12,1.57350659713514e-15,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi18g01980",183.894601017101,5.3511512520835,5.27438190050928,0.422655692385851,12.5284170772885,5.21940158211794e-36,8.99563862678027e-33,1.13138209987799e-24,1.89649810128881e-21,1.87009210661111e-25,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi12g04354",58.6832931839494,-21.5848273768008,-7.22715817315028,3.5139450949143,-12.4747635361898,1.02510059976136e-35,1.64897682477612e-32,6.14700194740965e-33,2.20800309950954e-29,0.00864156978077028,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi09g04416",99.6014200168754,4.55450860778546,4.48954173452132,0.366849820350012,12.2865029139111,1.07037116810922e-34,1.61418661970671e-31,4.45379659557994e-22,6.58742715289776e-19,5.85212824413638e-23,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
