"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","contrast"
"Vitvi14g00668",1586.18302192233,7.35743237742787,7.31833797377224,0.321526683604348,22.7363906686568,1.95675403419038e-114,4.82065923863142e-110,3.11968154438137e-86,8.16077495194724e-82,2.35940027091442e-87,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi09g01592",1319.12350099015,6.0270268352385,5.99693437911211,0.279261299929162,21.575118845221,3.07688896933787e-103,3.79011183243039e-99,1.05862248087752e-72,1.38462527386376e-68,5.10589524492132e-73,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi10g01585",2445.40316547127,-5.49355092269398,-5.46238279299577,0.287419512142604,-18.8160067230776,5.5837674176002e-79,4.58538980333328e-75,9.41990253502443e-54,8.21384101379013e-50,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi14g02707",681.35117560579,2.30343905449671,2.28552174043683,0.15330692951501,15.2539193737458,1.55040531493175e-52,9.54894633466463e-49,3.02280408102914e-18,2.82405471270147e-15,1.38863073307203e-18,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi18g04646",349.800421484365,5.2651590556519,5.21482410334769,0.363999699122676,14.4894787392641,1.41210351291594e-47,6.95771642883942e-44,4.0923768323796e-32,1.52932122226026e-28,2.35693505888108e-32,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi12g04563",250.397708439849,-8.18654242647646,-8.09729192864026,0.571313427254121,-14.2119321044908,7.72639801092927e-46,3.17245902328756e-42,5.05158836217374e-36,3.30361249915257e-32,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi01g01990",3253.53670087597,-6.27605732148525,-6.21312010947858,0.432265633369323,-14.167903559692,1.44757804309543e-45,5.0946475242427e-42,5.22056820764828e-33,2.27608072906452e-29,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi15g01247",1047.70838963293,3.21060807694388,3.17805392363984,0.231325226495565,13.9727387939533,2.28661338836215e-44,7.04162592946124e-41,3.26970763990679e-22,5.34576763452011e-19,1.23847292935988e-22,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi00g04449",431.192404629011,5.81882490725393,5.74347164127961,0.423330052391348,13.8230949466951,1.84944067459307e-43,5.0625356065861e-40,1.20994312710558e-30,3.95636278274437e-27,1.22445204193606e-30,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi12g01939",2171.35288391684,5.26985966272751,5.20611027105168,0.394643021710733,13.7683462193774,3.95155544908661e-43,9.73505200436977e-40,3.35858887084579e-29,7.98702966113229e-26,4.55853341104481e-28,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi05g04506",288.555861360031,-5.72501171948681,-5.6625798735121,0.419987280786084,-13.6566196049916,1.84344643761796e-42,4.1286496761051e-39,9.1047312225541e-30,2.38170664050793e-26,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi03g00610",403.403796088796,2.9415359860582,2.91278850760909,0.223121942328874,13.2848446738738,2.8344600044841e-40,5.81914638920585e-37,9.04912754578307e-19,8.76726398037553e-16,4.68874907978828e-19,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi07g02362",4670.36167176079,10.2652729149842,10.0990727738655,0.82703498395531,13.2429176778072,4.958444966599e-40,9.39663463054869e-37,3.13688988274764e-33,1.64115804885591e-29,1.21400551033407e-29,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi12g04597",563.172656042939,9.57381265947128,9.38342710789163,0.718382775827885,12.6302185001,1.43878167998984e-36,2.53184467630213e-33,5.78997341516694e-30,1.68288793963724e-26,6.49000000482646e-33,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi15g01574",263.535205570998,-7.03377934510438,-6.94165348985745,0.560843416515852,-12.3836419447831,3.20463688972148e-35,5.26329562767856e-32,1.16418302075882e-26,2.53782197000251e-23,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
"Vitvi14g04248",347.979848571058,2.48218896700027,2.4434474405013,0.210409328725908,11.957108898961,5.96010467274763e-33,9.17707116986316e-30,4.66838366206057e-13,1.69611455855337e-10,2.50712225860618e-13,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",0,"Rpv12+1|0"
