"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","contrast"
"Vitvi14g00668",1586.18302192233,7.39449802460612,7.35567785519161,0.32159661198181,22.8455018287605,1.61988680738851e-115,3.90862487754775e-111,3.56332236490464e-87,9.14027819821688e-83,3.45251201983545e-88,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi09g01592",1319.12350099015,6.0491391027844,6.01942941830156,0.279380260294737,21.6457610796415,6.66346282970772e-104,8.03913473090088e-100,2.8760700467454e-73,3.68870363845331e-69,1.78900210727588e-73,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi12g01939",2171.35288391684,5.80580105503898,5.74790961342265,0.394160357323466,15.1706280382714,5.5344707261829e-52,4.45137480506891e-48,1.80524040799646e-36,1.54354072351724e-32,9.29587669978527e-35,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi18g04646",349.800421484365,5.26170558343628,5.20496397628686,0.36415859914412,14.4639567434017,2.04684935021416e-47,1.23471069928294e-43,5.33663756199904e-32,2.73780180205675e-28,3.19111488731395e-32,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi00g04449",431.192404629011,5.83997894869206,5.76531936469306,0.423521722319445,13.8657115565029,1.02207490317339e-43,4.93232906773414e-40,7.28339352739079e-31,3.11377212285169e-27,9.03658302069854e-31,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi12g04563",250.397708439849,-8.10451779189095,-8.00936906506962,0.589703762884674,-13.6209027835882,3.00825876367601e-42,1.20977126181231e-38,3.6502932395674e-33,2.34084179720358e-29,0,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi03g00610",403.403796088796,2.86569574027782,2.83654327797851,0.223813040264636,12.899426261678,4.53460665086665e-38,1.56307891255373e-34,2.26876823922696e-17,2.07843478944324e-14,1.60974894674125e-17,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi09g04564",192.04388470492,6.18326450361336,6.09300036640999,0.495053012721371,12.5231451232338,5.57801949819627e-36,1.68240040589972e-32,4.42008281850794e-26,1.25977271530608e-22,4.4588206809113e-26,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi14g02707",681.35117560579,1.87390701582303,1.85374355943224,0.154507741981416,12.3097881749041,8.02334879333445e-35,2.15105981149297e-31,4.71322644115226e-09,7.79993364141914e-07,1.92687901899403e-09,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi09g01376",153.805367086232,4.99730546606812,4.9185146004089,0.420042054558184,11.9000242243562,1.18312805735793e-32,2.85476968959895e-29,8.76490313570481e-22,1.87357108611637e-18,3.16299496233614e-22,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi07g04167",766.40288715611,10.1425917078898,9.97268754244617,0.8689433046612,11.8329745393547,2.63630858990154e-32,5.78286272415766e-29,7.31590455735997e-27,2.34575334751051e-23,1.92041473008207e-26,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi09g01214",1440.24996613048,14.168427328017,14.3258522239111,2.00319710742294,11.7305412989182,8.88884048632745e-32,1.78732360078829e-28,5.6001355628406e-28,2.05212967603463e-24,1.01207776757995e-12,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi07g01315",611.004485479949,3.18073824871354,3.13820155217427,0.2781456345363,11.6469340634097,2.37863388687051e-31,4.41492746586911e-28,7.01323961270521e-16,4.18364207687212e-13,9.54626548510383e-16,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi19g01610",498.600911900096,-5.72878729172667,-5.63344104049073,0.507182439514975,-11.3910362617374,4.63444971261595e-30,7.45497580771402e-27,2.66026636857818e-21,5.24911481695375e-18,0,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi09g00419",172.279207339225,4.93615096720275,4.85953936980922,0.429793283039159,11.3951712487982,4.41960171130816e-30,7.45497580771402e-27,5.10651423887728e-20,8.73247978276274e-17,1.06635808691464e-20,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi12g01885",121.949812435513,4.11510099077779,4.03626500174917,0.366380359866152,11.3652926808522,6.22554527918387e-30,9.38851137758922e-27,3.86800305655807e-18,4.13408943349046e-15,3.5194837313474e-18,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi18g01959",205.744192164665,5.49674475916739,5.39276501092245,0.484541385942856,11.181209972977,5.03981132595435e-29,7.15327102846779e-26,2.92523457407564e-20,5.35965657568673e-17,3.73401728067919e-21,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi09g04416",99.6014200168754,4.0737322132964,4.00558724395526,0.366153416350169,11.1048879192442,1.18766254552578e-28,1.59206164227731e-25,2.67091517402255e-17,2.36247052168457e-14,1.21564694326774e-17,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi07g01888",630.897692409926,-1.64615791236331,-1.62294458080139,0.14982068855065,-10.9649097176385,5.63567736416913e-28,7.15701363789668e-25,8.38709423313454e-06,0.00057832622089821,1.97533174351255e-06,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi12g04597",563.172656042939,8.2906583359354,8.08269899362965,0.716972023448692,10.9277014767336,8.4973536539375e-28,1.02516323157929e-24,3.64059783649677e-22,8.48954319127078e-19,1.65224775982212e-24,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi07g02402",514.098133269058,5.46952024943367,5.36790937847405,0.499124564366786,10.9227910246585,8.96963427967054e-28,1.03061097873415e-24,2.21320789756999e-19,3.33947034003339e-16,6.29320294850351e-20,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi05g00637",407.785368990083,4.82142026893634,4.73258965708033,0.462050846905069,10.8172808493084,2.85110901014577e-27,3.12701860480943e-24,5.01092630192705e-18,5.14141082282923e-15,2.7662557497471e-17,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi12g02621",124.136194917438,-3.92560759060202,-3.85663581541794,0.360060811199367,-10.7671506431081,4.9199213641093e-27,5.16142533019971e-24,5.10315717489008e-16,3.17339606593934e-13,6.63254313234598e-17,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi12g04536",1033.1032665114,1.71291395602718,1.69008497604437,0.160105243984951,10.7536845667648,5.69406190033999e-27,5.72466748305432e-24,3.80845526173786e-06,0.000299664680732632,8.95668391907544e-07,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi03g04400",163.478435473646,5.39398812388108,5.28197380076484,0.506847676244556,10.6351155056797,2.04575098862333e-26,1.97447702417969e-23,2.28839429493398e-18,2.79521914568341e-15,1.04419340142692e-18,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi00g04737",101.846453234561,-4.09238039477614,-4.009368152305,0.389724573717686,-10.6240782923232,2.30275634062069e-26,2.13704645164756e-23,4.95311629972794e-16,3.17339606593934e-13,5.92461623385332e-16,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi18g04660",217.321042314486,3.83210844274873,3.76265263969565,0.361402087609723,10.5740047541182,3.93331305205145e-26,3.51507076418332e-23,2.75498819701475e-15,1.53626526612229e-12,1.41052484252342e-15,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi15g01247",1047.70838963293,2.43629952437047,2.39446264792023,0.232721200181634,10.5602583955034,4.55406484586089e-26,3.92446538092062e-23,2.39690159461863e-10,5.1666321683666e-08,8.92715462059121e-11,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi09g01698",483.799673874431,2.52557712250639,2.48538513098801,0.24149722358553,10.5549379466575,4.81957934426378e-26,4.01005620681864e-23,9.10528510802055e-11,2.14377630716852e-08,3.91442552531585e-11,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi10g04044",704.308904158674,-8.05736317777055,-7.8884091458558,0.783305524475094,-10.256890613682,1.1019807087938e-24,8.57732016854371e-22,1.30659216599139e-19,2.09471222811532e-16,0,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi18g02228",3939.21412619546,1.28119486661025,1.26477400799972,0.12807050096376,10.1441802625514,3.51718813685229e-24,2.65206976731591e-21,0.0129926774042383,0.174855806975927,0.00435924707829536,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi12g04523",87.6436947067246,5.33485487073772,5.19696165416498,0.538562185811233,10.110184601977,4.97903698676703e-24,3.64058131677884e-21,1.06024113889316e-16,7.99889572169076e-14,1.76948811186946e-16,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi09g02033",194.739291436794,3.36360196451751,3.2967824101774,0.33398852585964,10.1007045209538,5.48467320773945e-24,3.89234352439838e-21,6.33968008192461e-13,2.32313048259212e-10,2.4382659091485e-13,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
