"sample_id","batch","condition","median_Cooks_distance","max_Cooks_distance","genes_above_cutoff"
"Rpv12.0.A","B1","Rpv12.0",0.0130712409217166,3.41770216145154,1
"Rpv12.6.A","B2","Rpv12.6",0.0282466427636969,4.04422587428571,5
"Rpv12.24.A","B2","Rpv12.24",0.00644418379376665,1.07722861403895,0
"Rpv12.1.0.A","B1","Rpv12.1.0",0.0108736520313044,1.18060089365505,0
"Rpv12.1.6.A","B2","Rpv12.1.6",0.0202934288562674,10.1223162882366,14
"Rpv12.1.24.A","B2","Rpv12.1.24",0.0401723404765388,10.653317185393,93
"Rpv12.1.3.0.A","B1","Rpv12.1.3.0",0.0102823363974223,2.46588913462815,0
"Rpv12.1.3.6.A","B1","Rpv12.1.3.6",0.0164501917250666,4.54921672053819,5
"Rpv12.1.3.24.A","B2","Rpv12.1.3.24",0.00668106528530801,1.16104247263574,0
"Susceptible.0.A","B2","Susceptible.0",0.0112674393813434,1.38462183469916,0
"Susceptible.6.A","B2","Susceptible.6",0.00251604195053106,0.916496668428686,0
"Susceptible.24.A","B2","Susceptible.24",0.0241467802915183,5.59297962690549,3
"Rpv12.0.B","B1","Rpv12.0",0.0100597119141558,1.27144085323987,0
"Rpv12.6.B","B2","Rpv12.6",0.0141686955008603,3.13992222912584,1
"Rpv12.24.B","B2","Rpv12.24",0.0052719023267326,1.11266606550938,0
"Rpv12.1.0.B","B1","Rpv12.1.0",0.00720775642355723,1.92127081867,0
"Rpv12.1.6.B","B1","Rpv12.1.6",0.01135194297984,3.12880673424357,1
"Rpv12.1.24.B","B1","Rpv12.1.24",0.0177553565980708,3.10042773582126,1
"Rpv12.1.3.0.B","B1","Rpv12.1.3.0",0.010203772201073,3.81882393023794,2
"Rpv12.1.3.6.B","B1","Rpv12.1.3.6",0.0116972959069213,1.92682211169837,0
"Rpv12.1.3.24.B","B2","Rpv12.1.3.24",0.00881452021256034,1.2943858034855,0
"Susceptible.0.B","B1","Susceptible.0",0.0315301227336876,9.69127510324669,42
"Susceptible.6.B","B2","Susceptible.6",0.00279751615646694,0.696366344765048,0
"Susceptible.24.B","B2","Susceptible.24",0.0266734768129047,7.7879602873097,62
"Rpv12.0.C","B1","Rpv12.0",0.00797622238427901,1.36607190729925,0
"Rpv12.6.C","B1","Rpv12.6",0.0190379181700458,5.26376396272836,8
"Rpv12.24.C","B2","Rpv12.24",0.0025606676044461,0.556282826503839,0
"Rpv12.1.0.C","B1","Rpv12.1.0",0.00838217522010613,4.6979805823086,7
"Rpv12.1.6.C","B1","Rpv12.1.6",0.0135286860208955,4.85745302212436,23
"Rpv12.1.24.C","B1","Rpv12.1.24",0.0139810368515792,4.51431764371461,4
"Rpv12.1.3.0.C","B1","Rpv12.1.3.0",0.00937362297388827,2.34901835037755,0
"Rpv12.1.3.6.C","B2","Rpv12.1.3.6",0.0358981861921909,8.85801168583298,47
"Rpv12.1.3.24.C","B1","Rpv12.1.3.24",0.0213316367991008,7.64382328905247,13
"Susceptible.0.C","B2","Susceptible.0",0.0106264792033239,1.4480068549215,0
"Susceptible.6.C","B2","Susceptible.6",0.00415150975792918,0.986142718078128,0
"Susceptible.24.C","B1","Susceptible.24",0.022824462458628,8.95535244984936,84
