"genotype","timing","DE_definition","direction","n"
"Rpv12",0,"DE_primary","Up",2765
"Rpv12",0,"DE_primary","Down",1359
"Rpv12",6,"DE_primary","Up",681
"Rpv12",6,"DE_primary","Down",822
"Rpv12",24,"DE_primary","Up",1033
"Rpv12",24,"DE_primary","Down",1660
"Rpv12+1",0,"DE_primary","Up",2171
"Rpv12+1",0,"DE_primary","Down",988
"Rpv12+1",6,"DE_primary","Up",822
"Rpv12+1",6,"DE_primary","Down",700
"Rpv12+1",24,"DE_primary","Up",1088
"Rpv12+1",24,"DE_primary","Down",1304
"Rpv12+1+3",0,"DE_primary","Up",856
"Rpv12+1+3",0,"DE_primary","Down",2101
"Rpv12+1+3",6,"DE_primary","Up",1148
"Rpv12+1+3",6,"DE_primary","Down",2729
"Rpv12+1+3",24,"DE_primary","Up",1076
"Rpv12+1+3",24,"DE_primary","Down",2357
