"genotype","timing","method","evidence_tier","effect_scale","DE_definition","direction","n"
"Rpv12",0,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Up",2765
"Rpv12",0,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1359
"Rpv12",0,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",2847
"Rpv12",0,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1577
"Rpv12",0,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",2666
"Rpv12",0,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1398
"Rpv12",6,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Up",681
"Rpv12",6,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Down",822
"Rpv12",6,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",869
"Rpv12",6,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1397
"Rpv12",6,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",619
"Rpv12",6,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1090
"Rpv12",24,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1033
"Rpv12",24,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1660
"Rpv12",24,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1343
"Rpv12",24,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1906
"Rpv12",24,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1426
"Rpv12",24,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1193
"Rpv12+1",0,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Up",2171
"Rpv12+1",0,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Down",988
"Rpv12+1",0,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",2371
"Rpv12+1",0,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1195
"Rpv12+1",0,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",2206
"Rpv12+1",0,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1074
"Rpv12+1",6,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Up",822
"Rpv12+1",6,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Down",700
"Rpv12+1",6,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",932
"Rpv12+1",6,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",969
"Rpv12+1",6,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",699
"Rpv12+1",6,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",814
"Rpv12+1",24,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1088
"Rpv12+1",24,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1304
"Rpv12+1",24,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1343
"Rpv12+1",24,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1537
"Rpv12+1",24,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1230
"Rpv12+1",24,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1164
"Rpv12+1+3",0,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Up",856
"Rpv12+1+3",0,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Down",2101
"Rpv12+1+3",0,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",882
"Rpv12+1+3",0,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",2016
"Rpv12+1+3",0,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",794
"Rpv12+1+3",0,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1612
"Rpv12+1+3",6,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1148
"Rpv12+1+3",6,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Down",2729
"Rpv12+1+3",6,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1377
"Rpv12+1+3",6,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",3470
"Rpv12+1+3",6,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1133
"Rpv12+1+3",6,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",3751
"Rpv12+1+3",24,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1076
"Rpv12+1+3",24,"DESeq2_apeglm","primary_count_model","log2_fold_change","DE_zero_null_plus_effect_filter","Down",2357
"Rpv12+1+3",24,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1291
"Rpv12+1+3",24,"edgeR_QL_robust","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",2759
"Rpv12+1+3",24,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Up",1287
"Rpv12+1+3",24,"limma_voom","concordance_sensitivity","log2_fold_change","DE_zero_null_plus_effect_filter","Down",1503
