"genotype","timing","call_definition","method_a","method_b","genes_entering_both","genes_tested_by_both","n_a","n_b","n_both","jaccard","fraction_a_recovered_by_b","fraction_b_recovered_by_a","sign_agreement_shared","effect_spearman_all_tested"
"Rpv12",0,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","edgeR_QL_robust",23261,23248,4102,4419,3834,0.818007254107105,0.934666016577279,0.867617107942974,1,0.968319859764969
"Rpv12",0,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","limma_voom",23261,23248,4102,4061,3531,0.762305699481865,0.860799609946368,0.869490273331692,1,0.962700907962758
"Rpv12",0,"DE_zero_null_plus_effect_filter","edgeR_QL_robust","limma_voom",23261,23261,4424,4064,3846,0.828522188711762,0.869349005424955,0.946358267716535,1,0.98032601192682
"Rpv12",6,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","edgeR_QL_robust",23261,23201,1499,2255,1432,0.616709732988803,0.95530353569046,0.635033259423503,1,0.923446069042036
"Rpv12",6,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","limma_voom",23261,23201,1499,1694,1172,0.579910935180604,0.781854569713142,0.69185360094451,1,0.913865715943582
"Rpv12",6,"DE_zero_null_plus_effect_filter","edgeR_QL_robust","limma_voom",23261,23261,2266,1709,1563,0.648009950248756,0.689761694616064,0.914569923932124,1,0.976731141189438
"Rpv12",24,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","edgeR_QL_robust",23261,23248,2684,3245,2522,0.740240680950983,0.939642324888227,0.777195685670262,1,0.956646343230852
"Rpv12",24,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","limma_voom",23261,23248,2684,2618,2043,0.626879410862228,0.761177347242921,0.780366692131398,1,0.932373686164
"Rpv12",24,"DE_zero_null_plus_effect_filter","edgeR_QL_robust","limma_voom",23261,23261,3249,2619,2387,0.68572249353634,0.734687596183441,0.911416571210386,1,0.958660381747221
"Rpv12+1",0,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","edgeR_QL_robust",23261,23252,3143,3561,2920,0.771670190274841,0.929048679605472,0.819994383600112,1,0.95454823609376
"Rpv12+1",0,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","limma_voom",23261,23252,3143,3275,2682,0.717880085653105,0.853324848870506,0.818931297709924,1,0.946754961027903
"Rpv12+1",0,"DE_zero_null_plus_effect_filter","edgeR_QL_robust","limma_voom",23261,23261,3566,3280,3059,0.807763401109057,0.857823892316321,0.932621951219512,1,0.976231910307685
"Rpv12+1",6,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","edgeR_QL_robust",23261,23248,1520,1897,1406,0.699154649428145,0.925,0.741170268845546,1,0.915796308849871
"Rpv12+1",6,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","limma_voom",23261,23248,1520,1510,1161,0.621187800963082,0.763815789473684,0.76887417218543,1,0.902328478498367
"Rpv12+1",6,"DE_zero_null_plus_effect_filter","edgeR_QL_robust","limma_voom",23261,23261,1901,1513,1379,0.677641277641278,0.725407680168332,0.911434236615995,1,0.977311908561469
"Rpv12+1",24,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","edgeR_QL_robust",23261,23252,2382,2879,2281,0.765436241610738,0.9575986565911,0.792288989232372,1,0.951318865479218
"Rpv12+1",24,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","limma_voom",23261,23252,2382,2391,1919,0.672389628591451,0.805625524769102,0.802593057298202,1,0.923102025213747
"Rpv12+1",24,"DE_zero_null_plus_effect_filter","edgeR_QL_robust","limma_voom",23261,23261,2880,2394,2226,0.730314960629921,0.772916666666667,0.929824561403509,1,0.952511289546498
"Rpv12+1+3",0,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","edgeR_QL_robust",23261,23201,2952,2893,2532,0.764261998188953,0.857723577235772,0.875216038714138,1,0.947339239683678
"Rpv12+1+3",0,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","limma_voom",23261,23201,2952,2396,2065,0.628997867803838,0.699525745257453,0.861853088480801,1,0.938983490621508
"Rpv12+1+3",0,"DE_zero_null_plus_effect_filter","edgeR_QL_robust","limma_voom",23261,23261,2898,2406,2241,0.731635651322233,0.773291925465838,0.93142144638404,1,0.971800263746526
"Rpv12+1+3",6,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","edgeR_QL_robust",23261,23248,3863,4842,3772,0.764646259882425,0.976443178876521,0.779016935150764,1,0.957710777473075
"Rpv12+1+3",6,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","limma_voom",23261,23248,3863,4878,3541,0.680961538461539,0.916645094486151,0.725912259122591,1,0.945764452433759
"Rpv12+1+3",6,"DE_zero_null_plus_effect_filter","edgeR_QL_robust","limma_voom",23261,23261,4847,4884,4313,0.796050203026947,0.889828760057768,0.883087633087633,1,0.981387128096847
"Rpv12+1+3",24,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","edgeR_QL_robust",23261,23252,3420,4050,3280,0.782816229116945,0.95906432748538,0.809876543209877,1,0.963220453277771
"Rpv12+1+3",24,"DE_zero_null_plus_effect_filter","DESeq2_apeglm","limma_voom",23261,23252,3420,2790,2319,0.595990747879722,0.678070175438596,0.831182795698925,1,0.946574482317099
"Rpv12+1+3",24,"DE_zero_null_plus_effect_filter","edgeR_QL_robust","limma_voom",23261,23261,4050,2790,2626,0.623160892263882,0.648395061728395,0.941218637992832,1,0.967755716251873
