"gene","genotype","timing","established_methods_tested","established_methods_DE","established_families_DE","DESeq2_threshold_DE","edgeR_methods_tested","edgeR_methods_DE","voom_methods_tested","voom_methods_DE","transformed_threshold_methods_tested","transformed_threshold_methods_DE","transformed_zero_null_methods_tested","transformed_zero_null_methods_DE","all_DE_directions_agree","consensus_direction","DESeq2_stringent_leading_signal","multi_method_stringent_consensus"
"Vitvi00g01805","Rpv12",0,5,5,3,1,2,2,2,2,2,1,4,3,TRUE,"Up",TRUE,TRUE
"Vitvi00g04006","Rpv12",0,5,5,3,1,2,2,2,2,2,0,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi00g04249","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,0,TRUE,"Up",TRUE,TRUE
"Vitvi00g04274","Rpv12",0,5,5,3,1,2,2,2,2,2,0,4,3,TRUE,"Down",TRUE,TRUE
"Vitvi00g04361","Rpv12",0,5,5,3,1,2,2,2,2,2,1,4,3,TRUE,"Up",TRUE,TRUE
"Vitvi00g04449","Rpv12",0,5,5,3,1,2,2,2,2,2,2,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi00g04564","Rpv12",0,5,5,3,1,2,2,2,2,2,0,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi00g04610","Rpv12",0,5,5,3,1,2,2,2,2,2,0,4,3,TRUE,"Up",TRUE,TRUE
"Vitvi00g04625","Rpv12",0,5,5,3,1,2,2,2,2,2,0,4,0,TRUE,"Down",TRUE,TRUE
"Vitvi00g04636","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,1,TRUE,"Down",TRUE,TRUE
"Vitvi00g04704","Rpv12",0,5,5,3,1,2,2,2,2,2,2,4,3,TRUE,"Up",TRUE,TRUE
"Vitvi00g04737","Rpv12",0,5,5,3,1,2,2,2,2,2,1,4,2,TRUE,"Down",TRUE,TRUE
"Vitvi00g04748","Rpv12",0,5,5,3,1,2,2,2,2,2,0,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi00g04752","Rpv12",0,5,5,3,1,2,2,2,2,2,1,4,3,TRUE,"Up",TRUE,TRUE
"Vitvi00g04849","Rpv12",0,5,5,3,1,2,2,2,2,2,0,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi00g04867","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,1,TRUE,"Down",TRUE,TRUE
"Vitvi01g00083","Rpv12",0,5,5,3,1,2,2,2,2,2,1,4,2,TRUE,"Down",TRUE,TRUE
"Vitvi01g00088","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,2,TRUE,"Down",TRUE,TRUE
"Vitvi01g00160","Rpv12",0,5,5,3,1,2,2,2,2,2,0,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi01g00267","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,1,TRUE,"Up",TRUE,TRUE
"Vitvi01g00477","Rpv12",0,5,5,3,1,2,2,2,2,2,1,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi01g00621","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,2,TRUE,"Down",TRUE,TRUE
"Vitvi01g00687","Rpv12",0,5,5,3,1,2,2,2,2,2,1,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi01g00693","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi01g00781","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,0,TRUE,"Up",TRUE,TRUE
"Vitvi01g00812","Rpv12",0,5,5,3,1,2,2,2,2,2,1,4,2,TRUE,"Down",TRUE,TRUE
"Vitvi01g01019","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,2,TRUE,"Down",TRUE,TRUE
"Vitvi01g01133","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,0,TRUE,"Up",TRUE,TRUE
"Vitvi01g01592","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi01g01641","Rpv12",0,5,4,3,1,2,2,2,1,2,0,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi01g01711","Rpv12",0,5,4,3,1,2,2,2,1,2,1,4,2,TRUE,"Down",TRUE,TRUE
"Vitvi01g01751","Rpv12",0,5,5,3,1,2,2,2,2,2,2,4,2,TRUE,"Down",TRUE,TRUE
"Vitvi01g01853","Rpv12",0,5,5,3,1,2,2,2,2,2,0,4,2,TRUE,"Up",TRUE,TRUE
"Vitvi01g01919","Rpv12",0,5,5,3,1,2,2,2,2,2,0,4,2,TRUE,"Up",TRUE,TRUE
