"sample_id","condition","replicate","batch"
"Rpv12.0.A","Rpv12.0","A","B1"
"Rpv12.6.A","Rpv12.6","A","B2"
"Rpv12.24.A","Rpv12.24","A","B2"
"Rpv12.1.0.A","Rpv12.1.0","A","B1"
"Rpv12.1.6.A","Rpv12.1.6","A","B2"
"Rpv12.1.24.A","Rpv12.1.24","A","B2"
"Rpv12.1.3.0.A","Rpv12.1.3.0","A","B1"
"Rpv12.1.3.6.A","Rpv12.1.3.6","A","B1"
"Rpv12.1.3.24.A","Rpv12.1.3.24","A","B2"
"Susceptible.0.A","Susceptible.0","A","B2"
"Susceptible.6.A","Susceptible.6","A","B2"
"Susceptible.24.A","Susceptible.24","A","B2"
"Rpv12.0.B","Rpv12.0","B","B1"
"Rpv12.6.B","Rpv12.6","B","B2"
"Rpv12.24.B","Rpv12.24","B","B2"
"Rpv12.1.0.B","Rpv12.1.0","B","B1"
"Rpv12.1.6.B","Rpv12.1.6","B","B1"
"Rpv12.1.24.B","Rpv12.1.24","B","B1"
"Rpv12.1.3.0.B","Rpv12.1.3.0","B","B1"
"Rpv12.1.3.6.B","Rpv12.1.3.6","B","B1"
"Rpv12.1.3.24.B","Rpv12.1.3.24","B","B2"
"Susceptible.0.B","Susceptible.0","B","B1"
"Susceptible.6.B","Susceptible.6","B","B2"
"Susceptible.24.B","Susceptible.24","B","B2"
"Rpv12.0.C","Rpv12.0","C","B1"
"Rpv12.6.C","Rpv12.6","C","B1"
"Rpv12.24.C","Rpv12.24","C","B2"
"Rpv12.1.0.C","Rpv12.1.0","C","B1"
"Rpv12.1.6.C","Rpv12.1.6","C","B1"
"Rpv12.1.24.C","Rpv12.1.24","C","B1"
"Rpv12.1.3.0.C","Rpv12.1.3.0","C","B1"
"Rpv12.1.3.6.C","Rpv12.1.3.6","C","B2"
"Rpv12.1.3.24.C","Rpv12.1.3.24","C","B1"
"Susceptible.0.C","Susceptible.0","C","B2"
"Susceptible.6.C","Susceptible.6","C","B2"
"Susceptible.24.C","Susceptible.24","C","B1"
