"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04000"	-0.00488322436525941	0.944425414749874	1	0.970039590179349	1	0.00488322436525934	"F6HQV9"
"Vitvi01g04001"	-0.303402967630897	0.0851834386999818	0.1	0.244024675132985	0.266215666327569	0.303402967630896	"D7UC20"
"Vitvi01g04002"	-1.0903700844151	0.00320156816547932	0.1	0.0428113629649608	0.266215666327569	1.09037008441509	"F6HF07"
"Vitvi01g04003"	-0.16162208880335	0.128583325494746	0.1	0.311604487257201	0.266215666327569	0.16162208880335	NA
"Vitvi01g04004"	-0.0691315727559867	0.126489960726419	0.1	0.308796161216618	0.266215666327569	0.0691315727559866	"F6HYH6"
"Vitvi01g04005"	-0.733960206851291	0.00152277896054931	0.1	0.0314222546907484	0.266215666327569	0.73396020685129	"D7SQ27"
"Vitvi01g00002"	1.02434615085641	0.00383388643311361	0.1	0.0462181048161805	0.266215666327569	-1.02434615085641	"F6HF06"
"Vitvi01g00005"	-0.0843925402832352	0.048067823023511	0.1	0.17295295761065	0.266215666327569	0.0843925402832326	"F6HF05"
"Vitvi01g01834"	0.800789014540777	0.0668085601361573	0.1	0.211123440430274	0.266215666327569	-0.80078901454078	"F6HF04"
"Vitvi01g00006"	-0.181229798543935	0.0318344041707685	0.1	0.136672173950923	0.266215666327569	0.181229798543933	"F6HF03"
"Vitvi01g01835"	1.2997430238188	0.00586668019126716	0.1	0.0554100932568102	0.266215666327569	-1.2997430238188	"F6HF02"
"Vitvi01g01836"	0.0771004408847501	0.274137309912366	0.4	0.485066516083995	0.658298220237721	-0.07710044088475	"F6HF01"
"Vitvi01g00008"	0.1932107365876	0.022694338289212	0.1	0.113013917923956	0.266215666327569	-0.1932107365876	"Q6E6S7"
"Vitvi01g00011"	0.588631977069486	0.0154091526833104	0.1	0.0915414734483553	0.266215666327569	-0.588631977069487	"D7T9Z7"
"Vitvi01g00012"	0.556470545474709	0.0589250985527031	0.1	0.196109742340797	0.266215666327569	-0.55647054547471	"F6HF00"
"Vitvi01g01837"	0.643697665277561	0.00966979541022746	0.1	0.0715040663602501	0.266215666327569	-0.643697665277562	"F6HEZ9"
"Vitvi01g00014"	0.412257119261687	0.26033144922297	0.2	0.471428280635641	0.416936190552059	-0.412257119261686	"D7T9Z3"
"Vitvi01g01838"	0.201503797957866	0.428773489863886	0.7	0.615150408610682	0.808540783898305	-0.201503797957868	"F6HEZ8"
"Vitvi01g00015"	-0.114410942133945	0.305272014725535	0.4	0.514965728959746	0.658298220237721	0.114410942133945	"F6HEZ7"
"Vitvi01g00019"	-0.0290348784983698	0.184014442220928	0.2	0.385135240727462	0.416936190552059	0.0290348784983701	"D7T9Y8"
"Vitvi01g00023"	0.0160887431255118	0.929416768731326	1	0.961872475715023	1	-0.016088743125513	"D7T9Y7"
"Vitvi01g00024"	-0.141471007634196	0.345332275720316	0.7	0.55170942144841	0.808540783898305	0.141471007634195	"F6HEZ6"
"Vitvi01g00025"	-0.266932425458334	0.314222259784876	0.7	0.524151091044774	0.808540783898305	0.266932425458332	"D7T9Y5"
"Vitvi01g00026"	0.0295655669383634	0.711129971314284	0.7	0.826505084948127	0.808540783898305	-0.0295655669383663	"A5BJC3"
"Vitvi01g00027"	-0.139862792450055	0.493466642775576	0.7	0.665187372028565	0.808540783898305	0.139862792450053	"F6HFV3"
"Vitvi01g04008"	0.313328597041092	0.173648210179777	0.2	0.371177229234576	0.416936190552059	-0.313328597041093	"F6HDF3"
"Vitvi01g00028"	-0.285155297320424	0.0197120441162321	0.1	0.104253129037526	0.266215666327569	0.285155297320424	"D7T9Y2"
"Vitvi01g00029"	-0.102170600128469	0.398650945241953	0.7	0.59250846742981	0.808540783898305	0.102170600128467	"F6HFV2"
"Vitvi01g00031"	-0.562367648197637	0.0555142272288042	0.1	0.188620074311942	0.266215666327569	0.562367648197637	"F6HFV1"
"Vitvi01g00033"	0.577359078036365	0.0219645093334364	0.1	0.110941757333854	0.266215666327569	-0.577359078036366	"D7T9X8"
"Vitvi01g00034"	-0.47865004928921	0.189857266277137	0.7	0.392291733218034	0.808540783898305	0.478650049289207	"F6HFV0"
"Vitvi01g00035"	-0.187445065877967	0.34834976581269	0.7	0.553993620270573	0.808540783898305	0.187445065877968	"D7T9X6"
"Vitvi01g00036"	1.23071131764362	0.00224857667963495	0.1	0.0369655783015544	0.266215666327569	-1.23071131764362	"D7T9X5"
"Vitvi01g00037"	-0.285224220059159	0.231528680274581	0.7	0.440389157879453	0.808540783898305	0.285224220059158	"F6HFU9"
"Vitvi01g00038"	-0.517491789065834	0.00042078890042339	0.1	0.0199847998823588	0.266215666327569	0.517491789065833	"F6H489"
"Vitvi01g01840"	0.0419159497764348	0.827038521235483	1	0.900806389413859	1	-0.0419159497764365	"F6HFU7"
"Vitvi01g00039"	-0.231635072882367	0.000620545184797917	0.1	0.0219269232917565	0.266215666327569	0.231635072882366	"F6HFU6"
"Vitvi01g00041"	-0.140808245657102	0.145214533291068	0.4	0.334273735169322	0.658298220237721	0.140808245657102	"F6HFU5"
"Vitvi01g04009"	0.0952880594695958	0.637149581670406	1	0.773683956742488	1	-0.0952880594695964	NA
"Vitvi01g00042"	-0.0297337658267013	0.563895326722795	0.4	0.719376824696964	0.658298220237721	0.0297337658267018	"D7T9W8"
"Vitvi01g00043"	0.0724443564840007	0.41819168767809	0.4	0.607020950106373	0.658298220237721	-0.0724443564840005	"D7T9W7"
"Vitvi01g00045"	-0.149198057968954	9.34755586461878e-05	0.1	0.0127404265323546	0.266215666327569	0.149198057968952	"D7T9W6"
"Vitvi01g00046"	-0.710876285890001	0.045764177619165	0.1	0.167943172642817	0.266215666327569	0.71087628589	"D7T9W5"
"Vitvi01g00047"	-0.445763952916868	0.209565835331783	0.4	0.415275506951191	0.658298220237721	0.445763952916867	"F6HFU4"
"Vitvi01g00048"	0.609775565229143	0.0038714616816237	0.1	0.0464019784389661	0.266215666327569	-0.609775565229144	"F6HFU3"
"Vitvi01g00049"	-0.176428835270402	0.335883674529638	0.2	0.543213638141407	0.416936190552059	0.1764288352704	"D7T9W2"
"Vitvi01g00050"	0.421173127846711	0.0137849897228741	0.1	0.0863219421052625	0.266215666327569	-0.421173127846714	"D7T9W1"
"Vitvi01g00051"	0.556057353567632	0.00197101907774391	0.1	0.0350303669443364	0.266215666327569	-0.556057353567633	"A5AZD0"
"Vitvi01g01841"	-0.2425131776914	0.0731906319521299	0.1	0.22245361760224	0.266215666327569	0.2425131776914	"D7T9V9"
"Vitvi01g00052"	0.79537566365252	0.00585250288633277	0.1	0.0553902886193281	0.266215666327569	-0.79537566365252	"F6HF88"
"Vitvi01g00053"	0.444451992960285	0.00359720678315813	0.1	0.0448464824082603	0.266215666327569	-0.444451992960285	"D7T9V7"
"Vitvi01g00054"	-0.0079307593116111	0.947311419568502	1	0.971554810263683	1	0.00793075931161091	"D7T9V6"
"Vitvi01g00055"	0.0819497641601418	0.363421851561973	0.7	0.566764260492609	0.808540783898305	-0.081949764160143	"F6HF87"
"Vitvi01g01842"	0.0528931236353325	0.896948705683986	1	0.94387569481157	1	-0.052893123635334	"F6HF86"
"Vitvi01g00056"	0.287726943266165	0.175731675612431	0.2	0.374120111677527	0.416936190552059	-0.287726943266167	"D7T9V3"
"Vitvi01g00058"	-0.0810174938535359	0.396027965633875	0.7	0.590635851626958	0.808540783898305	0.0810174938535333	"F6HF85"
"Vitvi01g01843"	-0.174907822475291	0.338047608136845	0.7	0.545297167178869	0.808540783898305	0.174907822475291	"F6HF84"
"Vitvi01g00059"	0.606377730281303	0.0584087132043944	0.1	0.195084877167984	0.266215666327569	-0.606377730281303	"A5BGC6"
"Vitvi01g00060"	0.233683543096664	0.396819981776047	0.4	0.591264710077855	0.658298220237721	-0.233683543096667	"A5BGC5"
"Vitvi01g00061"	0.719344647348032	0.0161723866669917	0.1	0.0938391920933726	0.266215666327569	-0.719344647348032	"F6HF82"
"Vitvi01g00062"	-0.190201020164103	0.0543218326365062	0.1	0.186456982983307	0.266215666327569	0.1902010201641	"F6HF81"
"Vitvi01g00063"	0.73368050112927	0.0152580770910866	0.1	0.0910786084390156	0.266215666327569	-0.73368050112927	"F6HF80"
"Vitvi01g01844"	-0.192163235340138	0.423866298242424	0.7	0.61127713183389	0.808540783898305	0.192163235340137	"F6HF79"
"Vitvi01g00064"	0.696361330151053	0.0198096258022391	0.1	0.104621210417517	0.266215666327569	-0.696361330151053	"F6HF78"
"Vitvi01g00065"	-0.236429385459237	0.232191180501353	0.2	0.441029979703233	0.416936190552059	0.236429385459236	"F6HF77"
"Vitvi01g00066"	-0.826173602916724	0.0481820797042615	0.1	0.173126025508831	0.266215666327569	0.826173602916723	"F6HF76"
"Vitvi01g00067"	1.00345352561687	0.00327645739909402	0.1	0.0432188153837262	0.266215666327569	-1.00345352561687	"F6HF75"
"Vitvi01g04012"	-0.0307876399483823	0.682522538518703	0.7	0.806471861222556	0.808540783898305	0.0307876399483789	"F6HF74"
"Vitvi01g04013"	-0.587871263569668	0.00789835277664903	0.1	0.064634939177206	0.266215666327569	0.587871263569667	"F6HF74"
"Vitvi01g00070"	0.190930554680666	0.00401537390496541	0.1	0.0470359533209668	0.266215666327569	-0.190930554680667	"F6HF73"
"Vitvi01g04014"	0.266212559594887	0.0955701682263907	0.2	0.26138960413006	0.416936190552059	-0.266212559594887	NA
"Vitvi01g00071"	-0.228580034840836	0.171318051429474	0.4	0.368050413583278	0.658298220237721	0.228580034840833	"F6HF72"
"Vitvi01g00073"	0.00296503921888847	0.318615601036464	0.4	0.5288501625982	0.658298220237721	-0.00296503921888835	"D7T9T6"
