"set","gene","mean_within_condition_variance","median_within_condition_variance"
"Shared","Vitvi01g04056",0.409759953897871,0.175527208733232
"Shared","Vitvi01g04080",0.467869523246289,0.0908529676088382
"Shared","Vitvi01g04096",0.0372952687131139,0.0232436134445583
"Shared","Vitvi01g04109",1.67218552060848,0.204792381544284
"Shared","Vitvi01g01982",0.995906975377854,0.709071525776771
"Shared","Vitvi01g00463",0.334106912659508,0.124973286442775
"Shared","Vitvi01g00477",0.611928792665235,0.0779022241314875
"Shared","Vitvi01g02003",0.0961388614918223,0.0319772195528215
"Shared","Vitvi01g00612",0.564183865826863,0.291558440923663
"Shared","Vitvi01g00621",0.182621374881192,0.139798404934025
"Shared","Vitvi01g00656",0.633260308332413,0.0458509362504746
"Shared","Vitvi01g00687",0.101339510957286,0.0307492160754245
"Shared","Vitvi01g04191",0.135175737771429,0.0621806581085491
"Shared","Vitvi01g00775",0.126290720059492,0.0490537002388678
"Shared","Vitvi01g00850",0.111552644904258,0.0554894818746058
"Shared","Vitvi01g01019",0.233241441190254,0.0704574696353005
"Shared","Vitvi01g01313",0.0896714884885246,0.0132860862185968
"Shared","Vitvi01g04325",0.198991241513748,0.116204657967248
"Shared","Vitvi01g04413",0.551579107020892,0.118004677314035
"Shared","Vitvi01g04414",0.15820401231357,0.0722490613018375
"Shared","Vitvi01g04416",0.542991809635492,0.140363086262018
"Shared","Vitvi01g04419",0.0612185310430749,0.0380446605940934
"Shared","Vitvi01g02254",0.585453310487394,0.147242908240083
"Shared","Vitvi01g01701",0.0451480580531012,0.0149579389666657
"Shared","Vitvi10g00049",1.04838034803436,0.245006982535556
"Shared","Vitvi10g04044",0.504667187166512,0.0339964416344824
"Shared","Vitvi10g04092",1.71476118090749,0.205102706063131
"Shared","Vitvi10g00210",0.727476731584901,0.469378405722478
"Shared","Vitvi10g00214",0.241564095931701,0.0504740793019177
"Shared","Vitvi10g01696",0.239197596887965,0.0644277294061754
"Shared","Vitvi10g00241",0.412902269515682,0.152550759057094
"Shared","Vitvi10g02282",0.166161643848068,0.0436890248200457
"Shared","Vitvi10g02284",0.52161618838769,0.0312239093638029
"Shared","Vitvi10g00562",1.02908910457738,0.174970855200902
"Shared","Vitvi10g01812",0.763414384273247,0.1724597779495
"Shared","Vitvi10g00694",0.320183345218595,0.104980029093824
"Shared","Vitvi10g04508",0.0616886870416466,0.0116308532530134
"Shared","Vitvi10g04511",0.0702098299243845,0.0332486022157429
"Shared","Vitvi10g01072",0.569424152381221,0.180253158203978
"Shared","Vitvi11g01328",0.9500295914728,0.144737747584407
"Shared","Vitvi11g01329",1.31821255605752,0.0797316620169526
"Shared","Vitvi11g00304",0.239253189561031,0.050799182855337
"Shared","Vitvi11g01457",0.412685919026264,0.0942282245075236
"Shared","Vitvi11g01516",0.761233477391855,0.261069375211169
"Shared","Vitvi11g01623",0.22715262062985,0.0828496747310348
"Shared","Vitvi11g01228",1.05421165679405,0.378192645087163
"Shared","Vitvi11g01258",0.0726611354464323,0.0559042219586124
"Shared","Vitvi11g01686",0.20383548219908,0.0837256463070557
"Shared","Vitvi11g01281",0.340542182872637,0.20652183338874
"Shared","Vitvi11g01295",2.28076205897092,0.7223762142537
"Shared","Vitvi12g00036",1.09651293826876,0.0882528550859005
"Shared","Vitvi12g02223",0.177029531528986,0.112050281343669
"Shared","Vitvi12g02240",0.276790582586551,0.152867147035922
"Shared","Vitvi12g02316",0.195638129753931,0.114934811627312
"Shared","Vitvi12g04108",0.0441948623524904,0.0244948974783164
"Shared","Vitvi12g02371",0.277711638544943,0.0451994224842665
"Shared","Vitvi12g00554",0.351959800251992,0.126920576468844
"Shared","Vitvi12g02450",0.289519415881883,0.0115892426949143
"Shared","Vitvi12g02451",0.635300910844086,0.208446275370587
"Shared","Vitvi12g02491",0.222585491774599,0.0902936463839698
"Shared","Vitvi12g02500",0.134445403610529,0.0630138166512472
"Shared","Vitvi12g00765",0.174892199780166,0.0951585722939314
"Shared","Vitvi12g02536",0.168433861670116,0.0781203962716751
"Shared","Vitvi12g04365",0.0500465116542214,0.0310110441373069
"Shared","Vitvi12g04404",0.0393368227351573,0.0223732037412095
"Shared","Vitvi12g02607",0.0807043609466142,0.0625079565774587
"Shared","Vitvi12g04440",0.0410120865715079,0.0072332210133009
"Shared","Vitvi12g04463",0.0264969111582894,0.0132064776179049
"Shared","Vitvi12g04498",0.0382282309213557,0.0377542772773755
"Shared","Vitvi12g04515",0.0323451421957307,0.0151609121860098
"Shared","Vitvi12g02678",0.0893654469313195,0.0695720148793553
"Shared","Vitvi12g04523",0.135000500929679,0.0216034117619966
"Shared","Vitvi12g01921",0.115575489977817,0.0479276835746971
"Shared","Vitvi12g04534",0.167310330181188,0.078281438797264
"Shared","Vitvi12g04543",0.10411150855084,0.0148232194815001
"Shared","Vitvi12g04545",0.0500938942934946,0.0281062967155864
"Shared","Vitvi12g04548",0.471656656399329,0.060954835875664
"Shared","Vitvi12g02011",0.0989400998051288,0.0365875658211769
"Shared","Vitvi12g02724",0.837430787685593,0.227764347334841
"Shared","Vitvi12g04594",0.636404135684428,0.273728621104665
"Shared","Vitvi12g04598",0.0359989295029384,0.0215169574514975
"Shared","Vitvi12g02066",0.0806912291584633,0.0795265776284145
"Shared","Vitvi12g04607",0.0992456816061757,0.0181890057855393
"Shared","Vitvi13g01889",0.0979649238643969,0.0488998801881285
"Shared","Vitvi13g00172",1.51383182004378,0.96042640485648
"Shared","Vitvi13g00189",0.224401378893247,0.0952466118184644
"Shared","Vitvi13g01977",0.932023949484049,0.397519372732793
"Shared","Vitvi13g01980",1.28724204700423,0.322620022208307
"Shared","Vitvi13g01981",0.986117736393225,0.536079937862099
"Shared","Vitvi13g01984",0.0406769308168004,0.0278450663792412
"Shared","Vitvi13g00343",0.974452920969971,0.757872674499266
"Shared","Vitvi13g00417",0.267222274052045,0.105319162119585
"Shared","Vitvi13g02046",0.359019411824412,0.137844306676201
"Shared","Vitvi13g00551",0.15621428651188,0.0541964327338874
"Shared","Vitvi13g04184",0.397829581042406,0.113839892195375
"Shared","Vitvi13g02083",0.355703287067667,0.0283723471704212
"Shared","Vitvi13g04261",0.147580340151759,0.025928405032251
"Shared","Vitvi13g04289",0.0833401202051079,0.0149225774021356
"Shared","Vitvi13g04446",0.0793372758790814,0.0277384066847474
"Shared","Vitvi13g01468",0.273209539975941,0.038549775902148
"Shared","Vitvi13g04528",0.187707402700611,0.0259842936740138
"Shared","Vitvi13g04529",0.0470700386899263,0.0130904626789579
"Shared","Vitvi13g04540",0.0427710689604943,0.017209887899489
"Shared","Vitvi13g02354",0.091334623666338,0.021599024078294
"Shared","Vitvi13g01608",0.276721449767501,0.0282047774946957
"Shared","Vitvi13g01616",0.0858400949623694,0.0396656564942918
"Shared","Vitvi13g01634",0.0537219177155179,0.0467423743569965
"Shared","Vitvi13g01638",0.175219325150738,0.010941763070042
"Shared","Vitvi13g04706",0.230531272318275,0.190339760242099
"Shared","Vitvi14g00093",0.844096683845538,0.0761573036055219
"Shared","Vitvi14g00118",0.444110435744266,0.350607770705015
"Shared","Vitvi14g00119",1.00123531422677,0.122732326819974
"Shared","Vitvi14g04255",0.0863647950136818,0.0411065629008156
"Shared","Vitvi14g00647",0.0796564960137543,0.0364135534908494
"Shared","Vitvi14g04420",0.188648988223749,0.0366525405199196
"Shared","Vitvi14g01198",0.790942358255579,0.388933540369499
"Shared","Vitvi14g04449",0.0764773513647754,0.0787436631280987
"Shared","Vitvi14g04450",0.0826554861762428,0.0495426137014875
"Shared","Vitvi13g01764",0.58736697298558,0.394194667275971
"Shared","Vitvi14g01469",1.26050885748808,0.410644934727529
"Shared","Vitvi14g04588",0.0698319351730457,0.0313854066102425
"Shared","Vitvi14g03033",0.396103167275296,0.102907559602106
"Shared","Vitvi14g01840",0.532918566921941,0.116898069258514
"Shared","Vitvi14g03042",0.46733986836025,0.117541907440121
"Shared","Vitvi14g01858",0.233898659260203,0.0565568476941684
"Shared","Vitvi14g04653",0.206725613670503,0.0615322395060697
"Shared","Vitvi14g01859",0.270178514653746,0.0650547091449238
"Shared","Vitvi14g03055",0.292147906310761,0.0760573852860127
"Shared","Vitvi14g03056",0.655959350293393,0.0530593968466953
"Shared","Vitvi14g03057",0.628882205529635,0.156940877059787
"Shared","Vitvi14g04677",0.105443166517309,0.0351067088310642
"Shared","Vitvi14g01917",0.255776355697082,0.0360331153520047
"Shared","Vitvi14g03075",0.0793354563575589,0.0154510138452848
"Shared","Vitvi14g01967",0.56832652527877,0.313299517057844
"Shared","Vitvi15g04128",0.089099773834564,0
"Shared","Vitvi15g01434",0.338181963730405,0.182487088488221
"Shared","Vitvi15g01514",0.795325708881005,0.136878104286245
"Shared","Vitvi15g01037",1.611270052056,1.7274486098905
"Shared","Vitvi15g01073",0.339263426224249,0.0947500286629334
"Shared","Vitvi16g00275",0.174153862594218,0.0226741046040835
"Shared","Vitvi16g04154",0.23639705020113,0.083012681096307
"Shared","Vitvi16g04222",0.0609140307318874,0.0301495000310856
"Shared","Vitvi16g04291",0.408545818048717,0.280402339126785
"Shared","Vitvi16g04295",1.01486685750594,0.455462505521932
"Shared","Vitvi16g00741",2.03520050874554,0.786673074085726
"Shared","Vitvi16g00985",0.934852106473427,0.111889629847993
"Shared","Vitvi16g01923",0.256221892138062,0.0646377734657168
"Shared","Vitvi16g01932",0.175031798165708,0.0782134539228337
"Shared","Vitvi16g01935",0.0205653097651357,0.0137202422387963
"Shared","Vitvi16g01127",0.176520103477092,0.0478546539896464
"Shared","Vitvi16g04388",0.164685219789169,0.0695061335869325
"Shared","Vitvi16g01146",0.147477131535379,0.0639078446803805
"Shared","Vitvi16g01960",0.340776091750304,0.05065352878162
"Shared","Vitvi16g04406",0.390741436118973,0.156881593194587
"Shared","Vitvi16g04448",0.128218246206272,0.050088030977004
"Shared","Vitvi16g01303",0.0838550620488923,0.0632062141946101
"Shared","Vitvi16g01354",0.155919849389122,0.0979746508960495
"Shared","Vitvi17g00148",0.385431012256801,0.0642699867672314
"Shared","Vitvi17g01365",0.113648127760329,0.0365444644964445
"Shared","Vitvi17g00245",0.0214884133660937,0.00688564289256975
"Shared","Vitvi17g04078",0.0244784323906107,0.0185106573487989
"Shared","Vitvi17g04095",0.129155438269558,0.0842318103041314
"Shared","Vitvi17g04101",0.125824713219489,0.0454448519539702
"Shared","Vitvi17g00450",0.845768963692505,0.866184435874689
"Shared","Vitvi17g00461",0.0782932327355282,0.0762588407934037
"Shared","Vitvi17g00609",0.537942910281813,0.131471813705671
"Shared","Vitvi17g00616",0.523709953612264,0.159743261652198
"Shared","Vitvi17g04171",0.145310844433954,0.0670157567293472
"Shared","Vitvi17g04216",0.529687945646136,0.194899935633972
