"gene_set","threshold","genes","edges","density"
"historical_3553",0.75,3553,88841,0.0140791121828274
"historical_3553",0.775,3553,63029,0.00998854539876212
"historical_3553",0.8,3553,42306,0.00670445987783449
"historical_3553",0.817,3553,31168,0.00493936097651268
"historical_3553",0.85,3553,15471,0.00245177276911023
"DESeq2_9459",0.75,9459,377828,0.00844655471943544
"DESeq2_9459",0.775,9459,261441,0.00584465871349905
"DESeq2_9459",0.8,9459,170860,0.0038196701656911
"DESeq2_9459",0.817,9459,123276,0.0027559034258793
"DESeq2_9459",0.85,9459,58005,0.00129673398080834
