"gene","genotype","timing","verdict","verdict_LRT","gene_shows_residual_batch_effect","gene_shows_residual_batch_effect_LRT"
"Vitvi00g00444","Rpv12",0,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00444","Rpv12+1+3",24,"DE_call_low_batch_risk","DE_call_low_batch_risk",FALSE,FALSE
"Vitvi00g00444","Rpv12+1+3",0,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00444","Rpv12+1",6,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00444","Rpv12",24,"DE_call_low_batch_risk","DE_call_low_batch_risk",FALSE,FALSE
"Vitvi00g00444","Rpv12+1",0,"DE_call_low_batch_risk","DE_call_low_batch_risk",FALSE,FALSE
"Vitvi00g00444","Rpv12",6,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00444","Rpv12+1+3",6,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00444","Rpv12+1",24,"DE_call_low_batch_risk","DE_call_low_batch_risk",FALSE,FALSE
"Vitvi00g00447","Rpv12",0,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00447","Rpv12",24,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00447","Rpv12+1+3",24,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00447","Rpv12",6,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00447","Rpv12+1+3",6,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00447","Rpv12+1+3",0,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00447","Rpv12+1",6,"DE_call_low_batch_risk","DE_call_low_batch_risk",FALSE,FALSE
"Vitvi00g00447","Rpv12+1",0,"DE_call_low_batch_risk","DE_call_low_batch_risk",FALSE,FALSE
"Vitvi00g00447","Rpv12+1",24,"DE_call_low_batch_risk","DE_call_low_batch_risk",FALSE,FALSE
"Vitvi00g00615","Rpv12",24,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00615","Rpv12+1+3",24,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00615","Rpv12+1",6,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
"Vitvi00g00615","Rpv12",6,"not_DE_either_method","not_DE_either_method",FALSE,FALSE
