common_name	vitvi_id	source	genotype	timing	log2FC_apeglm	padj_threshold_test	DE_primary
NAC29	Vitvi01g01038	41_retained_homologs	Rpv12	0	-0.701754374967945	1	FALSE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12	0	-0.339650203928914	1	FALSE
SRG1	Vitvi10g00685	41_retained_homologs	Rpv12	0	-3.96755910891717	0.106522785851217	TRUE
SRG1	Vitvi10g00687	41_retained_homologs	Rpv12	0	0.486014739868425	1	FALSE
SRG1	Vitvi10g00694	41_retained_homologs	Rpv12	0	-6.64067546040755	0.0203118747696551	TRUE
MAPKKK1	Vitvi12g01776	41_retained_homologs	Rpv12	0	-5.42023259838717	8.16584102215609e-05	TRUE
WRKY55	Vitvi13g00189	41_retained_homologs	Rpv12	0	3.25644248859417	0.00200213531398217	TRUE
MIK2	Vitvi14g03057	41_retained_homologs	Rpv12	0	5.06502680675108	2.03583409561379e-10	TRUE
RPP13	Vitvi15g01670	41_retained_homologs	Rpv12	0	-0.370543255848464	1	FALSE
RPP13	Vitvi15g01686	41_retained_homologs	Rpv12	0	1.71377438694429	0.345596033449234	TRUE
RPP8	Vitvi16g00787	41_retained_homologs	Rpv12	0	-12.9934200667827	4.77450180518125e-06	TRUE
SARD4	Vitvi16g01127	41_retained_homologs	Rpv12	0	1.86316583748142	0.113845186679072	TRUE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12	0	2.77404158496684	0.00263826593386997	TRUE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12	0	2.17228305819734	0.176396025495354	TRUE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12	0	0.557890204503359	1	FALSE
SRC2	Vitvi18g02114	41_retained_homologs	Rpv12	0	-0.122251611793633	1	FALSE
ZAR1	Vitvi19g04138	41_retained_homologs	Rpv12	0	1.83326476201425	0.322832709012272	TRUE
ZAR1	Vitvi19g02165	41_retained_homologs	Rpv12	0	0.168188957239589	1	FALSE
NAC21/22	Vitvi19g01484	41_retained_homologs	Rpv12	0	-1.62133432833304	0.525058662410204	TRUE
RPS5	Vitvi19g04600	41_retained_homologs	Rpv12	0	-7.27817854577792	0.000973481078056817	TRUE
RPS5	Vitvi19g01648	41_retained_homologs	Rpv12	0	-3.9200939498295	0.0730045923876418	TRUE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12	0	-1.58527427649307	0.500774235239663	TRUE
SRG1	Vitvi02g01473	41_retained_homologs	Rpv12	0	0.093556671407096	1	FALSE
RPP13	Vitvi03g01373	41_retained_homologs	Rpv12	0	-5.27827933589866	9.08197928721859e-05	TRUE
RPP13	Vitvi03g04047	41_retained_homologs	Rpv12	0	3.8025817992001	2.68732430367959e-07	TRUE
RPP13	Vitvi03g04050	41_retained_homologs	Rpv12	0	7.8329582436346	7.18773761403969e-14	TRUE
RIPK	Vitvi04g00179	41_retained_homologs	Rpv12	0	0.582258876005859	1	FALSE
WRKY51	Vitvi04g00760	41_retained_homologs	Rpv12	0	0.820455723420495	0.974877849087822	FALSE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12	0	4.73258965708033	5.14141082282923e-15	TRUE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12	0	-0.219272694903187	1	FALSE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12	0	-0.415321842646416	1	FALSE
SRC2	Vitvi07g02185	41_retained_homologs	Rpv12	0	-1.29796724801594	0.86372115256874	TRUE
MYB12	Vitvi07g00393	41_retained_homologs	Rpv12	0	0.290427660607766	1	FALSE
WRKY47	Vitvi07g00523	41_retained_homologs	Rpv12	0	-0.489740557973511	1	FALSE
WRKY51	Vitvi07g01847	41_retained_homologs	Rpv12	0	1.65975657944354	0.31890745691727	TRUE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12	0	-2.09771744441778	0.0282904455204161	TRUE
RPS5	Vitvi09g01588	41_retained_homologs	Rpv12	0	-0.129816779330606	1	FALSE
RPS5	Vitvi09g00368	41_retained_homologs	Rpv12	0	-0.15288027249295	1	FALSE
RPS5	Vitvi09g00419	41_retained_homologs	Rpv12	0	4.85953936980922	8.73247978276274e-17	TRUE
RPS5	Vitvi09g04351	41_retained_homologs	Rpv12	0	-1.812685069745	0.15453602185032	TRUE
RPS5	Vitvi09g02033	41_retained_homologs	Rpv12	0	3.2967824101774	2.32313048259212e-10	TRUE
NAC29	Vitvi01g01038	41_retained_homologs	Rpv12	6	1.73338146755553	0.488778649336008	TRUE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12	6	0.745136551019724	1	FALSE
SRG1	Vitvi10g00685	41_retained_homologs	Rpv12	6	-0.151303577156668	1	FALSE
SRG1	Vitvi10g00687	41_retained_homologs	Rpv12	6	0.0421684529904367	1	FALSE
SRG1	Vitvi10g00694	41_retained_homologs	Rpv12	6	2.75299860614776	0.446801068520748	TRUE
MAPKKK1	Vitvi12g01776	41_retained_homologs	Rpv12	6	-4.78894400751662	0.0007427595227057	TRUE
WRKY55	Vitvi13g00189	41_retained_homologs	Rpv12	6	0.216875763543557	1	FALSE
MIK2	Vitvi14g03057	41_retained_homologs	Rpv12	6	2.02583370008243	0.356215852384172	TRUE
RPP13	Vitvi15g01670	41_retained_homologs	Rpv12	6	-0.257308255128464	0.0942449469387732	FALSE
RPP13	Vitvi15g01686	41_retained_homologs	Rpv12	6	1.50322627198734	1	TRUE
RPP8	Vitvi16g00787	41_retained_homologs	Rpv12	6	-0.147291703505202	3.52814531996916e-05	FALSE
SARD4	Vitvi16g01127	41_retained_homologs	Rpv12	6	0.411771770116231	1	FALSE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12	6	0.275539787454916	1	FALSE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12	6	-0.02152449994987	1	FALSE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12	6	-0.545102651755218	1	FALSE
SRC2	Vitvi18g02114	41_retained_homologs	Rpv12	6	-0.0602804018632821	1	FALSE
ZAR1	Vitvi19g04138	41_retained_homologs	Rpv12	6	0.00307717276896349	1	FALSE
ZAR1	Vitvi19g02165	41_retained_homologs	Rpv12	6	0.536855514017531	1	FALSE
NAC21/22	Vitvi19g01484	41_retained_homologs	Rpv12	6	2.53302080173366	0.180128939171781	TRUE
RPS5	Vitvi19g04600	41_retained_homologs	Rpv12	6	-6.05131569665954	0.0170598996256576	TRUE
