combined_name	Rpv12|0	Rpv12|6	Rpv12|24	Rpv12+1|0	Rpv12+1|6	Rpv12+1|24	Rpv12+1+3|0	Rpv12+1+3|6	Rpv12+1+3|24	layer
ACD6 (Vitvi05g00637)	4.7326	2.9944	-0.2138	-0.3724	-0.3287	-2.2562	1.4778	1.6088	0.5159	Defense action
CSLG2 (Vitvi02g04029)	-1.5853	0.0403	-1.9751	-5.231	-3.2509	-2.5813	-0.1056	0.4574	0.1583	Defense action
MYB4 (Vitvi18g01868)	-0.3505	0.063	0.3223	-0.2092	-0.254	-0.3597	-0.6848	-2.025	-0.4318	Defense action
SARD4 (Vitvi16g01127)	1.8632	0.4118	-1.7444	-0.2604	-0.2385	-2.3849	-0.0326	0.0182	-1.1034	Defense action
SRC2 (Vitvi18g02114)	-0.1223	-0.0603	-0.2009	-0.1399	-0.1172	-4.4081	-0.1769	-0.4188	-7.8267	Defense action
AtRPV1 (Vitvi05g00913)	-0.2499	2.4438	2.4116	1.3834	2.5929	2.0394	0.118	0.1913	0.3311	Effector recognition
RGA3 (Vitvi09g01698)	2.4854	2.7234	2.6538	1.6979	1.3428	1.2099	1.5511	1.3071	1.3328	Effector recognition
RGA4 (Vitvi19g01610)	-5.6334	-5.3501	-4.1158	1.6102	1.8181	0.2363	-6.4566	-7.504	-8.4726	Effector recognition
RPP13 (Vitvi03g04050)	7.833	7.9833	7.6245	7.6593	8.1092	7.0958	7.5532	8.0273	6.9415	Effector recognition
RPP8 (Vitvi16g00787)	-12.9934	-0.1473	-0.0151	-0.0823	-0.033	10.2434	-0.3748	-13.7587	-0.0268	Effector recognition
RPS5 (Vitvi09g00368)	-0.1529	-0.0919	-0.1564	-6.6353	-0.337	-8.3101	-0.3153	-0.2384	-1.7107	Effector recognition
ZAR1 (Vitvi12g04321)	0.0469	-0.3688	-0.0841	0.0012	-5.3314	-0.0854	-0.1254	-0.3929	0.0305	Effector recognition
EIX1 (Vitvi09g04475)	3.6652	2.5625	0.0161	1.5019	0.3587	-0.2642	0.1732	0.23	0.2836	Pattern recognition
EIX2 (Vitvi09g04536)	5.4047	3.5334	-0.3071	2.324	0.0238	-4.1055	-0.0277	-0.0307	-0.5304	Pattern recognition
MIK2 (Vitvi14g03057)	5.065	2.0258	-0.5251	2.3339	0.0516	-0.876	0.2924	-0.1594	-0.1215	Pattern recognition
RDA2 (Vitvi00g04499)	-1.2698	-0.2577	-4.6901	-3.5634	-1.2534	-2.0748	-0.6482	-0.4594	-0.5297	Pattern recognition
SOBIR1 (Vitvi17g00964)	1.7394	0.4266	-1.0188	0.5725	0.021	-1.3543	-0.571	-0.7414	-1.083	Pattern recognition
bZIP53 (Vitvi05g00108)	-1.5764	0.6464	-0.0018	0.61	0.9386	0.7647	1.6993	1.8202	1.4284	Signal integration
DPA (Vitvi08g01185)	-2.0977	-1.6927	-1.1202	-0.4414	0.2719	0.3246	-2.8986	-2.1625	-1.9836	Signal integration
EDS1 (Vitvi17g04216)	2.6907	0.1903	-0.6432	1.7087	0.0925	-0.9831	-0.7746	-0.5258	-1.7302	Signal integration
MAPKKK1 (Vitvi12g01776)	-5.4202	-4.7889	-5.9503	-10.3031	-8.9034	-6.0089	-10.3245	-5.951	-10.1254	Signal integration
MYB12 (Vitvi07g00393)	0.2904	-3.0473	-1.6515	1.339	-0.036	-0.1837	-5.408	-3.3313	-3.4794	Signal integration
NAC21/22 (Vitvi19g01484)	-1.6213	2.533	0.2127	0.0626	1.4699	1.5349	3.4929	3.9708	2.5171	Signal integration
NAC29 (Vitvi01g01038)	-0.7018	1.7334	-1.1727	2.2118	2.1316	1.9661	3.1416	2.734	2.2498	Signal integration
RIPK (Vitvi11g01336)	2.3263	-0.164	0.405	2.9088	0.0658	0.2238	-0.1191	-0.8429	0.2376	Signal integration
SRG1 (Vitvi10g00694)	-6.6407	2.753	-0.0133	0.0674	0.2175	5.1461	0.4428	4.4072	7.3688	Signal integration
TGA1 (Vitvi07g01807)	-2.1012	0.3024	-1.1414	-0.4559	0.968	0.1963	0.2371	0.9807	0.439	Signal integration
WRKY47 (Vitvi07g00523)	-0.4897	1.1269	-2.072	-0.3493	1.5867	0.1447	1.816	2.3986	0.603	Signal integration
WRKY51 (Vitvi04g00760)	0.8205	0.0586	-3.2756	0.0095	-0.0642	-4.1942	0.0066	0.2622	-0.1348	Signal integration
WRKY55 (Vitvi13g00189)	3.2564	0.2169	0.091	2.2135	-0.1037	-0.6185	-0.6088	-0.4646	-0.3832	Signal integration
