gene,genotype,time,qPCR_log2FC,qPCR_SD_propagated,RNAseq_log2FC_apeglm,RNAseq_lfcSE_apeglm
WRKY48,Rpv12,0,1.226,1.017,-0.138,0.344
WRKY48,Rpv12,6,0.835,1.913,1.192,0.397
WRKY48,Rpv12,24,0.882,1.259,-1.813,0.394
WRKY48,Rpv12+1,0,1.804,1.014,0.448,0.362
WRKY48,Rpv12+1,6,1.847,1.824,2.089,0.403
WRKY48,Rpv12+1,24,0.473,0.9,0.44,0.35
WRKY48,Rpv12+1+3,0,2.568,1.097,1.583,0.408
WRKY48,Rpv12+1+3,6,0.859,2.116,1.994,0.404
WRKY48,Rpv12+1+3,24,1.13,1.015,0.303,0.327
bZIP53,Rpv12,0,3.147,1.288,-1.576,0.43
bZIP53,Rpv12,6,-0.054,1.347,0.646,0.427
bZIP53,Rpv12,24,0.643,1.717,-0.002,0.32
bZIP53,Rpv12+1,0,2.449,1.236,0.61,0.405
bZIP53,Rpv12+1,6,0.287,1.475,0.939,0.454
bZIP53,Rpv12+1,24,0.797,1.884,0.765,0.412
bZIP53,Rpv12+1+3,0,3.426,1.231,1.699,0.436
bZIP53,Rpv12+1+3,6,0.623,1.637,1.82,0.422
bZIP53,Rpv12+1+3,24,1.3,1.161,1.428,0.402
defensin,Rpv12,0,0.798,2.235,-0.266,0.294
defensin,Rpv12,6,0.832,2.538,0.139,0.243
defensin,Rpv12,24,0.539,2.181,-1.368,0.309
defensin,Rpv12+1,0,2.857,2.12,0.163,0.28
defensin,Rpv12+1,6,3.211,2.129,-0.181,0.259
defensin,Rpv12+1,24,0.843,2.256,-0.674,0.3
defensin,Rpv12+1+3,0,3.992,2.014,1.441,0.325
defensin,Rpv12+1+3,6,4.205,2.202,0.982,0.333
defensin,Rpv12+1+3,24,1.026,2.046,0.904,0.299
