gene,genotype,time,qPCR_var_dCt,RNAseq_var_log2norm,ratio_RNAseq_over_qPCR
WRKY48,Rpv12,0,0.1934942192302512,0.115206471169748,0.5954000673924859
WRKY48,Rpv12,6,0.4622386792924465,0.0511005048328199,0.11055004075176048
WRKY48,Rpv12,24,1.2746523400694227,0.0547937177338718,0.042987186396949234
WRKY48,Rpv12+1,0,0.18934239455998358,0.270009338507395,1.4260374129886488
WRKY48,Rpv12+1,6,0.12838451720336455,0.170335563828799,1.3267609485883944
WRKY48,Rpv12+1,24,0.49831581472163106,2.42016205139786,4.856683211528837
WRKY48,Rpv12+1+3,0,0.3638437769779062,0.18573316609715,0.5104750385999547
WRKY48,Rpv12+1+3,6,1.2769386577785433,0.571556012609707,0.44759864471800703
WRKY48,Rpv12+1+3,24,0.7180427073881299,0.318103599418678,0.4430148738307994
WRKY48,Susceptible,0,0.8398189087433396,0.461497947908236,0.5495207872835312
WRKY48,Susceptible,6,3.1986907470880475,0.130188146287535,0.040700447958607056
WRKY48,Susceptible,24,0.31125050808472005,0.840117141282018,2.6991671321331445
bZIP53,Rpv12,0,1.4025463454756666,0.117958455145882,0.0841030711936132
bZIP53,Rpv12,6,0.48866860335099555,1.63358235144325,3.342924714706703
bZIP53,Rpv12,24,1.941631297600674,0.0058985540852436,0.0030379372708570374
bZIP53,Rpv12+1,0,1.2708729535026786,0.0745621148234115,0.05866999893097839
bZIP53,Rpv12+1,6,0.8494184134158476,0.353456364544458,0.4161157316134343
bZIP53,Rpv12+1,24,2.5442870027657714,1.94970603280044,0.7663074294216843
bZIP53,Rpv12+1+3,0,1.2593940705186986,0.0186028175731874,0.014771244369544774
bZIP53,Rpv12+1+3,6,1.3548864944083776,0.163145976093055,0.12041302113967417
bZIP53,Rpv12+1+3,24,0.34243525718733947,0.490491657419816,1.4323631901941623
bZIP53,Susceptible,0,0.25587646535409614,0.392799414118197,1.5351134914835534
bZIP53,Susceptible,6,1.3263840863399277,0.00226602121288951,0.0017084200845189955
bZIP53,Susceptible,24,1.0054025720850424,2.5132901581357,2.4997848900699973
defensin,Rpv12,0,2.525974977748836,0.025507118018751,0.010097929806685217
defensin,Rpv12,6,4.395122007386205,0.132925139999603,0.03024378840364754
defensin,Rpv12,24,1.815490657689222,0.00246278197731572,0.0013565379512612739
defensin,Rpv12+1,0,2.0215632825261634,0.0382694526378364,0.01893062313142854
defensin,Rpv12+1,6,2.4882522534105007,0.0619495844342061,0.02489682641673305
defensin,Rpv12+1,24,2.1459853533599937,0.314407184410357,0.1465094735703047
defensin,Rpv12+1+3,0,1.583489548264445,0.0219049556887826,0.013833344029830275
defensin,Rpv12+1+3,6,2.80560338285624,0.72539499680991,0.25855222489481844
defensin,Rpv12+1+3,24,1.2435724263402392,0.0777507217857838,0.0625220695947719
defensin,Susceptible,0,2.4713670984040386,0.0322562678017547,0.013051993701213058
defensin,Susceptible,6,2.0450530489361705,0.00470841344916873,0.0023023429400122557
defensin,Susceptible,24,2.9427699023433576,0.228485886749351,0.07764313702114642
