gene,sample_id,genotype,time,rep,batch,forward_count,paired_count,gene_fwd_paired_ratio,library_fwd_paired_ratio,relative_retention
WRKY48,A11,Rpv12,0,A,B1,1,320,0.003125,0.006078454956982937,0.5141109084653158
bZIP53,A11,Rpv12,0,A,B1,6,274,0.021897810218978103,0.006078454956982937,3.602528993625571
defensin,A11,Rpv12,0,A,B1,12,989,0.012133468149646108,0.006078454956982937,1.9961434666398512
WRKY48,A12,Rpv12,6,A,B2,11,662,0.01661631419939577,0.016146325759764126,1.0291080736648355
bZIP53,A12,Rpv12,6,A,B2,15,589,0.025466893039049237,0.016146325759764126,1.5772562388473246
defensin,A12,Rpv12,6,A,B2,12,1284,0.009345794392523364,0.016146325759764126,0.5788186446611053
WRKY48,A14,Rpv12,24,A,B2,4,90,0.044444444444444446,0.06010260948053792,0.7394761197321422
bZIP53,A14,Rpv12,24,A,B2,38,548,0.06934306569343066,0.06010260948053792,1.1537446758594554
defensin,A14,Rpv12,24,A,B2,45,725,0.06206896551724138,0.06010260948053792,1.0327166499707503
WRKY48,A21,Rpv12+1,0,A,B1,10,625,0.016,0.013305211160404633,1.202536345128807
bZIP53,A21,Rpv12+1,0,A,B1,44,2561,0.017180788754392814,0.013305211160404633,1.2912826821961028
defensin,A21,Rpv12+1,0,A,B1,47,2061,0.022804463852498787,0.013305211160404633,1.7139497883628678
WRKY48,A22,Rpv12+1,6,A,B2,15,1032,0.014534883720930232,0.019414418499148944,0.7486643868095966
bZIP53,A22,Rpv12+1,6,A,B2,47,1771,0.026538678712591756,0.019414418499148944,1.3669571774068388
defensin,A22,Rpv12+1,6,A,B2,19,1097,0.01731996353691887,0.019414418499148944,0.8921185838081174
WRKY48,A24,Rpv12+1,24,A,B2,11,318,0.03459119496855346,0.033167115347584396,1.0429364931512737
bZIP53,A24,Rpv12+1,24,A,B2,21,799,0.026282853566958697,0.033167115347584396,0.7924371260967352
defensin,A24,Rpv12+1,24,A,B2,87,2090,0.041626794258373206,0.033167115347584396,1.2550622453033118
WRKY48,A31,Rpv12+1+3,0,A,B1,22,2102,0.010466222645099905,0.009873698472924023,1.0600103571929729
bZIP53,A31,Rpv12+1+3,0,A,B1,92,6139,0.01498615409675843,0.009873698472924023,1.5177852694057803
defensin,A31,Rpv12+1+3,0,A,B1,34,3992,0.008517034068136272,0.009873698472924023,0.862598153214012
WRKY48,A32,Rpv12+1+3,6,A,B1,19,2242,0.00847457627118644,0.01014216537842247,0.8355785924390626
bZIP53,A32,Rpv12+1+3,6,A,B1,94,5741,0.01637345410207281,0.01014216537842247,1.6143943123731204
defensin,A32,Rpv12+1+3,6,A,B1,31,3526,0.008791832104367556,0.01014216537842247,0.8668594699779045
WRKY48,A34,Rpv12+1+3,24,A,B2,24,658,0.0364741641337386,0.035674047505031975,1.0224285351583322
bZIP53,A34,Rpv12+1+3,24,A,B2,101,2360,0.042796610169491524,0.035674047505031975,1.1996567017929458
defensin,A34,Rpv12+1+3,24,A,B2,255,6162,0.04138266796494645,0.035674047505031975,1.1600216644637602
WRKY48,A41,susceptible,0,A,B2,5,210,0.023809523809523808,0.04034926516103415,0.590085685935044
bZIP53,A41,susceptible,0,A,B2,29,611,0.04746317512274959,0.04034926516103415,1.1763082904564381
defensin,A41,susceptible,0,A,B2,68,1251,0.05435651478816946,0.04034926516103415,1.3471500551802444
WRKY48,A42,susceptible,6,A,B2,5,190,0.02631578947368421,0.02020835311829252,1.3022233588081584
bZIP53,A42,susceptible,6,A,B2,19,664,0.0286144578313253,0.02020835311829252,1.4159717847281483
defensin,A42,susceptible,6,A,B2,36,1287,0.027972027972027972,0.02020835311829252,1.384181472299581
WRKY48,A44,susceptible,24,A,B2,8,494,0.016194331983805668,0.012007746193686553,1.3486570854004511
bZIP53,A44,susceptible,24,A,B2,15,1044,0.014367816091954023,0.012007746193686553,1.1965456181534175
defensin,A44,susceptible,24,A,B2,19,1662,0.011432009626955475,0.012007746193686553,0.9520529033971596
WRKY48,B11,Rpv12,0,B,B1,9,406,0.022167487684729065,0.013642506950924777,1.6248837376056027
bZIP53,B11,Rpv12,0,B,B1,11,435,0.02528735632183908,0.013642506950924777,1.8535710784537984
defensin,B11,Rpv12,0,B,B1,20,1144,0.017482517482517484,0.013642506950924777,1.2814739655553122
WRKY48,B12,Rpv12,6,B,B2,6,672,0.008928571428571428,0.012474935427632566,0.7157208532554185
bZIP53,B12,Rpv12,6,B,B2,36,2689,0.01338787653402752,0.012474935427632566,1.0731820306157855
defensin,B12,Rpv12,6,B,B2,30,2409,0.012453300124533,0.012474935427632566,0.9982656981893756
WRKY48,B14,Rpv12,24,B,B2,5,179,0.027932960893854747,0.04686441859049097,0.5960377133436259
bZIP53,B14,Rpv12,24,B,B2,42,902,0.04656319290465632,0.04686441859049097,0.9935724010903281
defensin,B14,Rpv12,24,B,B2,57,1093,0.05215004574565416,0.04686441859049097,1.1127855058087859
WRKY48,B21,Rpv12+1,0,B,B1,10,876,0.01141552511415525,0.012000000326497305,0.9512937336300342
bZIP53,B21,Rpv12+1,0,B,B1,40,2455,0.016293279022403257,0.012000000326497305,1.3577732149244968
defensin,B21,Rpv12+1,0,B,B1,24,1689,0.014209591474245116,0.012000000326497305,1.1841325906357514
WRKY48,B22,Rpv12+1,6,B,B1,27,1561,0.01729660474055093,0.019578931146605454,0.8834294686995603
bZIP53,B22,Rpv12+1,6,B,B1,103,4482,0.022980812137438644,0.019578931146605454,1.173752130050419
defensin,B22,Rpv12+1,6,B,B1,47,1606,0.029265255292652552,0.019578931146605454,1.4947320195120297
WRKY48,B24,Rpv12+1,24,B,B1,47,2258,0.020814880425155006,0.016735143818427372,1.2437825841828358
bZIP53,B24,Rpv12+1,24,B,B1,133,4887,0.027215060364231634,0.016735143818427372,1.626222078489976
defensin,B24,Rpv12+1,24,B,B1,28,1507,0.0185799601857996,0.016735143818427372,1.1102360629456238
WRKY48,B31,Rpv12+1+3,0,B,B1,23,1412,0.016288951841359773,0.015324326852053281,1.0629472993247493
bZIP53,B31,Rpv12+1+3,0,B,B1,156,6212,0.025112685125563427,0.015324326852053281,1.6387463780961198
defensin,B31,Rpv12+1+3,0,B,B1,88,4598,0.019138755980861243,0.015324326852053281,1.248913323608526
WRKY48,B32,Rpv12+1+3,6,B,B1,13,1089,0.011937557392102846,0.00985972189493503,1.2107397672377764
bZIP53,B32,Rpv12+1+3,6,B,B1,62,5139,0.012064604008561977,0.00985972189493503,1.223625183055072
defensin,B32,Rpv12+1+3,6,B,B1,43,4557,0.009436032477507132,0.00985972189493503,0.9570282588147289
WRKY48,B34,Rpv12+1+3,24,B,B2,20,686,0.029154518950437316,0.0328555977633906,0.8873531737390206
bZIP53,B34,Rpv12+1+3,24,B,B2,66,2116,0.031190926275992438,0.0328555977633906,0.9493337026041564
defensin,B34,Rpv12+1+3,24,B,B2,234,5467,0.04280226815438083,0.0328555977633906,1.3027389872076327
WRKY48,B41,susceptible,0,B,B1,5,438,0.01141552511415525,0.014072736965299084,0.8111801664668319
bZIP53,B41,susceptible,0,B,B1,29,1089,0.02662993572084481,0.014072736965299084,1.8923067905347475
defensin,B41,susceptible,0,B,B1,24,1251,0.019184652278177457,0.014072736965299084,1.3632495459471363
WRKY48,B42,susceptible,6,B,B2,3,234,0.01282051282051282,0.023197926597820665,0.5526577026809476
bZIP53,B42,susceptible,6,B,B2,26,749,0.03471295060080107,0.023197926597820665,1.4963816035206432
defensin,B42,susceptible,6,B,B2,53,1614,0.03283767038413878,0.023197926597820665,1.4155433351196018
WRKY48,B44,susceptible,24,B,B2,4,301,0.013289036544850499,0.020930139514562157,0.6349234574191273
bZIP53,B44,susceptible,24,B,B2,4,204,0.0196078431372549,0.020930139514562157,0.9368233366821436
defensin,B44,susceptible,24,B,B2,79,3324,0.023766546329723224,0.020930139514562157,1.1355178169351252
WRKY48,C11,Rpv12,0,C,B1,5,484,0.010330578512396695,0.013179297905931527,0.7838489262578451
bZIP53,C11,Rpv12,0,C,B1,43,394,0.10913705583756345,0.013179297905931527,8.280946118415367
defensin,C11,Rpv12,0,C,B1,22,824,0.02669902912621359,0.013179297905931527,2.0258309142702755
WRKY48,C12,Rpv12,6,C,B1,5,649,0.007704160246533128,0.010818506397495372,0.7121279004204077
bZIP53,C12,Rpv12,6,C,B1,16,3593,0.004453103256331756,0.010818506397495372,0.41161904358282847
defensin,C12,Rpv12,6,C,B1,23,2289,0.010048055919615552,0.010818506397495372,0.9287840253014789
WRKY48,C14,Rpv12,24,C,B2,1,81,0.012345679012345678,0.050497271329306044,0.24448210145526963
bZIP53,C14,Rpv12,24,C,B2,28,551,0.050816696914700546,0.050497271329306044,1.006325600908442
defensin,C14,Rpv12,24,C,B2,38,702,0.05413105413105413,0.050497271329306044,1.0719599833038747
WRKY48,C21,Rpv12+1,0,C,B1,13,916,0.014192139737991267,0.012162728404641568,1.1668549412461788
bZIP53,C21,Rpv12+1,0,C,B1,56,2881,0.0194376952447067,0.012162728404641568,1.598136092333431
defensin,C21,Rpv12+1,0,C,B1,25,1315,0.019011406844106463,0.012162728404641568,1.5630873445181335
WRKY48,C22,Rpv12+1,6,C,B1,21,2049,0.010248901903367497,0.009972961512478496,1.0276688514784436
bZIP53,C22,Rpv12+1,6,C,B1,45,3405,0.013215859030837005,0.009972961512478496,1.3251689595212905
defensin,C22,Rpv12+1,6,C,B1,10,1153,0.008673026886383347,0.009972961512478496,0.8696541017962791
WRKY48,C24,Rpv12+1,24,C,B1,23,2045,0.011246943765281174,0.012690503861644326,0.8862487957845271
bZIP53,C24,Rpv12+1,24,C,B1,66,3992,0.016533066132264528,0.012690503861644326,1.3027903629763615
defensin,C24,Rpv12+1,24,C,B1,9,1007,0.00893743793445879,0.012690503861644326,0.7042618663448996
WRKY48,C31,Rpv12+1+3,0,C,B1,29,1890,0.015343915343915344,0.015007746667374193,1.0223996769129877
bZIP53,C31,Rpv12+1+3,0,C,B1,121,4508,0.02684117125110914,0.015007746667374193,1.7884877620875623
defensin,C31,Rpv12+1+3,0,C,B1,44,4283,0.01027317300957273,0.015007746667374193,0.6845246816369775
WRKY48,C32,Rpv12+1+3,6,C,B2,16,1236,0.012944983818770227,0.014005635857625588,0.9242696261963806
bZIP53,C32,Rpv12+1+3,6,C,B2,138,5172,0.02668213457076566,0.014005635857625588,1.9050998356663795
defensin,C32,Rpv12+1+3,6,C,B2,32,2265,0.0141280353200883,0.014005635857625588,1.008739300643467
WRKY48,C34,Rpv12+1+3,24,C,B1,14,1150,0.01217391304347826,0.011976508692669427,1.0164826291095719
bZIP53,C34,Rpv12+1+3,24,C,B1,94,4616,0.020363951473136917,0.011976508692669427,1.7003245265960747
defensin,C34,Rpv12+1+3,24,C,B1,51,3720,0.013709677419354839,0.011976508692669427,1.1447140206850306
WRKY48,C41,susceptible,0,C,B2,2,240,0.008333333333333333,0.013052012360414077,0.6384711493691044
bZIP53,C41,susceptible,0,C,B2,13,569,0.022847100175746926,0.013052012360414077,1.750465717075225
defensin,C41,susceptible,0,C,B2,25,1110,0.02252252252252252,0.013052012360414077,1.7255977009975794
WRKY48,C42,susceptible,6,C,B2,0,146,0.0,0.006607527521733943,0.0
