"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04000"	0.0735461102814676	0.303619442959104	0.4	0.504342846438795	0.640455212922173	-0.0735461102814677	"F6HQV9"
"Vitvi01g04001"	0.0761133632644898	0.709797150039608	1	0.81679101892032	1	-0.0761133632644899	"D7UC20"
"Vitvi01g04002"	-1.12266380379418	0.00330120292198612	0.1	0.0514507049229381	0.27000619067272	1.12266380379418	"F6HF07"
"Vitvi01g04003"	-0.0566889667227213	0.108013897961309	0.1	0.287711219049418	0.27000619067272	0.0566889667227213	NA
"Vitvi01g04004"	-0.142749989298806	0.0538155001035654	0.1	0.198240121369679	0.27000619067272	0.142749989298806	"F6HYH6"
"Vitvi01g04005"	-0.819358073069298	0.0124400591939203	0.1	0.0964574545320596	0.27000619067272	0.819358073069297	"D7SQ27"
"Vitvi01g00002"	-0.86472249287512	0.0616313702485499	0.1	0.212915026803208	0.27000619067272	0.864722492875117	"F6HF06"
"Vitvi01g00005"	-0.091153025651001	0.0617352379231917	0.1	0.213062916085083	0.27000619067272	0.0911530256509998	"F6HF05"
"Vitvi01g01834"	-0.45017203187091	0.146880889043643	0.1	0.336902970057245	0.27000619067272	0.450172031870906	"F6HF04"
"Vitvi01g00006"	0.135222031512633	0.0951496119228077	0.2	0.26939389006572	0.422660098522168	-0.135222031512633	"F6HF03"
"Vitvi01g01835"	-0.475113258803388	0.403065553350329	0.7	0.582945864133125	0.807934547699907	0.475113258803387	"F6HF02"
"Vitvi01g01836"	0.29627895784764	0.00104113278031787	0.1	0.0322405850464588	0.27000619067272	-0.29627895784764	"F6HF01"
"Vitvi01g00008"	-0.0768209622767468	0.658013872814923	1	0.780048246328141	1	0.0768209622767466	"Q6E6S7"
"Vitvi01g00011"	0.0953116341064866	0.746379814457199	0.7	0.840480705200418	0.807934547699907	-0.0953116341064868	"D7T9Z7"
"Vitvi01g00012"	-0.444732334254996	0.0357382639673722	0.1	0.160495513684837	0.27000619067272	0.444732334254995	"F6HF00"
"Vitvi01g01837"	0.423276848803254	0.106419753673625	0.2	0.285566385823661	0.422660098522168	-0.423276848803255	"F6HEZ9"
"Vitvi01g00014"	-0.0468238387298303	0.850477704189258	1	0.90938754297096	1	0.0468238387298303	"D7T9Z3"
"Vitvi01g01838"	0.365640449192333	0.0771720891329182	0.1	0.239335909044719	0.27000619067272	-0.365640449192334	"F6HEZ8"
"Vitvi01g00015"	0.0029821904617681	0.971397582677854	1	0.983385042208773	1	-0.00298219046176829	"F6HEZ7"
"Vitvi01g00019"	-0.0347095237688263	0.447942886296198	0.4	0.619076704065762	0.640455212922173	0.0347095237688266	"D7T9Y8"
"Vitvi01g00023"	0.140664338538114	0.136120922387766	0.2	0.324856314524272	0.422660098522168	-0.140664338538116	"D7T9Y7"
"Vitvi01g00024"	-0.229388267694927	0.0197245891649897	0.1	0.120488509304065	0.27000619067272	0.229388267694928	"F6HEZ6"
"Vitvi01g00025"	0.30607293097129	0.0180179762143653	0.1	0.115191776279307	0.27000619067272	-0.30607293097129	"D7T9Y5"
"Vitvi01g00026"	0.199972937074932	0.166864195569138	0.7	0.359811233837242	0.807934547699907	-0.199972937074932	"A5BJC3"
"Vitvi01g00027"	-0.161234579415058	0.0514328130588099	0.1	0.193633331166162	0.27000619067272	0.161234579415057	"F6HFV3"
"Vitvi01g04008"	0.011134787713066	0.953533074970405	1	0.972588079896715	1	-0.0111347877130665	"F6HDF3"
"Vitvi01g00028"	-0.0552998449270314	0.465702669053118	0.7	0.63236680917658	0.807934547699907	0.0552998449270294	"D7T9Y2"
"Vitvi01g00029"	0.041534539231632	0.633087312226536	1	0.762092328466314	1	-0.041534539231634	"F6HFV2"
"Vitvi01g00031"	1.17750706209491	0.117237031991526	0.4	0.300352157689581	0.640455212922173	-1.17750706209491	"F6HFV1"
"Vitvi01g00033"	-0.122919775424733	0.612118227299235	0.7	0.746749423812115	0.807934547699907	0.122919775424732	"D7T9X8"
"Vitvi01g00034"	1.6561044310017	0.0122796503474855	0.1	0.0958495168214685	0.27000619067272	-1.6561044310017	"F6HFV0"
"Vitvi01g00035"	0.162978718977731	0.0946116703001997	0.2	0.268543142712682	0.422660098522168	-0.162978718977735	"D7T9X6"
"Vitvi01g00036"	1.3146331686529	0.0364948886879805	0.1	0.162035076701012	0.27000619067272	-1.3146331686529	"D7T9X5"
"Vitvi01g00037"	0.595576177953156	0.0199942557847303	0.1	0.121176492399019	0.27000619067272	-0.595576177953157	"F6HFU9"
"Vitvi01g00038"	0.358759671497432	0.00420483394138279	0.1	0.057841995150054	0.27000619067272	-0.358759671497433	"F6H489"
"Vitvi01g01840"	-0.261814124694954	0.296076699148879	0.4	0.497306234918294	0.640455212922173	0.261814124694953	"F6HFU7"
"Vitvi01g00039"	-0.112046869826901	0.176265167330599	0.4	0.371203013338866	0.640455212922173	0.1120468698269	"F6HFU6"
"Vitvi01g00041"	-0.00705380296223407	0.946226750241554	1	0.968279350372316	1	0.00705380296223268	"F6HFU5"
