"contrast_id","genotype","time","matrix","n_called"
"Rpv12_vs_Susceptible_at_0h","Rpv12",0,"rlog_ComBat_condition_protected",401
"Rpv12+1_vs_Susceptible_at_0h","Rpv12+1",0,"rlog_ComBat_condition_protected",161
"Rpv12+1+3_vs_Susceptible_at_0h","Rpv12+1+3",0,"rlog_ComBat_condition_protected",182
"Rpv12_vs_Susceptible_at_6h","Rpv12",6,"rlog_ComBat_condition_protected",212
"Rpv12+1_vs_Susceptible_at_6h","Rpv12+1",6,"rlog_ComBat_condition_protected",403
"Rpv12+1+3_vs_Susceptible_at_6h","Rpv12+1+3",6,"rlog_ComBat_condition_protected",333
"Rpv12_vs_Susceptible_at_24h","Rpv12",24,"rlog_ComBat_condition_protected",105
"Rpv12+1_vs_Susceptible_at_24h","Rpv12+1",24,"rlog_ComBat_condition_protected",36
"Rpv12+1+3_vs_Susceptible_at_24h","Rpv12+1+3",24,"rlog_ComBat_condition_protected",52
"Rpv12_vs_Susceptible_at_0h","Rpv12",0,"rlog_ComBat_unprotected",7
"Rpv12+1_vs_Susceptible_at_0h","Rpv12+1",0,"rlog_ComBat_unprotected",2
"Rpv12+1+3_vs_Susceptible_at_0h","Rpv12+1+3",0,"rlog_ComBat_unprotected",7
"Rpv12_vs_Susceptible_at_6h","Rpv12",6,"rlog_ComBat_unprotected",83
"Rpv12+1_vs_Susceptible_at_6h","Rpv12+1",6,"rlog_ComBat_unprotected",175
"Rpv12+1+3_vs_Susceptible_at_6h","Rpv12+1+3",6,"rlog_ComBat_unprotected",48
"Rpv12_vs_Susceptible_at_24h","Rpv12",24,"rlog_ComBat_unprotected",46
"Rpv12+1_vs_Susceptible_at_24h","Rpv12+1",24,"rlog_ComBat_unprotected",0
"Rpv12+1+3_vs_Susceptible_at_24h","Rpv12+1+3",24,"rlog_ComBat_unprotected",1
