"dataset","biotype","time","SOBIR1","GSO2","LRR_RLP_548","LRR_RLP_416","RGI1","RLP","EDS1","ACD6"
"own","Susceptible",0,96.8,23,24.7,31.1,24,80.5,58.5,32.5
"own","Rpv12",0,99,66.4,51,61.3,38.3,98.5,82.1,79.6
"own","Susceptible",6,97.5,19.6,19.2,33.1,19.1,81.4,61.3,31.3
"own","Rpv12",6,97.1,47,40.6,41.7,27.8,90.3,63.4,62.7
"own","Susceptible",24,98.6,49.2,44,51.1,33.2,89,80.4,45.5
"own","Rpv12",24,97.7,49.5,43.9,49.1,28.9,97.3,73.8,45.7
"chitarrini","mock",0,97.4,15.5,7.6,5.1,3.4,23.2,72.2,29.8
"chitarrini","mock",12,89.8,8.2,5.4,3.4,3.4,17.4,69.2,37.9
"chitarrini","mock",24,95.3,11.1,3.5,5,6.6,19.1,69,27.8
"chitarrini","inoculated",12,94.1,10.9,6.3,7.3,4.2,24.5,70,35.7
"chitarrini","inoculated",24,96.8,12.5,9.6,11,7.2,32.1,70,27
