"family","contrast","n_genes_total","n_genes_for_50pct","pct_genes_for_50pct","n_genes_for_75pct","pct_genes_for_75pct","n_genes_for_80pct","pct_genes_for_80pct","n_genes_for_90pct","pct_genes_for_90pct","n_genes_for_95pct","pct_genes_for_95pct"
"within_mock","12h_vs_0h",25413,1668,6.56356982646677,4458,17.5422028095856,5435,21.3866918506276,8466,33.3136583638295,11307,44.4929760358871
"within_mock","24h_vs_0h",25413,1741,6.85082438122221,4587,18.0498170227836,5587,21.9848109235431,8706,34.2580569000118,11609,45.6813441939165
"within_mock","48h_vs_0h",25413,1551,6.10317554007791,4235,16.6646991697163,5197,20.4501633022469,8250,32.4636996812655,11172,43.9617518592846
"within_mock","96h_vs_0h",25413,1376,5.41455160744501,3864,15.2048164325345,4801,18.8919057175461,7829,30.8070672490458,10801,42.5018691221029
"within_mock","120h_vs_0h",25413,1480,5.82379097312399,4067,16.0036201943887,5012,19.7221894306064,8090,31.834100657144,11068,43.5525124936056
"within_inoculated","24h_vs_12h",25413,1669,6.56750482036753,4377,17.2234683036241,5324,20.9499075276433,8301,32.6643843702042,11185,44.0129067799945
"within_inoculated","48h_vs_12h",25413,1411,5.55227639397159,3914,15.4015661275725,4808,18.9194506748515,7616,29.968913548184,10352,40.7350568606619
"within_inoculated","96h_vs_12h",25413,1450,5.70574115610121,4006,15.7635855664424,4958,19.5096997599654,8031,31.6019360169992,11018,43.3557627985677
"cross_condition_inoculated_vs_mock","12hpi",25413,1372,5.39881163184197,3546,13.953488372093,4352,17.1250934561051,6971,27.4308424821942,9618,37.8467713375044
"cross_condition_inoculated_vs_mock","24hpi",25413,1314,5.17058198559792,3424,13.4734191162004,4204,16.5427143587927,6767,26.6281037264392,9362,36.83941289891
