"family","contrast","AggrDiv","n_obs","n_ref","n_pool","n_null","min_attainable_p","p_emp","p_adj_fdr"
"within_mock","12h_vs_0h",0.862221807888797,3,3,6,20,0.0476190476190476,0.0952380952380952,0.119047619047619
"within_mock","24h_vs_0h",0.62577704745583,3,3,6,20,0.0476190476190476,0.0952380952380952,0.119047619047619
"within_mock","48h_vs_0h",0.948933905363321,3,3,6,20,0.0476190476190476,0.0952380952380952,0.119047619047619
"within_mock","96h_vs_0h",2.42681370257176,3,3,6,20,0.0476190476190476,0.0952380952380952,0.119047619047619
"within_mock","120h_vs_0h",1.87731090881055,2,3,5,10,0.0909090909090909,0.181818181818182,0.181818181818182
"within_inoculated","24h_vs_12h",0.47208057655617,3,3,6,20,0.0476190476190476,0.0952380952380952,0.119047619047619
"within_inoculated","48h_vs_12h",0.661518873043703,3,3,6,20,0.0476190476190476,0.0952380952380952,0.119047619047619
"within_inoculated","96h_vs_12h",1.68241042286931,3,3,6,20,0.0476190476190476,0.0952380952380952,0.119047619047619
"cross_condition_inoculated_vs_mock","12hpi",0.203501933225455,3,3,6,20,0.0476190476190476,0.142857142857143,0.158730158730159
"cross_condition_inoculated_vs_mock","24hpi",0.221470044883545,3,3,6,20,0.0476190476190476,0.0952380952380952,0.119047619047619
