run_accession	sample_title	experiment_batch	ercc_mix	url_R1	url_R2	md5_R1	md5_R2
ERR1811888	Sample_1	1	1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1811888/ERR1811888_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1811888/ERR1811888_2.fastq.gz	a42b9a902867d5c02145174638169eed	04e0a956a64360bf3b4c0a325caf224e
ERR1811889	Sample_2	1	2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1811889/ERR1811889_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1811889/ERR1811889_2.fastq.gz	21e4836def08e6ecc1e1237a8c0de1aa	10619c9db250d175cd9215332980e080
ERR1811890	Sample_3	1	1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1811890/ERR1811890_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1811890/ERR1811890_2.fastq.gz	06c82c0f67a50b4d01291792561f5fa3	dcb8c6fe197968c52dcaadcf86f74e22
ERR1811891	Sample_4	1	2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1811891/ERR1811891_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1811891/ERR1811891_2.fastq.gz	dd1343ab75143dc4c527d2a71140c0fd	f749f6659102dc50579c7f9b04a18dcf
ERR1811892	Sample_5	1	1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1811892/ERR1811892_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1811892/ERR1811892_2.fastq.gz	3106f340f84cb2f2a81cf6e821ada48f	edc9da6b5a3ce137f9316aba9c397468
ERR1811893	Sample_6	1	2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1811893/ERR1811893_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1811893/ERR1811893_2.fastq.gz	55e7625740c6d986159c73acf6bbd6a4	9062266ecae78946684e9c448bbab5b9
ERR1811894	Sample_7	1	1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/004/ERR1811894/ERR1811894_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/004/ERR1811894/ERR1811894_2.fastq.gz	e464d96643fd4f16aceb2593a8c81256	43c27fc2da8cfaad39a8335cb65dc62e
ERR1811900	Sample_8	2	1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1811900/ERR1811900_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1811900/ERR1811900_2.fastq.gz	f8f43e7f7142c86874d98eeb1d7e9695	d57b733a2911aa9b26f2f9a19291ec03
ERR1811901	Sample_9	2	2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1811901/ERR1811901_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1811901/ERR1811901_2.fastq.gz	0dca6fe6ef9dce4a008570babf63b2e3	f368a7597ac864c9fd2f82638234ed8d
ERR1811895	Sample_10	2	1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1811895/ERR1811895_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1811895/ERR1811895_2.fastq.gz	c5be65ba787582b94c0708cf75cc918a	73ee32fb748b4ab3e436efd3d0a6c71a
ERR1811896	Sample_11	2	2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/006/ERR1811896/ERR1811896_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/006/ERR1811896/ERR1811896_2.fastq.gz	b41243a66ed3d3f21637e7d351edf422	bf5e44b6d50410e0e514bbf2eba0eec4
ERR1811897	Sample_12	2	1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/007/ERR1811897/ERR1811897_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/007/ERR1811897/ERR1811897_2.fastq.gz	84b504d1aa0a11ad5c9f3e3a065ece6c	534a877c84bb29a3491774dc88c596e8
ERR1811898	Sample_13	2	2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1811898/ERR1811898_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1811898/ERR1811898_2.fastq.gz	e7d7616e9f2446055ae85d65e4ed78fa	591f6f002353a753b64d93df319dd964
ERR1811899	Sample_14	2	1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1811899/ERR1811899_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1811899/ERR1811899_2.fastq.gz	a651c35dbb9fb82fbb6e3252d23076a0	582e408f17486b69935be1e8a58135cf
ERR1811902	Sample_15	3	1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1811902/ERR1811902_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1811902/ERR1811902_2.fastq.gz	a9e0f979192942ff58df1b32ee1a85cc	f3cbf36b30651f04651bea97ea73a1aa
ERR1811903	Sample_16	3	2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1811903/ERR1811903_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1811903/ERR1811903_2.fastq.gz	4d4344361e7a284f8e38a8a26d59607e	359ac3dbffa1be9c9c72b4254f58b422
ERR1811904	Sample_17	3	1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/004/ERR1811904/ERR1811904_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/004/ERR1811904/ERR1811904_2.fastq.gz	3613d94f53e3f90c77627ccaab51e353	e00e209609b78d4a30dd1ef9c8418648
