"family","contrast","n_genes","pct_of_total_from_top1pct","pct_of_total_from_top5pct","pct_of_total_from_top10pct","n_genes_for_50pct","pct_genes_for_50pct","n_genes_for_90pct","pct_genes_for_90pct"
"within_MV102","T1_vs_T0",24458,25.2885731240387,57.2972804371314,73.7294389359308,892,3.64706844386295,5513,22.5406819854444
"within_MV102","T2_vs_T0",24458,22.9345453842792,53.3866480501389,70.2040449824337,1056,4.31760569138932,6219,25.4272630632104
"within_MV102","T3_vs_T0",24458,22.3515742420848,53.9291318741173,70.993310898695,1036,4.23583285632513,6005,24.5522937280235
"within_MV102","T4_vs_T0",24458,19.0855716336865,49.8800747207652,67.7738652846453,1229,5.02494071469458,6519,26.6538555891733
"within_MV102","T5_vs_T0",24458,18.0333983869569,48.4435821299746,66.4561784920775,1303,5.32750020443209,6786,27.7455229372802
"within_MV102","T6_vs_T0",24458,17.7709301556705,48.178674842558,66.4046514172751,1316,5.38065254722381,6744,27.5737999836454
"within_MV32","T1_vs_T0",24458,23.3328024848562,54.0891860659378,70.9161821927844,1027,4.19903508054624,5981,24.4541663259465
"within_MV32","T2_vs_T0",24458,20.8852240712778,51.5964550912542,68.8232143811912,1145,4.68149480742497,6480,26.4943985607981
"within_MV32","T3_vs_T0",24458,20.3164622986266,50.3257836494547,67.1063383184751,1207,4.93499059612397,7243,29.614032218497
"within_MV32","T4_vs_T0",24458,19.9866236785366,49.7229618073499,66.6402656253227,1238,5.06173849047346,7176,29.340093221032
"within_MV32","T5_vs_T0",24458,16.5016445981128,46.2043640872601,64.5156286242627,1420,5.80587128955761,7232,29.5690571592117
"within_MV32","T6_vs_T0",24458,16.9204544276279,45.951792545891,63.6205891086803,1444,5.90399869163464,7617,31.1431842341974
"within_Syrah_background","DEV02_vs_DEV01",25755,27.8241879278814,55.8470411406214,71.2121084911179,977,3.79343816734615,6691,25.9794214715589
"within_Syrah_background","DEV03_vs_DEV01",25755,20.0067915978853,52.358187268614,70.2067511199609,1174,4.55833818675985,6564,25.4863133372161
"within_Syrah_background","DEV04_vs_DEV01",25755,19.3369329746736,51.2804664472733,68.9548176928391,1224,4.75247524752475,6861,26.6394874781596
"within_Syrah_background","DEV05_vs_DEV01",25755,18.1395106839314,49.6902460897623,68.2512540294706,1304,5.06309454474859,6794,26.3793438167346
"within_Syrah_background","DEV06_vs_DEV01",25755,20.1980324483446,51.6245896516807,69.3781447262053,1209,4.69423412929528,6759,26.2434478741992
"within_Syrah_background","DEV07_vs_DEV01",25755,19.8309672437806,51.0657431581004,68.9116705580207,1234,4.79130265967773,6749,26.2046204620462
"within_Syrah_background","DEV08_vs_DEV01",25755,19.8372203572473,51.0601731002375,68.8711280069705,1235,4.79518540089303,6895,26.7715006794797
"within_Syrah_background","DEV09_vs_DEV01",25755,19.0850721991513,50.0797700352171,67.724034685326,1284,4.98543972044263,7203,27.9673849737915
"within_Syrah_background","DEV10_vs_DEV01",25755,16.5906249913043,46.174177121432,64.2894064311577,1499,5.8202290817317,7812,30.331974373908
"within_Syrah_background","DEV11_vs_DEV01",25755,16.1589797702178,45.8468358096141,64.1165424994971,1517,5.89011842360707,7748,30.0834789361289
"within_G5_bonus","T2_vs_T1",23636,18.6257189442195,48.5762583673581,66.2231613219308,1255,5.30969707226265,6317,26.7261804027754
"within_G5_bonus","T3_vs_T1",23636,20.5831424869935,51.8764582275561,69.3357633497527,1095,4.63276358097817,5952,25.1819258757827
"cross_cultivar_MV102_vs_MV32","T0",24458,27.7170952536455,57.9451836343282,73.2674357712072,845,3.4549022814621,6174,25.243274184316
"cross_cultivar_MV102_vs_MV32","T1",24458,29.8841017985066,61.138659552359,75.4981774962551,712,2.91111292828522,5559,22.7287595060921
"cross_cultivar_MV102_vs_MV32","T4",24458,24.7031015374553,58.8719975440366,75.0646504969778,845,3.4549022814621,5359,21.9110311554502
"cross_cultivar_MV102_vs_MV32","T6",24458,23.4276102793078,54.2785857472119,71.1603961070655,1017,4.15814866301415,6016,24.5972687873089
