"family","contrast","note","AggrDiv","n_obs","n_ref","n_pool","n_null","min_attainable_p","p_emp","p_adj_fdr"
"within_MV102","T1_vs_T0","resistant (RUN1/RPV1 carrier), own developmental baseline",1.20570285761121,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_MV102","T2_vs_T0","resistant (RUN1/RPV1 carrier), own developmental baseline",2.00439918721452,2,3,5,10,0.0909090909090909,0.181818181818182,0.231404958677686
"within_MV102","T3_vs_T0","resistant (RUN1/RPV1 carrier), own developmental baseline",2.86714660676718,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_MV102","T4_vs_T0","resistant (RUN1/RPV1 carrier), own developmental baseline",4.41411002160276,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_MV102","T5_vs_T0","resistant (RUN1/RPV1 carrier), own developmental baseline",4.96186914285321,2,3,5,10,0.0909090909090909,0.181818181818182,0.231404958677686
"within_MV102","T6_vs_T0","resistant (RUN1/RPV1 carrier), own developmental baseline",5.32926900621472,2,3,5,10,0.0909090909090909,0.181818181818182,0.231404958677686
"within_MV32","T1_vs_T0","susceptible (non-carrier), own developmental baseline",0.921563280685797,3,2,5,10,0.0909090909090909,0.181818181818182,0.231404958677686
"within_MV32","T2_vs_T0","susceptible (non-carrier), own developmental baseline",2.52727676812813,2,2,4,6,0.142857142857143,0.285714285714286,0.285714285714286
"within_MV32","T3_vs_T0","susceptible (non-carrier), own developmental baseline",3.06880505363874,2,2,4,6,0.142857142857143,0.285714285714286,0.285714285714286
"within_MV32","T4_vs_T0","susceptible (non-carrier), own developmental baseline",3.30612200952711,2,2,4,6,0.142857142857143,0.285714285714286,0.285714285714286
"within_MV32","T5_vs_T0","susceptible (non-carrier), own developmental baseline",5.74278935335554,2,2,4,6,0.142857142857143,0.285714285714286,0.285714285714286
"within_MV32","T6_vs_T0","susceptible (non-carrier), own developmental baseline",5.22872741911397,2,2,4,6,0.142857142857143,0.285714285714286,0.285714285714286
"within_Syrah_background","DEV02_vs_DEV01","susceptible cultivar, no resistance locus, full unrelated background -- reference distribution for 'normal' developmental AED",1.04681587352523,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_Syrah_background","DEV03_vs_DEV01","susceptible cultivar, no resistance locus, full unrelated background -- reference distribution for 'normal' developmental AED",2.20716626532011,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_Syrah_background","DEV04_vs_DEV01","susceptible cultivar, no resistance locus, full unrelated background -- reference distribution for 'normal' developmental AED",3.19867165629674,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_Syrah_background","DEV05_vs_DEV01","susceptible cultivar, no resistance locus, full unrelated background -- reference distribution for 'normal' developmental AED",3.29916458428612,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_Syrah_background","DEV06_vs_DEV01","susceptible cultivar, no resistance locus, full unrelated background -- reference distribution for 'normal' developmental AED",3.55961277205677,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_Syrah_background","DEV07_vs_DEV01","susceptible cultivar, no resistance locus, full unrelated background -- reference distribution for 'normal' developmental AED",4.01758141026651,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_Syrah_background","DEV08_vs_DEV01","susceptible cultivar, no resistance locus, full unrelated background -- reference distribution for 'normal' developmental AED",4.54905326554603,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_Syrah_background","DEV09_vs_DEV01","susceptible cultivar, no resistance locus, full unrelated background -- reference distribution for 'normal' developmental AED",4.90196836125085,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_Syrah_background","DEV10_vs_DEV01","susceptible cultivar, no resistance locus, full unrelated background -- reference distribution for 'normal' developmental AED",6.57857433178675,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_Syrah_background","DEV11_vs_DEV01","susceptible cultivar, no resistance locus, full unrelated background -- reference distribution for 'normal' developmental AED",6.95439983367067,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"within_G5_bonus","T2_vs_T1","second resistant genotype, thin n (8 samples/3 stages total) -- exploratory only",3.09293773459566,2,3,5,10,0.0909090909090909,0.181818181818182,0.231404958677686
"within_G5_bonus","T3_vs_T1","second resistant genotype, thin n (8 samples/3 stages total) -- exploratory only",3.2208009574445,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"cross_cultivar_MV102_vs_MV32","T0","RUN1/RPV1 carrier (MV102) vs non-carrier (MV32), same validated developmental stage",1.03646840891898,3,2,5,10,0.0909090909090909,0.181818181818182,0.231404958677686
"cross_cultivar_MV102_vs_MV32","T1","RUN1/RPV1 carrier (MV102) vs non-carrier (MV32), same validated developmental stage",1.02290331146509,3,3,6,20,0.0476190476190476,0.0952380952380952,0.177777777777778
"cross_cultivar_MV102_vs_MV32","T4","RUN1/RPV1 carrier (MV102) vs non-carrier (MV32), same validated developmental stage",1.95085424143663,3,2,5,10,0.0909090909090909,0.181818181818182,0.231404958677686
"cross_cultivar_MV102_vs_MV32","T6","RUN1/RPV1 carrier (MV102) vs non-carrier (MV32), same validated developmental stage",1.2948654719375,2,2,4,6,0.142857142857143,0.285714285714286,0.285714285714286
