"contrast","gene_set","n_genes_sig","n_genes_total","n_genes_for_50pct","pct_genes_for_50pct","n_genes_for_75pct","pct_genes_for_75pct","n_genes_for_80pct","pct_genes_for_80pct","n_genes_for_90pct","pct_genes_for_90pct","n_genes_for_95pct","pct_genes_for_95pct"
"Rpv12_0hpi","all_genes",NA,26169,1205,4.60468493255379,3240,12.3810615613894,3982,15.2164775115595,6474,24.7391952309985,9152,34.9726775956284
"Rpv12_0hpi","DE_primary",4124,4124,648,15.7129000969932,1492,36.1784675072745,1753,42.5072744907856,2482,60.184287099903,3062,74.2483026188167
"Rpv12_6hpi","all_genes",NA,26169,1056,4.03530895334174,3086,11.7925790056938,3847,14.7005999465016,6442,24.6169131415033,9183,35.0911383698269
"Rpv12_6hpi","DE_primary",1503,1503,226,15.0365934797073,562,37.3918829008649,665,44.2448436460413,948,63.0738522954092,1162,77.3120425815037
"Rpv12_24hpi","all_genes",NA,26169,988,3.77545951316443,2958,11.3034506477129,3721,14.2191142191142,6323,24.162176621193,9130,34.8886086591005
"Rpv12_24hpi","DE_primary",2693,2693,346,12.8481247679168,883,32.7887114741924,1061,39.3984404010397,1584,58.8191607872261,1999,74.2294838470108
"Rpv12_1_0hpi","all_genes",NA,26169,1188,4.53972257250946,3281,12.5377354885552,4061,15.5183614200008,6623,25.3085712102106,9309,35.5726240972143
"Rpv12_1_0hpi","DE_primary",3159,3159,463,14.6565368787591,1121,35.485913263691,1327,42.0069642291865,1913,60.5571383349161,2378,75.2769863880975
"Rpv12_1_6hpi","all_genes",NA,26169,1033,3.94741870151706,3043,11.6282624479346,3780,14.444571821621,6202,23.6997974702893,8786,33.574076197027
"Rpv12_1_6hpi","DE_primary",1522,1522,211,13.8633377135348,522,34.2969776609724,621,40.8015768725361,911,59.8554533508541,1143,75.0985545335085
"Rpv12_1_24hpi","all_genes",NA,26169,875,3.34365088463449,2595,9.91631319500172,3284,12.5491994344453,5683,21.7165348312889,8291,31.6825251251481
"Rpv12_1_24hpi","DE_primary",2392,2392,348,14.5484949832776,819,34.2391304347826,969,40.5100334448161,1401,58.5702341137124,1752,73.2441471571906
"Rpv12_1_3_0hpi","all_genes",NA,26169,1074,4.10409262868279,2983,11.3989835301311,3693,14.1121173908059,6053,23.1304214910772,8591,32.8289197141656
"Rpv12_1_3_0hpi","DE_primary",2957,2957,465,15.7253973621914,1082,36.591139668583,1269,42.915116672303,1790,60.5343253297261,2203,74.5011836320595
"Rpv12_1_3_6hpi","all_genes",NA,26169,1202,4.59322098666361,3187,12.178531850663,3901,14.9069509725247,6287,24.0246092705109,8840,33.7804272230502
"Rpv12_1_3_6hpi","DE_primary",3877,3877,612,15.7854010833118,1407,36.2909466082022,1653,42.636058808357,2335,60.2269796234202,2876,74.1810678359556
"Rpv12_1_3_24hpi","all_genes",NA,26169,1029,3.93213344033016,3168,12.1059268600252,3981,15.2126561962628,6680,25.5263861821239,9482,36.2337116435477
"Rpv12_1_3_24hpi","DE_primary",3433,3433,441,12.8459073696475,1150,33.498397902709,1384,40.3145936498689,2052,59.7727934750947,2567,74.7742499271774
