"genotype","contrast","n_genes","n_genes_for_50pct","pct_genes_for_50pct","n_genes_for_90pct","pct_genes_for_90pct"
"Susceptible","6hpi_vs_0hpi",26169,1554,5.93832397111086,7460,28.5070121135695
"Susceptible","24hpi_vs_0hpi",26169,1249,4.77282280560969,7036,26.886774427758
"Susceptible","24hpi_vs_6hpi",26169,1169,4.46711758187168,7030,26.8638465359777
"Rpv12","6hpi_vs_0hpi",26169,1781,6.80576254346746,7754,29.6304788108067
"Rpv12","24hpi_vs_0hpi",26169,940,3.59203637892162,5916,22.6069012954259
"Rpv12","24hpi_vs_6hpi",26169,1384,5.28870037066758,7663,29.2827391188047
"Rpv12_1","6hpi_vs_0hpi",26169,1411,5.39187588367916,7221,27.5937177576522
"Rpv12_1","24hpi_vs_0hpi",26169,1289,4.9256754174787,6887,26.317398448546
"Rpv12_1","24hpi_vs_6hpi",26169,1589,6.07207000649624,7816,29.8674003592036
"Rpv12_1_3","6hpi_vs_0hpi",26169,1402,5.35748404600864,7506,28.6827926172188
"Rpv12_1_3","24hpi_vs_0hpi",26169,1240,4.73843096793916,7111,27.1733730750124
"Rpv12_1_3","24hpi_vs_6hpi",26169,1201,4.58939967136688,6376,24.3647063319194
