"genotype","contrast","n_genes_total","n_genes_for_50pct","pct_genes_for_50pct","n_genes_for_75pct","pct_genes_for_75pct","n_genes_for_80pct","pct_genes_for_80pct","n_genes_for_90pct","pct_genes_for_90pct","n_genes_for_95pct","pct_genes_for_95pct"
"Susceptible","6hpi_vs_0hpi",26169,1554,5.93832397111086,3830,14.6356375864573,4662,17.8149719133326,7460,28.5070121135695,10385,39.6843593564905
"Susceptible","24hpi_vs_0hpi",26169,1249,4.77282280560969,3441,13.1491459360312,4269,16.3131950017196,7036,26.886774427758,9866,37.7010967174902
"Susceptible","24hpi_vs_6hpi",26169,1169,4.46711758187168,3385,12.9351522794146,4219,16.1221292368833,7030,26.8638465359777,9927,37.9341969505904
"Rpv12","6hpi_vs_0hpi",26169,1781,6.80576254346746,4177,15.9616339944209,5021,19.1868241048569,7754,29.6304788108067,10519,40.1964156062517
"Rpv12","24hpi_vs_0hpi",26169,940,3.59203637892162,2802,10.7073254614238,3516,13.4357445832856,5916,22.6069012954259,8497,32.4697160762734
"Rpv12","24hpi_vs_6hpi",26169,1384,5.28870037066758,3861,14.7540983606557,4759,18.1856394971149,7663,29.2827391188047,10550,40.3148763804502
"Rpv12_1","6hpi_vs_0hpi",26169,1411,5.39187588367916,3636,13.8943024188926,4457,17.0316022775039,7221,27.5937177576522,10070,38.4806450380221
"Rpv12_1","24hpi_vs_0hpi",26169,1289,4.9256754174787,3421,13.0727196300967,4209,16.0839160839161,6887,26.317398448546,9758,37.2883946654438
"Rpv12_1","24hpi_vs_6hpi",26169,1589,6.07207000649624,4037,15.4266498528794,4921,18.8046925751844,7816,29.8674003592036,10666,40.7581489548703
"Rpv12_1_3","6hpi_vs_0hpi",26169,1402,5.35748404600864,3736,14.2764339485651,4603,17.5895143108258,7506,28.6827926172188,10508,40.1543811379877
"Rpv12_1_3","24hpi_vs_0hpi",26169,1240,4.73843096793916,3444,13.1606098819214,4273,16.3284802629065,7111,27.1733730750124,10080,38.5188581909893
"Rpv12_1_3","24hpi_vs_6hpi",26169,1201,4.58939967136688,3188,12.1823531659597,3923,14.9910199090527,6376,24.3647063319194,9014,34.4453360846803
