"genotype","contrast","AggrDiv","n_obs","n_ref","n_pool","n_null","min_attainable_p","p_emp","p_adj_fdr"
"Susceptible","6hpi_vs_0hpi",0.348972692565458,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
"Susceptible","24hpi_vs_0hpi",0.657347349956967,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
"Susceptible","24hpi_vs_6hpi",0.90054341620858,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
"Rpv12","6hpi_vs_0hpi",1.82501646818632,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
"Rpv12","24hpi_vs_0hpi",1.76643179584308,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
"Rpv12","24hpi_vs_6hpi",1.20285406404549,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
"Rpv12_1","6hpi_vs_0hpi",1.5234498414086,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
"Rpv12_1","24hpi_vs_0hpi",0.995003359607662,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
"Rpv12_1","24hpi_vs_6hpi",0.348289900875974,3,3,6,20,0.0476190476190476,0.142857142857143,0.142857142857143
"Rpv12_1_3","6hpi_vs_0hpi",0.32324750696988,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
"Rpv12_1_3","24hpi_vs_0hpi",0.538982342117435,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
"Rpv12_1_3","24hpi_vs_6hpi",0.502658031995488,3,3,6,20,0.0476190476190476,0.0952380952380952,0.103896103896104
