gene	Rpv12_0h	Rpv12_6h	Rpv12_24h	Rpv12_1_0h	Rpv12_1_6h	Rpv12_1_24h	Rpv12_1_3_0h	Rpv12_1_3_6h	Rpv12_1_3_24h
Vitvi00g00444	0	0	-1	-1	0	-1	0	0	-1
Vitvi00g00447	0	0	0	-1	-1	-1	0	0	0
Vitvi00g00786	0	0	0	1	0	0	0	0	0
Vitvi00g00859	1	0	0	1	0	0	-1	-1	0
Vitvi00g01805	1	1	0	1	1	0	1	1	0
Vitvi00g04001	-1	0	0	0	0	0	-1	0	0
Vitvi00g04005	1	1	0	0	0	0	1	1	1
Vitvi00g04006	1	1	1	0	1	1	1	1	1
Vitvi00g04011	0	0	0	1	0	1	1	1	1
Vitvi00g04017	-1	-1	0	-1	-1	-1	-1	-1	-1
Vitvi00g04018	0	0	0	0	0	0	-1	-1	0
Vitvi00g04019	0	0	0	0	0	0	-1	0	0
Vitvi00g04022	-1	0	0	-1	-1	-1	-1	-1	-1
Vitvi00g04024	0	0	0	-1	-1	-1	-1	-1	-1
Vitvi00g04030	0	0	0	0	0	0	-1	-1	0
Vitvi00g04032	1	0	0	1	0	0	0	-1	0
Vitvi00g04033	1	0	0	0	0	0	0	0	0
Vitvi00g04035	0	0	0	-1	-1	-1	-1	-1	-1
Vitvi00g04037	0	0	0	-1	-1	-1	-1	-1	-1
Vitvi00g04039	-1	0	0	0	1	0	-1	0	0
Vitvi00g04040	0	0	0	0	0	0	0	-1	0
Vitvi00g04044	1	0	0	0	0	0	0	0	0
Vitvi00g04045	-1	0	0	0	0	0	0	1	0
Vitvi00g04049	0	0	0	0	0	0	-1	-1	0
Vitvi00g04059	0	0	1	0	0	0	0	0	0
Vitvi00g04060	0	0	0	0	0	0	1	0	0
Vitvi00g04069	0	0	0	0	0	-1	0	0	0
Vitvi00g04076	0	0	0	0	0	0	0	0	1
Vitvi00g04123	0	0	0	0	-1	0	0	0	0
Vitvi00g04146	0	0	0	0	0	0	0	1	0
Vitvi00g04213	0	0	0	0	0	0	0	1	0
Vitvi00g04231	0	0	-1	0	0	0	0	0	0
Vitvi00g04236	0	0	0	0	0	0	0	0	-1
Vitvi00g04245	-1	0	0	0	0	0	0	0	0
Vitvi00g04249	1	0	0	1	0	1	1	1	1
Vitvi00g04250	0	-1	0	0	-1	0	0	-1	0
Vitvi00g04251	1	0	0	1	1	1	1	1	1
Vitvi00g04252	0	0	-1	0	0	0	0	0	0
Vitvi00g04274	-1	-1	-1	-1	-1	-1	-1	-1	-1
Vitvi00g04275	-1	-1	-1	-1	-1	-1	-1	-1	-1
Vitvi00g04280	1	0	0	0	0	0	0	-1	0
