"gene","Rpv12_pattern","Rpv12_1_pattern","Rpv12_1_3_pattern","combined_pattern"
"Vitvi00g00444","EED","DED","EED","EED|DED|EED"
"Vitvi00g00447","EEE","DDD","EEE","EEE|DDD|EEE"
"Vitvi00g00786","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi00g00859","UEE","UEE","DDE","UEE|UEE|DDE"
"Vitvi00g01805","UUE","UUE","UUE","UUE|UUE|UUE"
"Vitvi00g04001","DEE","EEE","DEE","DEE|EEE|DEE"
"Vitvi00g04005","UUE","EEE","UUU","UUE|EEE|UUU"
"Vitvi00g04006","UUU","EUU","UUU","UUU|EUU|UUU"
"Vitvi00g04011","EEE","UEU","UUU","EEE|UEU|UUU"
"Vitvi00g04017","DDE","DDD","DDD","DDE|DDD|DDD"
"Vitvi00g04018","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi00g04019","EEE","EEE","DEE","EEE|EEE|DEE"
"Vitvi00g04022","DEE","DDD","DDD","DEE|DDD|DDD"
"Vitvi00g04024","EEE","DDD","DDD","EEE|DDD|DDD"
"Vitvi00g04030","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi00g04032","UEE","UEE","EDE","UEE|UEE|EDE"
"Vitvi00g04033","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi00g04035","EEE","DDD","DDD","EEE|DDD|DDD"
"Vitvi00g04037","EEE","DDD","DDD","EEE|DDD|DDD"
"Vitvi00g04039","DEE","EUE","DEE","DEE|EUE|DEE"
"Vitvi00g04040","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi00g04044","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi00g04045","DEE","EEE","EUE","DEE|EEE|EUE"
"Vitvi00g04049","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi00g04059","EEU","EEE","EEE","EEU|EEE|EEE"
"Vitvi00g04060","EEE","EEE","UEE","EEE|EEE|UEE"
"Vitvi00g04069","EEE","EED","EEE","EEE|EED|EEE"
"Vitvi00g04076","EEE","EEE","EEU","EEE|EEE|EEU"
"Vitvi00g04123","EEE","EDE","EEE","EEE|EDE|EEE"
"Vitvi00g04146","EEE","EEE","EUE","EEE|EEE|EUE"
"Vitvi00g04213","EEE","EEE","EUE","EEE|EEE|EUE"
"Vitvi00g04231","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi00g04236","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi00g04245","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi00g04249","UEE","UEU","UUU","UEE|UEU|UUU"
"Vitvi00g04250","EDE","EDE","EDE","EDE|EDE|EDE"
"Vitvi00g04251","UEE","UUU","UUU","UEE|UUU|UUU"
"Vitvi00g04252","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi00g04274","DDD","DDD","DDD","DDD|DDD|DDD"
"Vitvi00g04275","DDD","DDD","DDD","DDD|DDD|DDD"
"Vitvi00g04280","UEE","EEE","EDE","UEE|EEE|EDE"
"Vitvi00g04303","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi00g04304","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi00g04313","UUU","UUU","EUU","UUU|UUU|EUU"
"Vitvi00g04315","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi00g04316","EEE","EDE","DDE","EEE|EDE|DDE"
"Vitvi00g04336","EEE","EUE","EEE","EEE|EUE|EEE"
"Vitvi00g04337","UEE","EEE","EDD","UEE|EEE|EDD"
"Vitvi00g04338","EEE","EEE","DEE","EEE|EEE|DEE"
"Vitvi00g04340","EEE","DEE","EEE","EEE|DEE|EEE"
"Vitvi00g04359","EEE","EED","EEE","EEE|EED|EEE"
"Vitvi00g04360","EEU","UEU","UUE","EEU|UEU|UUE"
"Vitvi00g04361","UEU","UEE","EEE","UEU|UEE|EEE"
"Vitvi00g04369","UEE","UEE","DDE","UEE|UEE|DDE"
"Vitvi00g04376","UEE","EED","EEE","UEE|EED|EEE"
"Vitvi00g04411","EED","EED","EED","EED|EED|EED"
"Vitvi00g04412","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi00g04449","UUU","UUU","UUU","UUU|UUU|UUU"
"Vitvi00g04454","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi00g04463","UUE","UUE","UUE","UUE|UUE|UUE"
"Vitvi00g04469","UEE","EEE","DEE","UEE|EEE|DEE"
"Vitvi00g04497","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi00g04498","EED","DDD","EEE","EED|DDD|EEE"
"Vitvi00g04499","DED","DDD","EEE","DED|DDD|EEE"
"Vitvi00g04500","EED","DDD","EEE","EED|DDD|EEE"
"Vitvi00g04501","EED","DDD","EEE","EED|DDD|EEE"
"Vitvi00g04504","EED","EEE","EED","EED|EEE|EED"
"Vitvi00g04505","EEU","EEU","EEU","EEU|EEU|EEU"
"Vitvi00g04507","UEU","UEE","UEU","UEU|UEE|UEU"
