"gene","timing","direction","n_genotypes","genotype_set"
"Vitvi00g00444",0,"Down",1,"Rpv12+1"
"Vitvi00g00447",0,"Down",1,"Rpv12+1"
"Vitvi00g00859",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04001",0,"Down",2,"Rpv12 & Rpv12+1+3"
"Vitvi00g04017",0,"Down",3,"Rpv12 & Rpv12+1 & Rpv12+1+3"
"Vitvi00g04018",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04019",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04022",0,"Down",3,"Rpv12 & Rpv12+1 & Rpv12+1+3"
"Vitvi00g04024",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi00g04030",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04035",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi00g04037",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi00g04039",0,"Down",2,"Rpv12 & Rpv12+1+3"
"Vitvi00g04045",0,"Down",1,"Rpv12"
"Vitvi00g04049",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04245",0,"Down",1,"Rpv12"
"Vitvi00g04274",0,"Down",3,"Rpv12 & Rpv12+1 & Rpv12+1+3"
"Vitvi00g04275",0,"Down",3,"Rpv12 & Rpv12+1 & Rpv12+1+3"
"Vitvi00g04315",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04316",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04338",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04340",0,"Down",1,"Rpv12+1"
"Vitvi00g04369",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04469",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04497",0,"Down",1,"Rpv12"
"Vitvi00g04498",0,"Down",1,"Rpv12+1"
"Vitvi00g04499",0,"Down",2,"Rpv12 & Rpv12+1"
"Vitvi00g04500",0,"Down",1,"Rpv12+1"
"Vitvi00g04501",0,"Down",1,"Rpv12+1"
"Vitvi00g04522",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi00g04555",0,"Down",1,"Rpv12"
"Vitvi00g04584",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi00g04594",0,"Down",1,"Rpv12+1"
"Vitvi00g04602",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi00g04625",0,"Down",2,"Rpv12 & Rpv12+1+3"
"Vitvi00g04634",0,"Down",1,"Rpv12+1"
"Vitvi00g04636",0,"Down",2,"Rpv12 & Rpv12+1+3"
"Vitvi00g04664",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04688",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi00g04696",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04714",0,"Down",1,"Rpv12+1"
"Vitvi00g04722",0,"Down",1,"Rpv12"
"Vitvi00g04728",0,"Down",1,"Rpv12+1"
"Vitvi00g04737",0,"Down",3,"Rpv12 & Rpv12+1 & Rpv12+1+3"
"Vitvi00g04742",0,"Down",2,"Rpv12 & Rpv12+1+3"
"Vitvi00g04747",0,"Down",1,"Rpv12+1"
"Vitvi00g04763",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04777",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi00g04799",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04809",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04812",0,"Down",1,"Rpv12+1+3"
"Vitvi00g04817",0,"Down",1,"Rpv12+1"
"Vitvi00g04823",0,"Down",3,"Rpv12 & Rpv12+1 & Rpv12+1+3"
"Vitvi00g04867",0,"Down",2,"Rpv12 & Rpv12+1+3"
"Vitvi00g04868",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00002",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00025",0,"Down",1,"Rpv12"
"Vitvi01g00050",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi01g00052",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00064",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi01g00066",0,"Down",1,"Rpv12"
"Vitvi01g00075",0,"Down",1,"Rpv12+1"
"Vitvi01g00083",0,"Down",3,"Rpv12 & Rpv12+1 & Rpv12+1+3"
"Vitvi01g00088",0,"Down",3,"Rpv12 & Rpv12+1 & Rpv12+1+3"
"Vitvi01g00090",0,"Down",1,"Rpv12+1"
"Vitvi01g00095",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00103",0,"Down",1,"Rpv12"
"Vitvi01g00104",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00148",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00156",0,"Down",1,"Rpv12"
"Vitvi01g00181",0,"Down",1,"Rpv12"
"Vitvi01g00218",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00241",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00253",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00258",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00264",0,"Down",1,"Rpv12"
"Vitvi01g00282",0,"Down",1,"Rpv12+1"
"Vitvi01g00290",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00300",0,"Down",1,"Rpv12"
"Vitvi01g00319",0,"Down",1,"Rpv12+1"
"Vitvi01g00325",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00337",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00347",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00358",0,"Down",1,"Rpv12"
"Vitvi01g00379",0,"Down",1,"Rpv12"
"Vitvi01g00381",0,"Down",1,"Rpv12"
"Vitvi01g00388",0,"Down",1,"Rpv12"
"Vitvi01g00393",0,"Down",1,"Rpv12"
"Vitvi01g00394",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00407",0,"Down",1,"Rpv12"
"Vitvi01g00437",0,"Down",1,"Rpv12+1"
"Vitvi01g00441",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00442",0,"Down",2,"Rpv12+1 & Rpv12+1+3"
"Vitvi01g00449",0,"Down",1,"Rpv12+1"
"Vitvi01g00463",0,"Down",2,"Rpv12 & Rpv12+1+3"
"Vitvi01g00467",0,"Down",2,"Rpv12 & Rpv12+1+3"
"Vitvi01g00477",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00497",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00499",0,"Down",2,"Rpv12 & Rpv12+1"
"Vitvi01g00503",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00519",0,"Down",1,"Rpv12"
"Vitvi01g00528",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00539",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00541",0,"Down",1,"Rpv12+1+3"
"Vitvi01g00542",0,"Down",1,"Rpv12+1+3"
