"gene","n_primary_contrasts"
"Vitvi00g00444",4
"Vitvi00g00447",3
"Vitvi00g00786",1
"Vitvi00g00859",4
"Vitvi00g01805",6
"Vitvi00g04001",2
"Vitvi00g04005",5
"Vitvi00g04006",8
"Vitvi00g04011",5
"Vitvi00g04017",8
"Vitvi00g04018",2
"Vitvi00g04019",1
"Vitvi00g04022",7
"Vitvi00g04024",6
"Vitvi00g04030",2
"Vitvi00g04032",3
"Vitvi00g04033",1
"Vitvi00g04035",6
"Vitvi00g04037",6
"Vitvi00g04039",3
"Vitvi00g04040",1
"Vitvi00g04044",1
"Vitvi00g04045",2
"Vitvi00g04049",2
"Vitvi00g04059",1
"Vitvi00g04060",1
"Vitvi00g04069",1
"Vitvi00g04076",1
"Vitvi00g04123",1
"Vitvi00g04146",1
"Vitvi00g04213",1
"Vitvi00g04231",1
"Vitvi00g04236",1
"Vitvi00g04245",1
"Vitvi00g04249",6
"Vitvi00g04250",3
"Vitvi00g04251",7
"Vitvi00g04252",1
"Vitvi00g04274",9
"Vitvi00g04275",9
"Vitvi00g04280",2
"Vitvi00g04303",1
"Vitvi00g04304",1
"Vitvi00g04313",8
"Vitvi00g04315",2
"Vitvi00g04316",3
"Vitvi00g04336",1
"Vitvi00g04337",3
"Vitvi00g04338",1
"Vitvi00g04340",1
"Vitvi00g04359",1
"Vitvi00g04360",5
"Vitvi00g04361",3
"Vitvi00g04369",4
"Vitvi00g04376",2
"Vitvi00g04411",3
"Vitvi00g04412",1
"Vitvi00g04449",9
"Vitvi00g04454",1
"Vitvi00g04463",6
"Vitvi00g04469",2
"Vitvi00g04497",1
"Vitvi00g04498",4
"Vitvi00g04499",5
"Vitvi00g04500",4
"Vitvi00g04501",4
"Vitvi00g04504",2
"Vitvi00g04505",3
"Vitvi00g04507",5
"Vitvi00g04508",3
"Vitvi00g04509",3
"Vitvi00g04522",5
"Vitvi00g04527",2
"Vitvi00g04555",4
"Vitvi00g04557",1
"Vitvi00g04563",2
"Vitvi00g04564",4
"Vitvi00g04567",2
"Vitvi00g04570",1
"Vitvi00g04581",3
"Vitvi00g04582",1
"Vitvi00g04584",7
"Vitvi00g04587",8
"Vitvi00g04594",4
"Vitvi00g04596",1
"Vitvi00g04598",3
"Vitvi00g04599",1
"Vitvi00g04602",6
"Vitvi00g04609",1
"Vitvi00g04610",3
"Vitvi00g04617",2
"Vitvi00g04625",5
"Vitvi00g04629",2
"Vitvi00g04632",4
"Vitvi00g04634",4
"Vitvi00g04636",4
"Vitvi00g04649",2
"Vitvi00g04653",6
"Vitvi00g04664",2
"Vitvi00g04671",3
"Vitvi00g04688",6
"Vitvi00g04696",3
"Vitvi00g04704",9
"Vitvi00g04705",3
"Vitvi00g04706",9
"Vitvi00g04707",7
"Vitvi00g04708",6
"Vitvi00g04709",3
"Vitvi00g04714",5
"Vitvi00g04722",4
"Vitvi00g04728",4
"Vitvi00g04731",4
"Vitvi00g04735",4
"Vitvi00g04737",9
"Vitvi00g04742",4
"Vitvi00g04744",3
"Vitvi00g04747",4
"Vitvi00g04748",4
"Vitvi00g04752",8
"Vitvi00g04763",6
"Vitvi00g04765",1
"Vitvi00g04777",5
"Vitvi00g04778",2
"Vitvi00g04787",3
"Vitvi00g04799",6
"Vitvi00g04809",1
"Vitvi00g04812",3
"Vitvi00g04814",4
"Vitvi00g04817",2
"Vitvi00g04822",1
"Vitvi00g04823",3
"Vitvi00g04831",2
"Vitvi00g04837",1
"Vitvi00g04839",1
"Vitvi00g04849",1
"Vitvi00g04860",2
"Vitvi00g04867",3
"Vitvi00g04868",3
"Vitvi00g04869",3
"Vitvi00g04874",1
"Vitvi00g04881",4
"Vitvi01g00002",5
"Vitvi01g00012",1
"Vitvi01g00025",1
"Vitvi01g00033",1
"Vitvi01g00034",2
"Vitvi01g00036",3
"Vitvi01g00046",5
"Vitvi01g00048",1
"Vitvi01g00050",4
"Vitvi01g00052",5
"Vitvi01g00061",4
"Vitvi01g00064",2
"Vitvi01g00065",2
"Vitvi01g00066",4
"Vitvi01g00067",3
"Vitvi01g00075",1
"Vitvi01g00083",9
"Vitvi01g00088",9
"Vitvi01g00090",1
"Vitvi01g00091",1
"Vitvi01g00095",5
"Vitvi01g00103",1
"Vitvi01g00104",4
"Vitvi01g00129",2
"Vitvi01g00145",1
"Vitvi01g00147",1
"Vitvi01g00148",4
"Vitvi01g00156",3
"Vitvi01g00157",1
"Vitvi01g00160",2
"Vitvi01g00162",1
"Vitvi01g00181",1
"Vitvi01g00187",1
"Vitvi01g00188",1
"Vitvi01g00191",3
"Vitvi01g00193",4
"Vitvi01g00199",2
"Vitvi01g00203",1
"Vitvi01g00211",1
"Vitvi01g00214",1
"Vitvi01g00217",4
"Vitvi01g00218",4
"Vitvi01g00222",2
"Vitvi01g00226",1
"Vitvi01g00228",1
"Vitvi01g00230",2
"Vitvi01g00232",2
"Vitvi01g00233",1
"Vitvi01g00234",2
"Vitvi01g00237",1
"Vitvi01g00241",4
"Vitvi01g00243",1
"Vitvi01g00246",3
"Vitvi01g00253",1
"Vitvi01g00258",5
"Vitvi01g00264",4
"Vitvi01g00267",3
"Vitvi01g00271",6
"Vitvi01g00277",1
"Vitvi01g00279",2
"Vitvi01g00280",3
"Vitvi01g00282",2
"Vitvi01g00284",3
"Vitvi01g00286",6
"Vitvi01g00290",5
"Vitvi01g00291",1
"Vitvi01g00299",3
"Vitvi01g00300",5
"Vitvi01g00305",2
"Vitvi01g00317",3
"Vitvi01g00318",1
"Vitvi01g00319",2
"Vitvi01g00320",2
"Vitvi01g00325",4
"Vitvi01g00329",3
"Vitvi01g00331",1
"Vitvi01g00332",2
"Vitvi01g00337",5
"Vitvi01g00340",1
"Vitvi01g00341",1
"Vitvi01g00346",3
"Vitvi01g00347",2
"Vitvi01g00355",1
"Vitvi01g00358",3
"Vitvi01g00371",1
"Vitvi01g00379",3
"Vitvi01g00381",2
"Vitvi01g00384",1
"Vitvi01g00388",5
"Vitvi01g00391",2
"Vitvi01g00393",1
"Vitvi01g00394",4
"Vitvi01g00397",1
"Vitvi01g00402",4
"Vitvi01g00403",1
"Vitvi01g00407",2
"Vitvi01g00408",2
"Vitvi01g00412",1
"Vitvi01g00418",1
"Vitvi01g00437",3
"Vitvi01g00441",2
"Vitvi01g00442",2
"Vitvi01g00449",1
"Vitvi01g00457",2
"Vitvi01g00458",2
"Vitvi01g00463",6
"Vitvi01g00464",1
"Vitvi01g00465",1
"Vitvi01g00466",2
"Vitvi01g00467",2
"Vitvi01g00477",4
"Vitvi01g00481",3
"Vitvi01g00483",3
"Vitvi01g00491",2
"Vitvi01g00497",3
"Vitvi01g00499",3
"Vitvi01g00501",2
"Vitvi01g00503",5
"Vitvi01g00508",5
"Vitvi01g00513",2
"Vitvi01g00518",3
"Vitvi01g00519",1
