"power","gene","WGCNA_module"
1,"Vitvi01g04416","brown"
1,"Vitvi05g00637","red"
1,"Vitvi09g01951","brown"
1,"Vitvi09g04536","brown"
1,"Vitvi09g04548","brown"
1,"Vitvi09g04565","brown"
1,"Vitvi17g00964","brown"
1,"Vitvi17g04216","turquoise"
6,"Vitvi01g04416","red"
6,"Vitvi05g00637","yellowgreen"
6,"Vitvi09g01951","red"
6,"Vitvi09g04536","red"
6,"Vitvi09g04548","red"
6,"Vitvi09g04565","red"
6,"Vitvi17g00964","red"
6,"Vitvi17g04216","turquoise"
8,"Vitvi01g04416","pink"
8,"Vitvi05g00637","violet"
8,"Vitvi09g01951","pink"
8,"Vitvi09g04536","pink"
8,"Vitvi09g04548","pink"
8,"Vitvi09g04565","pink"
8,"Vitvi17g00964","pink"
8,"Vitvi17g04216","turquoise"
10,"Vitvi01g04416","black"
10,"Vitvi05g00637","paleturquoise"
10,"Vitvi09g01951","black"
10,"Vitvi09g04536","black"
10,"Vitvi09g04548","black"
10,"Vitvi09g04565","turquoise"
10,"Vitvi17g00964","black"
10,"Vitvi17g04216","turquoise"
20,"Vitvi01g04416","yellow"
20,"Vitvi05g00637","darkred"
20,"Vitvi09g01951","yellow"
20,"Vitvi09g04536","yellow"
20,"Vitvi09g04548","yellow"
20,"Vitvi09g04565","darkred"
20,"Vitvi17g00964","yellow"
20,"Vitvi17g04216","yellow"
