"power","gene","WGCNA_module"
1,"Vitvi00g04005","red"
1,"Vitvi00g04006","red"
1,"Vitvi00g04313","pink"
1,"Vitvi00g04500","lightcyan"
1,"Vitvi00g04634","red"
1,"Vitvi00g04728","lightcyan"
1,"Vitvi01g00463","magenta"
1,"Vitvi01g00508","blue"
1,"Vitvi01g00612","green"
1,"Vitvi01g00656","turquoise"
1,"Vitvi01g01038","blue"
1,"Vitvi01g01701","magenta"
1,"Vitvi01g01751","green"
1,"Vitvi01g02242","green"
1,"Vitvi01g04056","brown"
1,"Vitvi01g04115","magenta"
1,"Vitvi01g04132","pink"
1,"Vitvi02g00032","turquoise"
1,"Vitvi02g00086","green"
1,"Vitvi02g00429","blue"
1,"Vitvi02g00446","blue"
1,"Vitvi02g01355","turquoise"
1,"Vitvi02g01360","green"
1,"Vitvi02g04106","blue"
1,"Vitvi02g04134","green"
1,"Vitvi02g04135","green"
1,"Vitvi03g00318","magenta"
1,"Vitvi03g00692","turquoise"
1,"Vitvi03g01258","pink"
1,"Vitvi03g01809","red"
1,"Vitvi03g04266","magenta"
1,"Vitvi03g04466","pink"
1,"Vitvi04g00017","turquoise"
1,"Vitvi04g01325","lightcyan"
1,"Vitvi04g01375","lightcyan"
1,"Vitvi04g01550","blue"
1,"Vitvi04g01887","blue"
1,"Vitvi04g02114","turquoise"
1,"Vitvi04g04010","magenta"
1,"Vitvi04g04011","magenta"
1,"Vitvi04g04029","pink"
1,"Vitvi05g00108","blue"
1,"Vitvi05g00675","black"
1,"Vitvi05g00726","blue"
1,"Vitvi05g01579","red"
1,"Vitvi05g01674","red"
1,"Vitvi05g02234","green"
1,"Vitvi05g04062","red"
1,"Vitvi05g04232","red"
1,"Vitvi05g04487","green"
1,"Vitvi05g04494","green"
1,"Vitvi06g01410","turquoise"
1,"Vitvi06g01618","magenta"
1,"Vitvi06g04121","magenta"
1,"Vitvi07g00283","turquoise"
1,"Vitvi07g00523","blue"
1,"Vitvi07g00890","green"
1,"Vitvi07g01267","turquoise"
1,"Vitvi07g01315","red"
1,"Vitvi07g01342","turquoise"
1,"Vitvi07g01407","green"
1,"Vitvi07g01719","black"
1,"Vitvi07g01829","blue"
1,"Vitvi07g02323","green"
1,"Vitvi07g03086","black"
1,"Vitvi08g00795","lightcyan"
1,"Vitvi08g00957","purple"
1,"Vitvi08g01235","green"
1,"Vitvi08g01333","pink"
1,"Vitvi08g01617","magenta"
1,"Vitvi08g01846","brown"
1,"Vitvi08g01897","turquoise"
1,"Vitvi08g02218","magenta"
1,"Vitvi08g02288","red"
1,"Vitvi09g00419","red"
1,"Vitvi09g00867","magenta"
1,"Vitvi09g01646","blue"
1,"Vitvi09g01698","black"
1,"Vitvi09g04280","magenta"
1,"Vitvi10g00562","turquoise"
1,"Vitvi10g00984","magenta"
1,"Vitvi10g01812","brown"
1,"Vitvi10g04044","magenta"
1,"Vitvi10g04085","magenta"
1,"Vitvi10g04276","turquoise"
1,"Vitvi10g04282","blue"
1,"Vitvi10g04464","lightcyan"
1,"Vitvi10g04504","magenta"
1,"Vitvi11g00075","blue"
1,"Vitvi11g00217","magenta"
1,"Vitvi11g00285","turquoise"
1,"Vitvi11g00286","turquoise"
1,"Vitvi11g01637","pink"
1,"Vitvi12g00368","pink"
1,"Vitvi12g01776","green"
1,"Vitvi12g01881","black"
1,"Vitvi12g01882","red"
1,"Vitvi12g01921","red"
1,"Vitvi12g02011","red"
1,"Vitvi12g02633","red"
1,"Vitvi12g04108","red"
1,"Vitvi12g04404","red"
1,"Vitvi12g04463","red"
1,"Vitvi12g04498","red"
1,"Vitvi12g04515","red"
1,"Vitvi12g04518","pink"
1,"Vitvi12g04543","black"
1,"Vitvi12g04545","red"
1,"Vitvi12g04595","magenta"
1,"Vitvi12g04598","red"
1,"Vitvi12g04607","red"
1,"Vitvi12g04630","green"
1,"Vitvi13g00004","turquoise"
1,"Vitvi13g00551","turquoise"
1,"Vitvi13g01098","blue"
1,"Vitvi13g01468","magenta"
1,"Vitvi13g01608","magenta"
1,"Vitvi13g01616","magenta"
1,"Vitvi13g01638","magenta"
1,"Vitvi13g01984","magenta"
1,"Vitvi13g04528","magenta"
1,"Vitvi13g04529","magenta"
1,"Vitvi13g04677","magenta"
1,"Vitvi13g04698","magenta"
1,"Vitvi13g04706","magenta"
1,"Vitvi14g00438","yellow"
1,"Vitvi14g01926","turquoise"
