"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.199626581020221,3.65818916857269,0.766749263516543,13130.7400562392,13150.063853282,13824.9228693863
2,0.653424324333879,-6.40178688243218,0.595777111166817,7325.49541742942,7131.7937045396,9047.44685958007
3,0.716585203442274,-3.38726465993149,0.773537495526024,4419.47951644052,4200.31605932989,6604.54218267578
4,0.77355766316521,-2.37709755585366,0.872240920552742,2836.17522225322,2605.98188271896,5137.11344135085
5,0.81225317902155,-1.92590937046303,0.916973317142731,1914.40443668744,1686.11971068505,4167.45867485333
6,0.850613355784748,-1.72886063943833,0.946299158291591,1347.7125876939,1126.86637598924,3489.65807131982
7,0.878765312336934,-1.63935173362247,0.960425296744959,982.892051456126,773.077331365934,2988.8339054285
8,0.897953928354508,-1.591055454312,0.966781900391328,738.551422472692,543.225678853108,2604.54437265806
9,0.905987228679969,-1.57178468549295,0.965411957158078,569.195582102615,389.937511270524,2300.68301270404
10,0.911640273856428,-1.55593604627145,0.964079437521212,448.255706389179,284.555935417066,2054.49165684485
12,0.914109804538651,-1.54086385291474,0.960100823045787,293.127966219647,159.189854350652,1679.94750060173
14,0.91210942581532,-1.53194706767054,0.957151674769415,202.645307724308,93.6047935401786,1408.42635720654
16,0.909365277959498,-1.52289796888608,0.954244079784377,146.16753414147,57.5781424474656,1202.58253048505
18,0.909929468953347,-1.5146010988262,0.955176415870337,108.988762106121,36.58994528493,1041.27248991489
20,0.906372058876732,-1.50766881247567,0.95335101822776,83.4539253681236,23.8305066203209,911.618565234524
