"power","gene","WGCNA_module"
1,"Vitvi17g00964","turquoise"
1,"Vitvi09g04536","turquoise"
1,"Vitvi09g04548","turquoise"
1,"Vitvi01g04416","turquoise"
1,"Vitvi09g01951","turquoise"
1,"Vitvi09g04565","turquoise"
1,"Vitvi17g04216","turquoise"
1,"Vitvi05g00637","green"
8,"Vitvi17g00964","brown"
8,"Vitvi09g04536","brown"
8,"Vitvi09g04548","brown"
8,"Vitvi01g04416","brown"
8,"Vitvi09g01951","brown"
8,"Vitvi09g04565","brown"
8,"Vitvi17g04216","brown"
8,"Vitvi05g00637","brown"
12,"Vitvi17g00964","yellow"
12,"Vitvi09g04536","yellow"
12,"Vitvi09g04548","yellow"
12,"Vitvi01g04416","yellow"
12,"Vitvi09g01951","yellow"
12,"Vitvi09g04565","yellow"
12,"Vitvi17g04216","turquoise"
12,"Vitvi05g00637","darkmagenta"
20,"Vitvi17g00964","green"
20,"Vitvi09g04536","green"
20,"Vitvi09g04548","green"
20,"Vitvi01g04416","green"
20,"Vitvi09g01951","green"
20,"Vitvi09g04565","green"
20,"Vitvi17g04216","green"
20,"Vitvi05g00637","violet"
