"power","gene","WGCNA_module"
1,"Vitvi00g04005","brown"
1,"Vitvi00g04500","darkgrey"
1,"Vitvi00g04634","darkgrey"
1,"Vitvi00g04728","darkgrey"
1,"Vitvi01g00463","turquoise"
1,"Vitvi01g00508","blue"
1,"Vitvi01g00612","turquoise"
1,"Vitvi01g00656","turquoise"
1,"Vitvi01g01038","blue"
1,"Vitvi01g01701","yellow"
1,"Vitvi01g04056","turquoise"
1,"Vitvi01g04115","turquoise"
1,"Vitvi01g04132","cyan"
1,"Vitvi02g00032","turquoise"
1,"Vitvi02g00056","pink"
1,"Vitvi02g00086","turquoise"
1,"Vitvi02g00429","blue"
1,"Vitvi02g00446","blue"
1,"Vitvi02g01355","turquoise"
1,"Vitvi02g01360","magenta"
1,"Vitvi02g04106","blue"
1,"Vitvi03g00318","black"
1,"Vitvi03g00692","turquoise"
1,"Vitvi03g00752","yellow"
1,"Vitvi03g01258","yellow"
1,"Vitvi03g01809","green"
1,"Vitvi03g04266","yellow"
1,"Vitvi03g04466","grey60"
1,"Vitvi04g00017","turquoise"
1,"Vitvi04g01254","grey"
1,"Vitvi04g01325","darkgrey"
1,"Vitvi04g01375","green"
1,"Vitvi04g01550","blue"
1,"Vitvi04g01555","yellow"
1,"Vitvi04g01887","blue"
1,"Vitvi04g02114","turquoise"
1,"Vitvi04g04009","black"
1,"Vitvi04g04010","yellow"
1,"Vitvi04g04011","yellow"
1,"Vitvi04g04029","grey60"
1,"Vitvi05g00028","blue"
1,"Vitvi05g00108","blue"
1,"Vitvi05g00145","blue"
1,"Vitvi05g00726","blue"
1,"Vitvi05g01400","pink"
1,"Vitvi05g01579","green"
1,"Vitvi05g01674","brown"
1,"Vitvi05g04232","green"
1,"Vitvi06g01410","turquoise"
1,"Vitvi06g01618","yellow"
1,"Vitvi06g04121","yellow"
1,"Vitvi07g00283","turquoise"
1,"Vitvi07g00523","blue"
1,"Vitvi07g01267","turquoise"
1,"Vitvi07g01315","green"
1,"Vitvi07g01342","turquoise"
1,"Vitvi07g01407","magenta"
1,"Vitvi07g01718","pink"
1,"Vitvi07g01719","pink"
1,"Vitvi07g02832","purple"
1,"Vitvi07g03086","pink"
1,"Vitvi08g00957","red"
1,"Vitvi08g01333","yellow"
1,"Vitvi08g01617","yellow"
1,"Vitvi08g01846","green"
1,"Vitvi08g01897","turquoise"
1,"Vitvi08g02218","yellow"
1,"Vitvi08g02288","green"
1,"Vitvi09g00419","green"
1,"Vitvi09g00867","turquoise"
1,"Vitvi09g01646","lightyellow"
1,"Vitvi09g01698","pink"
1,"Vitvi09g04280","yellow"
1,"Vitvi09g04564","pink"
1,"Vitvi10g00984","yellow"
1,"Vitvi10g01812","turquoise"
1,"Vitvi10g04044","yellow"
1,"Vitvi10g04085","turquoise"
1,"Vitvi10g04282","brown"
1,"Vitvi10g04504","yellow"
1,"Vitvi11g00075","blue"
1,"Vitvi11g00217","yellow"
1,"Vitvi11g00285","turquoise"
1,"Vitvi11g00286","turquoise"
1,"Vitvi11g01637","cyan"
1,"Vitvi12g00368","yellow"
1,"Vitvi12g01881","brown"
1,"Vitvi12g01882","brown"
1,"Vitvi12g01921","green"
1,"Vitvi12g02011","green"
1,"Vitvi12g04108","green"
1,"Vitvi12g04404","green"
1,"Vitvi12g04463","green"
1,"Vitvi12g04498","green"
1,"Vitvi12g04515","green"
1,"Vitvi12g04543","pink"
1,"Vitvi12g04545","green"
1,"Vitvi12g04595","yellow"
1,"Vitvi12g04598","green"
1,"Vitvi12g04607","green"
1,"Vitvi13g00551","grey60"
1,"Vitvi13g01098","blue"
1,"Vitvi13g01468","yellow"
1,"Vitvi13g01608","yellow"
1,"Vitvi13g01616","yellow"
1,"Vitvi13g01638","yellow"
1,"Vitvi13g01984","yellow"
1,"Vitvi13g02083","yellow"
1,"Vitvi13g02285","pink"
1,"Vitvi13g04289","yellow"
1,"Vitvi13g04528","yellow"
1,"Vitvi13g04529","yellow"
1,"Vitvi13g04540","purple"
1,"Vitvi13g04677","yellow"
1,"Vitvi13g04698","turquoise"
1,"Vitvi13g04706","yellow"
1,"Vitvi14g00679","turquoise"
1,"Vitvi14g01926","turquoise"
1,"Vitvi14g02663","lightyellow"
1,"Vitvi14g04416","darkgrey"
1,"Vitvi16g00160","turquoise"
1,"Vitvi16g00901","yellow"
1,"Vitvi16g04295","turquoise"
1,"Vitvi16g04388","yellow"
1,"Vitvi16g04448","green"
1,"Vitvi17g00339","brown"
1,"Vitvi17g00461","green"
1,"Vitvi17g00704","turquoise"
1,"Vitvi17g00936","blue"
1,"Vitvi17g01373","blue"
1,"Vitvi17g04171","yellow"
1,"Vitvi18g00174","yellow"
1,"Vitvi18g00191","green"
1,"Vitvi18g00462","turquoise"
1,"Vitvi18g00473","turquoise"
1,"Vitvi18g02825","turquoise"
1,"Vitvi19g00270","blue"
1,"Vitvi19g00476","yellow"
1,"Vitvi19g00709","yellow"
1,"Vitvi19g01484","blue"
1,"Vitvi19g01610","yellow"
1,"Vitvi19g01612","yellow"
1,"Vitvi19g01720","green"
1,"Vitvi19g01790","turquoise"
1,"Vitvi19g04259","black"
1,"Vitvi19g04530","yellow"
1,"Vitvi19g04572","yellow"
8,"Vitvi00g04005","red"
8,"Vitvi00g04500","white"
8,"Vitvi00g04634","white"
8,"Vitvi00g04728","white"
8,"Vitvi01g00463","green"
8,"Vitvi01g00508","blue"
8,"Vitvi01g00612","brown"
8,"Vitvi01g00656","turquoise"
8,"Vitvi01g01038","blue"
8,"Vitvi01g01701","green"
8,"Vitvi01g04056","brown"
8,"Vitvi01g04115","green"
8,"Vitvi01g04132","darkgrey"
8,"Vitvi02g00032","turquoise"
8,"Vitvi02g00056","lightcyan"
8,"Vitvi02g00086","brown"
8,"Vitvi02g00429","blue"
8,"Vitvi02g00446","blue"
8,"Vitvi02g01355","turquoise"
8,"Vitvi02g01360","brown"
8,"Vitvi02g04106","blue"
8,"Vitvi03g00318","black"
8,"Vitvi03g00692","green"
8,"Vitvi03g00752","green"
8,"Vitvi03g01258","green"
8,"Vitvi03g01809","cyan"
8,"Vitvi03g04266","green"
8,"Vitvi03g04466","darkgrey"
8,"Vitvi04g00017","brown"
8,"Vitvi04g01254","floralwhite"
8,"Vitvi04g01325","white"
8,"Vitvi04g01375","white"
8,"Vitvi04g01550","blue"
8,"Vitvi04g01555","green"
8,"Vitvi04g01887","blue"
8,"Vitvi04g02114","green"
8,"Vitvi04g04009","black"
8,"Vitvi04g04010","green"
8,"Vitvi04g04011","green"
8,"Vitvi04g04029","darkgrey"
8,"Vitvi05g00028","blue"
8,"Vitvi05g00108","blue"
8,"Vitvi05g00145","blue"
8,"Vitvi05g00726","red"
8,"Vitvi05g01400","blue"
8,"Vitvi05g01579","cyan"
8,"Vitvi05g01674","red"
8,"Vitvi05g04232","white"
8,"Vitvi06g01410","green"
8,"Vitvi06g01618","green"
8,"Vitvi06g04121","green"
8,"Vitvi07g00283","green"
8,"Vitvi07g00523","blue"
8,"Vitvi07g01267","turquoise"
8,"Vitvi07g01315","cyan"
8,"Vitvi07g01342","salmon"
8,"Vitvi07g01407","brown"
8,"Vitvi07g01718","tan"
8,"Vitvi07g01719","thistle2"
8,"Vitvi07g02832","turquoise"
8,"Vitvi07g03086","tan"
8,"Vitvi08g00957","purple"
8,"Vitvi08g01333","green"
8,"Vitvi08g01617","green"
8,"Vitvi08g01846","midnightblue"
8,"Vitvi08g01897","green"
8,"Vitvi08g02218","green"
8,"Vitvi08g02288","midnightblue"
8,"Vitvi09g00419","cyan"
8,"Vitvi09g00867","green"
8,"Vitvi09g01646","lightyellow"
8,"Vitvi09g01698","tan"
8,"Vitvi09g04280","green"
8,"Vitvi09g04564","tan"
8,"Vitvi10g00984","green"
8,"Vitvi10g01812","salmon"
8,"Vitvi10g04044","green"
8,"Vitvi10g04085","green"
8,"Vitvi10g04282","blue"
8,"Vitvi10g04504","green"
8,"Vitvi11g00075","blue"
8,"Vitvi11g00217","green"
8,"Vitvi11g00285","turquoise"
8,"Vitvi11g00286","green"
8,"Vitvi11g01637","darkgrey"
8,"Vitvi12g00368","pink"
8,"Vitvi12g01881","lightyellow"
8,"Vitvi12g01882","red"
8,"Vitvi12g01921","cyan"
8,"Vitvi12g02011","cyan"
8,"Vitvi12g04108","cyan"
8,"Vitvi12g04404","cyan"
8,"Vitvi12g04463","cyan"
8,"Vitvi12g04498","cyan"
8,"Vitvi12g04515","cyan"
8,"Vitvi12g04543","tan"
8,"Vitvi12g04545","cyan"
8,"Vitvi12g04595","green"
8,"Vitvi12g04598","cyan"
8,"Vitvi12g04607","cyan"
8,"Vitvi13g00551","turquoise"
8,"Vitvi13g01098","blue"
8,"Vitvi13g01468","green"
8,"Vitvi13g01608","green"
8,"Vitvi13g01616","green"
8,"Vitvi13g01638","green"
8,"Vitvi13g01984","green"
8,"Vitvi13g02083","green"
8,"Vitvi13g02285","lightcyan"
8,"Vitvi13g04289","green"
8,"Vitvi13g04528","green"
8,"Vitvi13g04529","green"
8,"Vitvi13g04540","grey60"
8,"Vitvi13g04677","green"
8,"Vitvi13g04698","green"
8,"Vitvi13g04706","green"
8,"Vitvi14g00679","turquoise"
8,"Vitvi14g01926","green"
8,"Vitvi14g02663","blue"
8,"Vitvi14g04416","white"
8,"Vitvi16g00160","green"
8,"Vitvi16g00901","green"
8,"Vitvi16g04295","turquoise"
8,"Vitvi16g04388","green"
8,"Vitvi16g04448","cyan"
8,"Vitvi17g00339","red"
8,"Vitvi17g00461","cyan"
8,"Vitvi17g00704","turquoise"
8,"Vitvi17g00936","blue"
8,"Vitvi17g01373","blue"
8,"Vitvi17g04171","green"
8,"Vitvi18g00174","green"
8,"Vitvi18g00191","cyan"
8,"Vitvi18g00462","green"
8,"Vitvi18g00473","brown"
8,"Vitvi18g02825","green"
8,"Vitvi19g00270","blue"
8,"Vitvi19g00476","green"
8,"Vitvi19g00709","green"
8,"Vitvi19g01484","blue"
8,"Vitvi19g01610","green"
8,"Vitvi19g01612","green"
8,"Vitvi19g01720","cyan"
8,"Vitvi19g01790","green"
8,"Vitvi19g04259","black"
8,"Vitvi19g04530","green"
8,"Vitvi19g04572","green"
12,"Vitvi00g04005","lightyellow"
12,"Vitvi00g04500","saddlebrown"
12,"Vitvi00g04634","saddlebrown"
12,"Vitvi00g04728","saddlebrown"
12,"Vitvi01g00463","turquoise"
12,"Vitvi01g00508","blue"
12,"Vitvi01g00612","turquoise"
12,"Vitvi01g00656","turquoise"
12,"Vitvi01g01038","blue"
12,"Vitvi01g01701","white"
12,"Vitvi01g04056","yellow"
12,"Vitvi01g04115","turquoise"
12,"Vitvi01g04132","darkgrey"
12,"Vitvi02g00032","turquoise"
12,"Vitvi02g00056","brown"
12,"Vitvi02g00086","violet"
12,"Vitvi02g00429","blue"
12,"Vitvi02g00446","blue"
12,"Vitvi02g01355","turquoise"
12,"Vitvi02g01360","violet"
12,"Vitvi02g04106","blue"
12,"Vitvi03g00318","green"
12,"Vitvi03g00692","turquoise"
12,"Vitvi03g00752","royalblue"
12,"Vitvi03g01258","darkgrey"
12,"Vitvi03g01809","tan"
12,"Vitvi03g04266","royalblue"
12,"Vitvi03g04466","darkgrey"
12,"Vitvi04g00017","turquoise"
12,"Vitvi04g01254","coral1"
12,"Vitvi04g01325","saddlebrown"
12,"Vitvi04g01375","saddlebrown"
12,"Vitvi04g01550","blue"
12,"Vitvi04g01555","royalblue"
12,"Vitvi04g01887","blue"
12,"Vitvi04g02114","turquoise"
12,"Vitvi04g04009","green"
12,"Vitvi04g04010","white"
12,"Vitvi04g04011","white"
12,"Vitvi04g04029","darkgrey"
12,"Vitvi05g00028","blue"
12,"Vitvi05g00108","blue"
12,"Vitvi05g00145","blue"
12,"Vitvi05g00726","blue"
12,"Vitvi05g01400","blue"
12,"Vitvi05g01579","tan"
12,"Vitvi05g01674","black"
12,"Vitvi05g04232","saddlebrown"
12,"Vitvi06g01410","turquoise"
12,"Vitvi06g01618","royalblue"
12,"Vitvi06g04121","white"
12,"Vitvi07g00283","turquoise"
12,"Vitvi07g00523","blue"
12,"Vitvi07g01267","turquoise"
12,"Vitvi07g01315","tan"
12,"Vitvi07g01342","midnightblue"
12,"Vitvi07g01407","violet"
12,"Vitvi07g01718","purple"
12,"Vitvi07g01719","purple"
12,"Vitvi07g02832","turquoise"
12,"Vitvi07g03086","brown"
12,"Vitvi08g00957","pink"
12,"Vitvi08g01333","darkgrey"
12,"Vitvi08g01617","white"
12,"Vitvi08g01846","grey60"
12,"Vitvi08g01897","turquoise"
12,"Vitvi08g02218","darkgrey"
12,"Vitvi08g02288","grey60"
12,"Vitvi09g00419","tan"
12,"Vitvi09g00867","turquoise"
12,"Vitvi09g01646","blue"
12,"Vitvi09g01698","brown"
12,"Vitvi09g04280","white"
12,"Vitvi09g04564","brown"
12,"Vitvi10g00984","royalblue"
12,"Vitvi10g01812","purple"
12,"Vitvi10g04044","royalblue"
12,"Vitvi10g04085","turquoise"
12,"Vitvi10g04282","blue"
12,"Vitvi10g04504","royalblue"
12,"Vitvi11g00075","blue"
12,"Vitvi11g00217","royalblue"
12,"Vitvi11g00285","turquoise"
12,"Vitvi11g00286","turquoise"
12,"Vitvi11g01637","darkgrey"
12,"Vitvi12g00368","greenyellow"
12,"Vitvi12g01881","black"
12,"Vitvi12g01882","black"
12,"Vitvi12g01921","tan"
12,"Vitvi12g02011","tan"
12,"Vitvi12g04108","tan"
12,"Vitvi12g04404","tan"
12,"Vitvi12g04463","tan"
12,"Vitvi12g04498","tan"
12,"Vitvi12g04515","tan"
12,"Vitvi12g04543","brown"
12,"Vitvi12g04545","tan"
12,"Vitvi12g04595","white"
12,"Vitvi12g04598","tan"
12,"Vitvi12g04607","tan"
12,"Vitvi13g00551","turquoise"
12,"Vitvi13g01098","blue"
12,"Vitvi13g01468","royalblue"
12,"Vitvi13g01608","white"
12,"Vitvi13g01616","white"
12,"Vitvi13g01638","white"
12,"Vitvi13g01984","white"
12,"Vitvi13g02083","royalblue"
12,"Vitvi13g02285","brown"
12,"Vitvi13g04289","royalblue"
12,"Vitvi13g04528","royalblue"
12,"Vitvi13g04529","royalblue"
12,"Vitvi13g04540","salmon"
12,"Vitvi13g04677","white"
12,"Vitvi13g04698","turquoise"
12,"Vitvi13g04706","white"
12,"Vitvi14g00679","turquoise"
12,"Vitvi14g01926","turquoise"
12,"Vitvi14g02663","blue"
12,"Vitvi14g04416","saddlebrown"
12,"Vitvi16g00160","turquoise"
12,"Vitvi16g00901","royalblue"
12,"Vitvi16g04295","turquoise"
12,"Vitvi16g04388","royalblue"
12,"Vitvi16g04448","tan"
12,"Vitvi17g00339","black"
12,"Vitvi17g00461","tan"
12,"Vitvi17g00704","turquoise"
12,"Vitvi17g00936","blue"
12,"Vitvi17g01373","blue"
12,"Vitvi17g04171","royalblue"
12,"Vitvi18g00174","royalblue"
12,"Vitvi18g00191","tan"
12,"Vitvi18g00462","turquoise"
12,"Vitvi18g00473","turquoise"
12,"Vitvi18g02825","turquoise"
12,"Vitvi19g00270","blue"
12,"Vitvi19g00476","white"
12,"Vitvi19g00709","white"
12,"Vitvi19g01484","blue"
12,"Vitvi19g01610","white"
12,"Vitvi19g01612","white"
12,"Vitvi19g01720","tan"
12,"Vitvi19g01790","turquoise"
12,"Vitvi19g04259","green"
12,"Vitvi19g04530","royalblue"
12,"Vitvi19g04572","white"
20,"Vitvi00g04005","yellow"
20,"Vitvi00g04500","saddlebrown"
20,"Vitvi00g04634","saddlebrown"
20,"Vitvi00g04728","saddlebrown"
20,"Vitvi01g00463","turquoise"
20,"Vitvi01g00508","blue"
20,"Vitvi01g00612","turquoise"
20,"Vitvi01g00656","turquoise"
20,"Vitvi01g01038","blue"
20,"Vitvi01g01701","pink"
20,"Vitvi01g04056","green"
20,"Vitvi01g04115","turquoise"
20,"Vitvi01g04132","lightyellow"
20,"Vitvi02g00032","turquoise"
20,"Vitvi02g00056","darkgreen"
20,"Vitvi02g00086","turquoise"
20,"Vitvi02g00429","blue"
20,"Vitvi02g00446","blue"
20,"Vitvi02g01355","turquoise"
20,"Vitvi02g01360","green"
20,"Vitvi02g04106","blue"
20,"Vitvi03g00318","black"
20,"Vitvi03g00692","turquoise"
20,"Vitvi03g00752","midnightblue"
20,"Vitvi03g01258","lightyellow"
20,"Vitvi03g01809","salmon"
20,"Vitvi03g04266","midnightblue"
20,"Vitvi03g04466","lightyellow"
20,"Vitvi04g00017","turquoise"
20,"Vitvi04g01254","grey"
20,"Vitvi04g01325","saddlebrown"
20,"Vitvi04g01375","saddlebrown"
20,"Vitvi04g01550","blue"
20,"Vitvi04g01555","midnightblue"
20,"Vitvi04g01887","blue"
20,"Vitvi04g02114","lightcyan"
20,"Vitvi04g04009","black"
20,"Vitvi04g04010","lightcyan"
20,"Vitvi04g04011","lightcyan"
20,"Vitvi04g04029","lightyellow"
20,"Vitvi05g00028","blue"
20,"Vitvi05g00108","blue"
20,"Vitvi05g00145","blue"
20,"Vitvi05g00726","yellow"
20,"Vitvi05g01400","blue"
20,"Vitvi05g01579","salmon"
20,"Vitvi05g01674","yellow"
20,"Vitvi05g04232","mediumpurple3"
20,"Vitvi06g01410","turquoise"
20,"Vitvi06g01618","midnightblue"
20,"Vitvi06g04121","lightcyan"
20,"Vitvi07g00283","turquoise"
20,"Vitvi07g00523","blue"
20,"Vitvi07g01267","turquoise"
20,"Vitvi07g01315","salmon"
20,"Vitvi07g01342","tan"
20,"Vitvi07g01407","green"
20,"Vitvi07g01718","plum1"
20,"Vitvi07g01719","plum1"
20,"Vitvi07g02832","greenyellow"
20,"Vitvi07g03086","magenta"
20,"Vitvi08g00957","purple"
20,"Vitvi08g01333","lightyellow"
20,"Vitvi08g01617","lightcyan"
20,"Vitvi08g01846","green"
20,"Vitvi08g01897","turquoise"
20,"Vitvi08g02218","midnightblue"
20,"Vitvi08g02288","royalblue"
20,"Vitvi09g00419","salmon"
20,"Vitvi09g00867","turquoise"
20,"Vitvi09g01646","darkturquoise"
20,"Vitvi09g01698","magenta"
20,"Vitvi09g04280","lightcyan"
20,"Vitvi09g04564","magenta"
20,"Vitvi10g00984","midnightblue"
20,"Vitvi10g01812","darkgrey"
20,"Vitvi10g04044","midnightblue"
20,"Vitvi10g04085","turquoise"
20,"Vitvi10g04282","grey"
20,"Vitvi10g04504","midnightblue"
20,"Vitvi11g00075","blue"
20,"Vitvi11g00217","midnightblue"
20,"Vitvi11g00285","turquoise"
20,"Vitvi11g00286","turquoise"
20,"Vitvi11g01637","lightyellow"
20,"Vitvi12g00368","pink"
20,"Vitvi12g01881","yellow"
20,"Vitvi12g01882","yellow"
20,"Vitvi12g01921","salmon"
20,"Vitvi12g02011","salmon"
20,"Vitvi12g04108","salmon"
20,"Vitvi12g04404","salmon"
20,"Vitvi12g04463","salmon"
20,"Vitvi12g04498","salmon"
20,"Vitvi12g04515","salmon"
20,"Vitvi12g04543","magenta"
20,"Vitvi12g04545","salmon"
20,"Vitvi12g04595","lightcyan"
20,"Vitvi12g04598","salmon"
20,"Vitvi12g04607","salmon"
20,"Vitvi13g00551","turquoise"
20,"Vitvi13g01098","blue"
20,"Vitvi13g01468","midnightblue"
20,"Vitvi13g01608","lightcyan"
20,"Vitvi13g01616","lightcyan"
20,"Vitvi13g01638","lightcyan"
20,"Vitvi13g01984","lightcyan"
20,"Vitvi13g02083","midnightblue"
20,"Vitvi13g02285","darkgreen"
20,"Vitvi13g04289","midnightblue"
20,"Vitvi13g04528","midnightblue"
20,"Vitvi13g04529","midnightblue"
20,"Vitvi13g04540","midnightblue"
20,"Vitvi13g04677","lightcyan"
20,"Vitvi13g04698","turquoise"
20,"Vitvi13g04706","lightcyan"
20,"Vitvi14g00679","turquoise"
20,"Vitvi14g01926","turquoise"
20,"Vitvi14g02663","blue"
20,"Vitvi14g04416","saddlebrown"
20,"Vitvi16g00160","turquoise"
20,"Vitvi16g00901","midnightblue"
20,"Vitvi16g04295","turquoise"
20,"Vitvi16g04388","midnightblue"
20,"Vitvi16g04448","salmon"
20,"Vitvi17g00339","yellow"
20,"Vitvi17g00461","salmon"
20,"Vitvi17g00704","turquoise"
20,"Vitvi17g00936","blue"
20,"Vitvi17g01373","blue"
20,"Vitvi17g04171","midnightblue"
20,"Vitvi18g00174","midnightblue"
20,"Vitvi18g00191","salmon"
20,"Vitvi18g00462","turquoise"
20,"Vitvi18g00473","turquoise"
20,"Vitvi18g02825","turquoise"
20,"Vitvi19g00270","blue"
20,"Vitvi19g00476","lightcyan"
20,"Vitvi19g00709","lightcyan"
20,"Vitvi19g01484","blue"
20,"Vitvi19g01610","lightcyan"
20,"Vitvi19g01612","lightcyan"
20,"Vitvi19g01720","salmon"
20,"Vitvi19g01790","turquoise"
20,"Vitvi19g04259","black"
20,"Vitvi19g04530","midnightblue"
20,"Vitvi19g04572","lightcyan"
