"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.155609355791356,3.58354424109444,0.757920607085358,13130.2103021472,13150.9547957709,13825.4115024544
2,0.624829215961513,-6.57540606626768,0.587124412252746,7317.57188175965,7132.03858383755,8998.07454157765
3,0.643816843286399,-3.40660471415961,0.751698344962651,4407.77406590228,4204.8067502057,6531.29141760497
4,0.705082568926537,-2.41077316108185,0.860142713730124,2822.61207093918,2617.01676641369,5051.60864309339
5,0.746399279713701,-1.95536040582614,0.906809978911507,1899.95556420089,1694.93414069896,4076.08918929591
6,0.789983763733799,-1.75207977346203,0.933656236149369,1332.9691150913,1135.53884424592,3389.8799317774
7,0.829172102792726,-1.6623300983209,0.948063431222252,968.255374905877,782.544240277621,2883.46825511517
8,0.858810641023958,-1.62600385360417,0.956224989000996,724.29739818004,551.484293194136,2495.60471114926
9,0.884682801208158,-1.60782204469171,0.964768317706179,555.505959199395,397.214015450886,2190.79076954439
10,0.896679586759264,-1.60502144094901,0.965577213300614,435.24093963801,291.419602592068,1947.35424602716
12,0.906318496429897,-1.60932645986075,0.961448337431201,281.599173373344,165.151786911082,1579.08969278016
14,0.903169285547212,-1.61233083159164,0.954994078973263,192.590679019112,98.1059646133709,1314.12501304621
16,0.907116765019447,-1.60117075512405,0.9562275956676,137.461920177397,60.8840978326614,1114.68262100192
18,0.909276056925509,-1.59654964968812,0.957916648264497,101.469776663769,38.9205816700916,959.43987015789
20,0.898020784325501,-1.59777865684101,0.950129095899686,76.9579718044525,25.5236618983506,835.452858708664
