"geneID","spearman_rho","pvalue","padj","fdr","module_size"
"Vitvi00g00444",0.181513726608301,0.289381641588613,1,0.297372317897467,20
"Vitvi00g00447",0.74411429702662,1.97545236237612e-07,0.00167617132947614,1.01956893520446e-06,14
"Vitvi00g00786",-0.478898349698169,0.00312849885508842,1,0.00444943224697037,77
"Vitvi00g00859",-0.824392187992147,6.42105911361328e-10,5.44826865790087e-06,1.04109350158145e-08,2118
"Vitvi00g01805",-0.508050448395883,0.00155977865082193,1,0.00271370142551241,78
"Vitvi00g04005",-0.837970916250063,1.82656115104778e-10,1.54983713666405e-06,4.01512211570996e-09,133
"Vitvi00g04006",-0.799794857867825,4.8678475750908e-09,4.13036866746454e-05,4.77499267914981e-08,219
"Vitvi00g04011",0.664410597026749,9.92134639857315e-06,0.0841826241918931,3.22045234092935e-05,21
"Vitvi00g04017",0.816811769737353,1.23759826433005e-09,1.05010212728405e-05,1.50229202758809e-08,140
"Vitvi00g04018",-0.552471922567315,0.000476236747738388,1,0.000915051812626864,104
"Vitvi00g04019",-0.382151208345003,0.0214447164072558,1,0.025139322839951,5
"Vitvi00g04022",0.854242196177249,3.4485174125585e-11,2.92606702455589e-07,8.97566571949658e-10,146
"Vitvi00g04024",0.866359712001401,8.69442361037607e-12,7.3772184334041e-08,3.36859289196534e-10,140
"Vitvi00g04030",-0.631396482934074,3.63959573998368e-05,0.308819698537615,9.48754834216957e-05,339
"Vitvi00g04032",-0.716412599866176,8.93892664680424e-07,0.0075846792598134,3.78099663998674e-06,288
"Vitvi00g04035",0.850316013631005,5.24901265229646e-11,4.45378723547355e-07,1.31768853120519e-09,90
"Vitvi00g04037",0.866359712001401,8.69442361037607e-12,7.3772184334041e-08,3.36859289196534e-10,129
"Vitvi00g04039",0.623100496111364,4.92944517664194e-05,0.418263423238068,0.000124224360926067,97
"Vitvi00g04040",-0.382151208345003,0.0214447164072558,1,0.025139322839951,500
"Vitvi00g04044",-0.478898349698169,0.00312849885508842,1,0.00444943224697037,608
"Vitvi00g04045",0.615682368648623,6.41873880190985e-05,0.544629987342051,0.000155786609651617,1145
"Vitvi00g04049",-0.624221522900733,4.73386834040076e-05,0.401668728683004,0.000119473149519038,1804
"Vitvi00g04146",0.440199493156902,0.00721598030084792,1,0.0094603820847798,475
"Vitvi00g04231",-0.217681068044622,0.202185093959942,1,0.210495769601241,131
"Vitvi00g04236",-0.372476494209687,0.0252748166470032,1,0.0292773814675525,136
"Vitvi00g04245",-0.478898349698169,0.00312849885508842,1,0.00444943224697037,57
"Vitvi00g04249",0.775445421235822,2.79559952748286e-08,0.000237206619906921,2.31421092592118e-07,54
"Vitvi00g04250",0.583558515095565,0.00018714223369946,1,0.00039866980992717,53
"Vitvi00g04251",-0.848818436201521,6.14198049747315e-11,5.21147045210596e-07,1.50186468360402e-09,20
"Vitvi00g04252",-0.478898349698169,0.00312849885508842,1,0.00444943224697037,14
"Vitvi00g04274",0.750289519408583,1.37448227308174e-07,0.00116624820870985,7.4855469108464e-07,105
"Vitvi00g04275",0.750289519408583,1.37448227308174e-07,0.00116624820870985,7.4855469108464e-07,157
"Vitvi00g04280",-0.563283869189166,0.00034775734695725,1,0.000691845507369816,897
"Vitvi00g04303",-0.478898349698169,0.00312849885508842,1,0.00444943224697037,155
"Vitvi00g04304",-0.304753495262471,0.0707229426338605,1,0.0767665559995275,12
"Vitvi00g04313",-0.75441642621575,1.07231136608592e-07,0.000909856194123899,7.4855469108464e-07,67
"Vitvi00g04315",-0.545296962533973,0.000583320667650517,1,0.00109817525294312,1306
"Vitvi00g04316",-0.509455846512001,0.00150595314155585,1,0.00262441913730434,112
"Vitvi00g04336",0.420850064886269,0.010590608809886,1,0.0133167332175286,275
"Vitvi00g04337",-0.678679836599203,5.37727468533649e-06,0.0456261757050801,1.82943767863192e-05,2265
"Vitvi00g04338",0.314428209397787,0.0618077618339936,1,0.0675388099370813,7
"Vitvi00g04360",-0.333561238507307,0.0468023594919455,1,0.0519583959556663,159
"Vitvi00g04361",-0.750289519408583,1.37448227308175e-07,0.00116624820870987,7.4855469108464e-07,593
"Vitvi00g04369",-0.824392187992147,6.42105911361328e-10,5.44826865790087e-06,1.04109350158145e-08,1653
"Vitvi00g04376",-0.48468611999998,0.00273778266345129,1,0.00444943224697037,300
"Vitvi00g04411",-0.126592058830255,0.461904702445306,1,0.468586967987616,27
"Vitvi00g04412",0.0628856418795575,0.715590124288946,1,0.71940547447769,18
"Vitvi00g04449",-0.750289519408583,1.37448227308175e-07,0.00116624820870987,7.4855469108464e-07,188
"Vitvi00g04454",0.449874207292219,0.00590725996608226,1,0.00786244718622871,3
"Vitvi00g04463",0.30483026903753,0.0706484356756703,1,0.0767665559995275,38
"Vitvi00g04469",-0.537084619459437,0.000731709404133355,1,0.00135115436214832,162
"Vitvi00g04497",0.14028335496209,0.414476147144056,1,0.421429611565886,6
"Vitvi00g04498",0.816811769737353,1.23759826433005e-09,1.05010212728405e-05,1.50229202758809e-08,41
"Vitvi00g04499",0.805428356395692,3.13964896328463e-09,2.66399214534701e-05,3.22908138829944e-08,48
"Vitvi00g04500",-0.816811769737353,1.23759826433008e-09,1.05010212728408e-05,1.50229202758809e-08,71
"Vitvi00g04501",-0.816811769737353,1.23759826433008e-09,1.05010212728408e-05,1.50229202758809e-08,71
"Vitvi00g04505",-0.0339637231008001,0.84410373195074,1,0.846498069448296,47
