"geneID","degree_centrality","is_significant_module_anchor"
"Vitvi09g01317",1415,TRUE
"Vitvi06g00947",1409,TRUE
"Vitvi05g01366",1399,TRUE
"Vitvi18g01148",1350,TRUE
"Vitvi18g01098",1322,TRUE
"Vitvi11g00480",1321,TRUE
"Vitvi08g01168",1303,TRUE
"Vitvi02g00118",1298,TRUE
"Vitvi14g01744",1291,TRUE
"Vitvi06g01398",1288,TRUE
"Vitvi12g00440",1274,TRUE
"Vitvi06g01596",1270,TRUE
"Vitvi18g00881",1260,TRUE
"Vitvi18g01022",1260,TRUE
"Vitvi13g01731",1242,TRUE
"Vitvi05g00542",1239,TRUE
"Vitvi08g01523",1229,TRUE
"Vitvi04g00735",1226,TRUE
"Vitvi13g00614",1222,TRUE
"Vitvi02g01236",1220,TRUE
"Vitvi01g00258",1218,TRUE
"Vitvi07g01732",1214,TRUE
"Vitvi05g00423",1213,TRUE
"Vitvi11g00398",1212,TRUE
"Vitvi12g00721",1211,TRUE
"Vitvi07g00400",1210,TRUE
"Vitvi19g00735",1209,TRUE
"Vitvi01g00052",1202,TRUE
"Vitvi14g01735",1199,TRUE
"Vitvi04g00600",1194,TRUE
"Vitvi03g00274",1191,TRUE
"Vitvi06g00575",1186,TRUE
"Vitvi06g00459",1183,TRUE
"Vitvi14g00114",1179,TRUE
"Vitvi14g02043",1178,TRUE
"Vitvi10g00949",1169,TRUE
"Vitvi06g01830",1167,TRUE
"Vitvi18g01235",1166,TRUE
"Vitvi03g00251",1165,TRUE
"Vitvi09g00018",1165,TRUE
"Vitvi13g01855",1165,TRUE
"Vitvi19g00280",1164,TRUE
"Vitvi18g00008",1161,TRUE
"Vitvi16g01418",1157,TRUE
"Vitvi07g00351",1154,TRUE
"Vitvi18g00697",1154,TRUE
"Vitvi07g00064",1137,TRUE
"Vitvi05g00006",1135,TRUE
"Vitvi18g00022",1129,TRUE
