"geneID","degree_centrality","is_significant_module_anchor"
"Vitvi06g00947",3635,TRUE
"Vitvi02g04187",3623,TRUE
"Vitvi09g00068",3619,TRUE
"Vitvi05g01366",3591,TRUE
"Vitvi09g01317",3588,TRUE
"Vitvi06g01398",3557,TRUE
"Vitvi13g01731",3523,TRUE
"Vitvi14g02043",3513,TRUE
"Vitvi11g00480",3501,TRUE
"Vitvi04g00600",3490,TRUE
"Vitvi14g01744",3488,TRUE
"Vitvi15g01018",3479,TRUE
"Vitvi18g01148",3474,TRUE
"Vitvi03g00274",3448,TRUE
"Vitvi07g01846",3443,TRUE
"Vitvi11g00401",3436,TRUE
"Vitvi18g01098",3433,TRUE
"Vitvi05g00542",3427,TRUE
"Vitvi05g00423",3419,TRUE
"Vitvi12g00303",3417,TRUE
"Vitvi02g00118",3413,TRUE
"Vitvi19g00280",3407,TRUE
"Vitvi13g00182",3397,TRUE
"Vitvi17g00443",3396,TRUE
"Vitvi06g01596",3391,TRUE
"Vitvi03g00535",3390,TRUE
"Vitvi08g01768",3388,TRUE
"Vitvi12g00721",3385,TRUE
"Vitvi06g01389",3372,TRUE
"Vitvi19g00735",3372,TRUE
"Vitvi18g01235",3368,TRUE
"Vitvi08g01168",3365,TRUE
"Vitvi10g00949",3355,TRUE
"Vitvi17g00673",3354,TRUE
"Vitvi19g00261",3354,TRUE
"Vitvi18g00008",3353,TRUE
"Vitvi01g01660",3349,TRUE
"Vitvi18g01022",3344,TRUE
"Vitvi02g01236",3336,TRUE
"Vitvi03g00251",3336,TRUE
"Vitvi15g00943",3335,TRUE
"Vitvi09g00438",3333,TRUE
"Vitvi12g00440",3333,TRUE
"Vitvi14g00114",3327,TRUE
"Vitvi18g00617",3326,TRUE
"Vitvi03g00553",3318,TRUE
"Vitvi18g00881",3318,TRUE
"Vitvi13g00614",3312,TRUE
"Vitvi18g00743",3309,TRUE
"Vitvi06g00459",3307,TRUE
"Vitvi12g02142",3299,TRUE
"Vitvi09g00018",3295,TRUE
"Vitvi16g00875",3295,TRUE
"Vitvi13g01672",3292,TRUE
"Vitvi15g01011",3290,TRUE
"Vitvi14g00952",3287,TRUE
"Vitvi08g01523",3286,TRUE
"Vitvi06g00417",3282,TRUE
"Vitvi14g01910",3276,TRUE
"Vitvi05g00321",3267,TRUE
"Vitvi05g00616",3265,TRUE
"Vitvi13g01855",3265,TRUE
"Vitvi01g00258",3263,TRUE
"Vitvi09g00030",3259,TRUE
"Vitvi04g00735",3257,TRUE
"Vitvi18g00697",3250,TRUE
"Vitvi06g00575",3249,TRUE
"Vitvi12g00443",3249,TRUE
"Vitvi18g01321",3248,TRUE
"Vitvi07g01124",3242,TRUE
"Vitvi19g00469",3235,TRUE
"Vitvi06g01830",3232,TRUE
"Vitvi14g01735",3231,TRUE
"Vitvi17g04009",3231,TRUE
"Vitvi07g01732",3229,TRUE
"Vitvi03g00088",3227,TRUE
"Vitvi01g01806",3225,TRUE
"Vitvi07g00064",3220,TRUE
"Vitvi07g00400",3219,TRUE
"Vitvi07g04656",3217,TRUE
"Vitvi02g00232",3212,TRUE
"Vitvi10g00414",3212,TRUE
"Vitvi15g00690",3210,TRUE
"Vitvi17g00228",3210,TRUE
"Vitvi11g00539",3209,TRUE
"Vitvi08g01059",3208,TRUE
"Vitvi15g01178",3202,TRUE
"Vitvi06g01227",3201,TRUE
"Vitvi16g00071",3200,TRUE
"Vitvi07g04401",3199,TRUE
"Vitvi06g01930",3197,TRUE
"Vitvi11g00398",3196,TRUE
"Vitvi18g02144",3194,TRUE
"Vitvi11g00089",3193,TRUE
"Vitvi06g00173",3191,TRUE
"Vitvi15g04494",3191,TRUE
"Vitvi01g00541",3190,TRUE
"Vitvi18g04039",3188,TRUE
"Vitvi12g00572",3187,TRUE
"Vitvi16g01418",3186,TRUE
"Vitvi18g00616",3185,TRUE
"Vitvi08g00961",3183,TRUE
"Vitvi01g00052",3182,TRUE
"Vitvi03g00223",3182,TRUE
"Vitvi04g00164",3181,TRUE
"Vitvi07g00351",3179,TRUE
"Vitvi10g00523",3179,TRUE
"Vitvi18g00274",3178,TRUE
"Vitvi08g01923",3175,TRUE
"Vitvi18g00043",3175,TRUE
"Vitvi18g02072",3175,TRUE
"Vitvi18g00022",3174,TRUE
"Vitvi03g00340",3170,TRUE
"Vitvi07g01699",3166,TRUE
"Vitvi04g01733",3163,TRUE
"Vitvi07g01439",3162,TRUE
"Vitvi16g01204",3157,TRUE
"Vitvi13g00738",3154,TRUE
"Vitvi06g00501",3153,TRUE
"Vitvi11g00360",3153,TRUE
"Vitvi18g01253",3145,TRUE
"Vitvi01g01782",3144,TRUE
"Vitvi05g00006",3144,TRUE
"Vitvi08g00041",3144,TRUE
"Vitvi19g00529",3142,TRUE
"Vitvi13g00028",3141,TRUE
"Vitvi17g00560",3141,TRUE
"Vitvi14g02010",3139,TRUE
"Vitvi05g01763",3138,TRUE
"Vitvi01g00542",3136,TRUE
"Vitvi07g02789",3135,TRUE
"Vitvi06g00447",3131,TRUE
"Vitvi02g00709",3126,TRUE
"Vitvi04g00479",3125,TRUE
"Vitvi08g02109",3120,TRUE
"Vitvi18g00472",3120,TRUE
"Vitvi16g00837",3113,TRUE
"Vitvi08g01410",3110,TRUE
"Vitvi04g00070",3105,TRUE
"Vitvi18g00137",3100,TRUE
"Vitvi09g00373",3099,TRUE
"Vitvi03g00482",3094,TRUE
"Vitvi10g00100",3088,TRUE
