common_name,gene,has_module_r0.8077,module_size,Rpv12_0h_log2FC,Rpv12_0h_padj,Rpv12_0h_DE_primary,upregulated_in_Rpv12_0h
SOBIR1,Vitvi17g00964,True,186,1.739,1.3327767516091e-06,True,True
EDS1,Vitvi17g04216,True,495,2.691,0.0003050655753611,True,True
EIX1,Vitvi09g04475,True,36,3.665,1.78447900977252e-06,True,True
SAG101,Vitvi14g03033,True,125,4.912,5.56961330200631e-07,True,True
PAD4,Vitvi07g01908,True,36,1.11,0.0001272877549172,True,True
WRKY51,Vitvi07g01847,True,38,1.66,0.0005414581602783,True,True
WRKY55,Vitvi13g00189,True,259,3.256,1.03676510485473e-06,True,True
SARD4,Vitvi16g01127,True,68,1.863,2.24252465310698e-05,True,True
ACD6,Vitvi05g00637,True,45,4.733,3.12701860480943e-24,True,True
RUN1/AthRUN1,Vitvi12g02607,True,85,2.45,4.30589510141473e-18,True,True
MIK2,Vitvi07g02294,True,162,2.416,7.54134939887835e-05,True,True
FERONIA,Vitvi01g01751,True,168,-10.981,1.6229874235473298e-11,True,False
LAZ5,Vitvi18g04640,True,138,-3.65,1.75247693972864e-05,True,False
