"","PearsonCorr","Pvals","Padj","FDR"
"Vitvi00g04005",0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723
"Vitvi00g04006",-0.675004170824618,6.31632119611022e-06,0.0203638195362593,0.000159092340127026
"Vitvi00g04313",0.720382602476694,7.27925607343024e-07,0.00234683215807391,3.57723386702336e-05
"Vitvi00g04500",-0.67618685082502,5.99900909659352e-06,0.0193408053274175,0.000154726442619343
"Vitvi00g04634",0.816811769737353,1.23759826433005e-09,3.99001680420009e-06,1.53462184776927e-07
"Vitvi00g04728",0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723
"Vitvi01g00463",0.740343236686949,2.45302599601654e-07,0.000790855581115734,1.55069721787399e-05
"Vitvi01g00508",0.67618685082502,5.99900909659363e-06,0.0193408053274179,0.000154726442619343
"Vitvi01g00612",0.757793138605192,8.72029469688381e-08,0.000281142301027534,6.85712929335449e-06
"Vitvi01g00656",-0.680989779962774,4.8542991724966e-06,0.015650260532129,0.000131155446250368
"Vitvi01g01038",0.709037994563675,1.29744768347651e-06,0.00418297133152828,5.22871416441035e-05
"Vitvi01g01701",-0.699475810351158,2.06875644256892e-06,0.0066696707708422,7.02070607457073e-05
"Vitvi01g01751",0.686105636929664,3.85737206962773e-06,0.0124361675524798,0.000110054580110441
"Vitvi01g02242",0.796837019063017,6.09467731187234e-09,1.96492396534764e-05,6.77559988050911e-07
"Vitvi01g04056",-0.701115533676863,1.91214561505384e-06,0.00616475746293357,6.63057507136115e-05
"Vitvi01g04115",0.713238185116801,1.05085825073372e-06,0.00338796700036551,4.34657156378871e-05
"Vitvi01g04132",0.700887740352874,1.9332321858187e-06,0.00623274056707948,6.63057507136115e-05
"Vitvi02g00032",-0.740378003562767,2.44817524107697e-07,0.000789291697723216,1.55069721787399e-05
"Vitvi02g00086",-0.702376916856849,1.79914609203237e-06,0.00580044700071236,6.44494111190272e-05
"Vitvi02g00429",0.756440696421423,9.47690051917933e-08,0.000305535272738342,7.2746493509129e-06
"Vitvi02g00446",0.748744122259241,1.50654856102604e-07,0.000485711256074797,1.01189845015583e-05
"Vitvi02g01355",-0.819760771205674,9.62256253728296e-10,3.10231416202003e-06,1.29263090084168e-07
"Vitvi02g01360",-0.713238185116801,1.05085825073373e-06,0.00338796700036554,4.34657156378871e-05
"Vitvi02g04106",0.657661183679129,1.31078878160574e-05,0.0422598303189691,0.000274414482590708
"Vitvi02g04134",0.680681876953935,4.92121579230629e-06,0.0158659997143955,0.000131155446250368
"Vitvi02g04135",0.686105636929664,3.85737206962773e-06,0.0124361675524798,0.000110054580110441
"Vitvi03g00318",-0.707062962734838,1.43083923232176e-06,0.00461302568500537,5.30232837356939e-05
"Vitvi03g00692",-0.65798725895509,1.29347424789739e-05,0.0417016097522118,0.000274414482590708
"Vitvi03g01258",-0.670011628443056,7.83176070412865e-06,0.0252495965101108,0.00018842982470232
"Vitvi03g01809",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi03g04266",-0.723551230754522,6.16320832208703e-07,0.00198701836304086,3.20486832748526e-05
"Vitvi03g04466",0.688537295588947,3.45252458433688e-06,0.0111309392599021,0.000101190356908201
"Vitvi04g00017",0.69471251797091,2.59273082141355e-06,0.00835896416823729,8.2762021467696e-05
"Vitvi04g01325",0.816811769737353,1.23759826433005e-09,3.99001680420009e-06,1.53462184776927e-07
"Vitvi04g01375",0.731763852262692,3.96103875756544e-07,0.0012770388954391,2.24041911480544e-05
"Vitvi04g01550",0.670011628443056,7.8317607041287e-06,0.0252495965101109,0.00018842982470232
"Vitvi04g01887",0.670011628443056,7.8317607041287e-06,0.0252495965101109,0.00018842982470232
"Vitvi04g02114",0.713238185116801,1.05085825073372e-06,0.00338796700036551,4.34657156378871e-05
"Vitvi04g04010",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi04g04011",0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09
"Vitvi04g04029",0.69471251797091,2.59273082141355e-06,0.00835896416823729,8.2762021467696e-05
"Vitvi05g00108",0.689897685138033,3.24336512260014e-06,0.0104566091552628,9.7725319208064e-05
