"","green","brown","pink","turquoise","tan","purple","magenta","blue","red","midnightblue","salmon","darkturquoise","yellow","greenyellow","darkred","black","orange","royalblue","lightyellow","lightgreen","cyan","lightcyan","grey60","darkgreen","darkgrey"
"Vitvi00g04005",0.0095389507154213,0.0108820160366552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04500",0.00554235946159937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118483412322275,0,0,0,0,0,0,0,0,0.255555555555556
"Vitvi00g04634",0.00949367088607595,0.000564971751412429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252631578947368
"Vitvi00g04728",0.00790513833992095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117785630153121,0,0,0,0,0,0,0,0,0.268817204301075
"Vitvi01g00463",0,0,0,0.00523279216422917,0,0,0,0,0.00217391304347826,0,0,0,0.0264227642276423,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00508",0,0.00505514705882353,0,0,0,0,0,0.100477381223005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00612",0,0,0,0.0153680237260717,0,0,0.00718562874251497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00656",0,0,0,0.181438014299204,0,0,0.000484027105517909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01038",0,0.00102722136620442,0,0,0,0,0,0.0456610631531122,0,0,0,0,0.000606428138265616,0,0,0,0,0,0.0326409495548961,0,0,0,0,0,0
"Vitvi01g01701",0,0,0,0.000670241286863271,0,0,0,0,0.00223964165733483,0,0,0,0.0319001386962552,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04056",0,0,0,0.0197926484448633,0,0,0.0172811059907834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04115",0,0,0,0.00604838709677419,0,0,0,0,0,0,0,0,0.0189189189189189,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126582278481013,0,0.08,0,0
"Vitvi02g00032",0,0,0,0.140582838640043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00056",0.0078064012490242,0.00112107623318386,0.050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00086",0,0,0,0.00888410284022076,0,0,0.0164348925410872,0,0,0,0,0,0,0,0,0.00447928331466965,0,0,0,0,0,0,0,0,0
"Vitvi02g00429",0,0.00547695116385212,0,0,0,0,0,0.103863636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00446",0,0.0120481927710843,0.00436681222707424,0,0,0,0,0.07313769751693,0,0,0,0,0,0.00102354145342886,0,0,0,0,0.0225409836065574,0,0,0,0,0,0
"Vitvi02g01355",0,0,0,0.0415542363734485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
