"","lightyellow","brown","black","turquoise","darkred","lightcyan","bisque4","green","yellow","blue","violet","red","darkgreen","plum1","maroon","sienna3","paleturquoise","magenta","lavenderblush3","white","midnightblue","darkseagreen4","yellowgreen","darkturquoise","darkslateblue","cyan","salmon","purple","orangered4","darkorange2","lightsteelblue1","greenyellow","tan","brown4","skyblue","orange","grey60","floralwhite","ivory","royalblue","skyblue3","palevioletred3","plum2","darkolivegreen","pink","darkorange","honeydew1","darkmagenta","lightgreen","navajowhite2","coral2","steelblue","thistle1","darkgrey","saddlebrown","mediumpurple3","antiquewhite4","salmon4","thistle2","coral1","lightcyan1","lightpink4"
"Vitvi00g04005",0.0029673590504451,0,0.0160349854227405,0,0,0,0,0,0,0.000219202104340202,0,0,0,0,0,0,0,0.0087719298245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276497695852535,0,0.00436681222707424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00557103064066852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161111111111111,0,0,0,0,0,0,0
"Vitvi00g04634",0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952380952380952,0,0,0,0,0,0,0,0,0,0,0,0.187845303867403,0,0,0,0,0,0,0
"Vitvi00g04728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826446280991736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18232044198895,0,0,0,0,0,0,0
"Vitvi01g00463",0,0,0,0.00635727908455181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105058365758755,0,0,0,0,0,0.0043956043956044,0,0,0,0,0,0.00754716981132075,0,0,0,0,0,0,0,0.0163934426229508,0,0,0,0,0.00139082058414465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00508",0.00263852242744063,0,0.0017905102954342,0,0,0,0,0,0,0.0989858906525573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00612",0,0,0,0.0162679425837321,0,0,0,0,0.0130151843817787,0,0.0216606498194946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00656",0,0,0,0.210450852317986,0,0.000585823081429408,0,0,0.00139082058414465,0,0.000663129973474801,0,0,0,0,0,0,0,0,0,0.0111567821491486,0,0,0,0,0,0,0.000547945205479452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01038",0,0,0.00570776255707763,0,0,0,0,0,0,0.0449042482940788,0,0,0.0082815734989648,0,0,0,0,0,0,0,0,0,0,0,0,0.00338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01701",0,0,0,0.000317309217832778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12719298245614,0,0,0,0,0,0.00467289719626168,0,0,0,0,0,0.0368098159509202,0,0,0,0,0,0,0,0,0,0,0,0,0.00289435600578871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
