"","red","yellow","black","turquoise","purple","magenta","brown","darkgrey","blue","lightyellow","green","midnightblue","darkturquoise","grey60","greenyellow","lightcyan","lightgreen","cyan","salmon","darkred","pink","tan","darkgreen","royalblue"
"Vitvi00g04005",0.0160771704180064,0.00682261208576998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04006",0.0316706254948535,0.00238095238095238,0.0296296296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04313",0,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180940892641737,0,0,0
"Vitvi00g04500",0.0087719298245614,0.000484027105517909,0,0,0,0,0,0,0,0.00454545454545455,0,0,0,0,0,0.0883534136546185,0,0,0,0,0,0,0,0
"Vitvi00g04634",0.0103420843277645,0.00387596899224806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739299610894942,0,0,0,0,0,0,0,0
"Vitvi00g04728",0.0111642743221691,0.000483325277912035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873015873015873,0,0,0,0,0,0.00292397660818713,0,0
"Vitvi01g00463",0,0,0,0.00267809319764328,0.00301204819277108,0.0902777777777778,0,0,0,0,0.00111607142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00508",0,0.0133176654915785,0,0,0,0,0,0,0.119276556776557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00612",0,0,0,0.006664265129683,0,0,0.00499092558983666,0,0,0,0.00511945392491468,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00656",0,0,0,0.271877807726864,0,0,0.00789115646258503,0,0,0,0.001230012300123,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01038",0,0.00477845351867941,0.0189818809318378,0,0,0,0,0,0.0563057907988098,0,0,0,0,0,0,0,0,0,0,0,0.000906618313689937,0,0,0
"Vitvi01g01701",0,0,0,0.000897343862167983,0.00480769230769231,0.0521861777150917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01751",0,0,0,0,0,0.00239520958083832,0,0,0,0,0.0782710280373832,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g02242",0,0,0,0,0,0.00248447204968944,0,0,0,0,0.0607476635514019,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04056",0,0,0,0.00284798860804557,0,0,0.0376492194674013,0,0,0,0.00221238938053097,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04115",0,0,0,0.00663558106169297,0,0.0581867388362652,0.000446827524575514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04132",0,0,0,0.000540735400144196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193704600484262,0,0,0
"Vitvi02g00032",0,0,0,0.220265900107797,0,0.00153217568947906,0.00915264245645114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00086",0,0,0,0.00954095409540954,0,0.00128865979381443,0.00224315836698071,0,0,0,0.00960994912379876,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00429",0,0.0134493670886076,0.00280504908835905,0,0,0,0,0,0.112534309240622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00446",0,0.0088638195004029,0.0170496664195701,0,0,0,0,0,0.0975108472253939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01355",0,0,0,0.0726226856012943,0,0,0.0113104524180967,0,0,0,0,0,0,0,0.00198216055500496,0,0,0,0,0,0,0,0,0
"Vitvi02g01360",0,0,0,0.00126422250316056,0,0,0,0,0,0,0.0029120559114735,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04106",0,0.0034910783553142,0.0069204152249135,0,0,0,0,0,0.123133471169309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04134",0,0,0,0,0,0.00121065375302663,0,0,0,0,0.0730566919929866,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04135",0,0,0,0,0,0.00120336943441637,0,0,0,0,0.075978959672706,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00318",0,0,0,0.000361402240693892,0,0.00284495021337127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00692",0,0,0,0.0873873873873874,0,0.00584795321637427,0.00112866817155756,0,0,0,0.0036281179138322,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g01258",0,0,0,0.000538116591928251,0,0.0135685210312076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394736842105263,0,0,0
"Vitvi03g01809",0.073051948051948,0.000471031559114461,0.00100908173562059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g04266",0,0,0,0.0037661406025825,0,0.0580110497237569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225733634311512,0,0,0
"Vitvi03g04466",0,0,0,0.00126103404791929,0,0,0,0,0,0,0,0,0,0,0.00166389351081531,0,0,0,0,0,0.0216606498194946,0,0,0
"Vitvi04g00017",0,0,0,0.00703844071467244,0,0,0.00318326512050932,0,0,0,0,0,0,0,0.00321543408360129,0,0,0,0,0,0,0,0,0
"Vitvi04g01325",0.015115354017502,0.00386473429951691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722433460076046,0,0,0,0,0,0,0,0
"Vitvi04g01375",0.0144115292233787,0.00193704600484262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581395348837209,0,0,0,0,0,0,0,0
"Vitvi04g01550",0,0.0121023513139696,0.0106981981981982,0,0,0,0,0,0.191659070191431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01887",0.00126262626262626,0.01143583227446,0.0178282009724473,0,0,0,0,0,0.0695553021664766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g02114",0,0,0,0.00307025465053278,0.00165837479270315,0.00556328233657858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04010",0,0,0,0.000178858880343409,0,0.0809659090909091,0,0,0,0,0.00113122171945701,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04011",0,0,0,0.000357270453733476,0,0.0923295454545455,0,0,0,0,0.00056274620146314,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04029",0,0,0,0.000721240533717995,0,0,0.000459770114942529,0,0,0,0,0,0,0,0.00848896434634975,0,0,0,0,0,0.00960384153661465,0,0,0
