"","greenyellow","green","pink","turquoise","purple","midnightblue","orange","tan","yellow","black","mediumpurple3","brown","blue","darkgreen","bisque4","lightpink4","skyblue2","red","violet","darkgrey","honeydew1","darkorange2","lightcyan","white","skyblue","thistle2","lavenderblush3","lightyellow","grey60","darkred","salmon","magenta","darkmagenta","plum1","sienna3","palevioletred3","royalblue","skyblue1","lightcyan1","lightgreen","darkslateblue","saddlebrown","plum2","darkseagreen4","darkturquoise","navajowhite2","cyan","maroon","brown4","steelblue","orangered4","lightsteelblue1","paleturquoise","ivory","salmon4","darkolivegreen","yellowgreen","skyblue3","darkorange","yellow4","antiquewhite4","thistle1","coral1","coral2","mediumorchid","floralwhite"
"Vitvi00g04005",0.0234042553191489,0.00910125142207053,0,0,0.00496688741721854,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307692307692308,0,0.0173697270471464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04006",0.0441767068273092,0.00108108108108108,0.0281065088757396,0,0.0109546165884194,0,0.00711743772241993,0,0,0,0,0,0.000242130750605327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00274725274725275,0,0.0466200466200466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04313",0,0,0.00941915227629513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412979351032448,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04500",0,0.00338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00313479623824451,0,0.00529100529100529,0,0,0.137614678899083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04634",0,0.0124716553287982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129464285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04728",0,0.00224971878515186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125391849529781,0,0.00520833333333333,0,0,0.140909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00463",0,0,0,0.000615668770201632,0,0,0,0.0040650406504065,0.071969696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325732899022801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00508",0,0.00499643112062812,0,0,0,0,0,0,0,0,0,0.00394588500563698,0.132858546168959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00612",0,0,0,0.00590428837787446,0,0,0,0,0,0.0089171974522293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446096654275093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00656",0,0,0,0.239763350459287,0,0,0,0,0.000385653682992673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028328611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01038",0.00137551581843191,0,0,0,0,0,0,0,0,0,0,0.00132890365448505,0.068193008370261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029585798816568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01701",0,0,0,0,0,0,0,0.00663716814159292,0.0379867046533713,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01751",0,0,0,0,0,0,0,0,0.00169204737732657,0,0,0,0,0,0,0,0,0.168978562421185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g02242",0,0,0,0,0,0,0,0,0.00173611111111111,0,0,0,0,0,0,0,0,0.129722921914358,0,0,0,0,0,0,0,0,0,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04056",0,0,0,0.00400431233636224,0,0,0,0,0,0.091264667535854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04115",0,0,0,0.00432766615146832,0,0,0,0,0.0473098330241187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150375939849624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04132",0,0,0,0.000310848616723656,0,0,0,0,0.000938086303939962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477611940298507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00032",0,0,0,0.190786412284784,0,0,0,0,0.00566448801742919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00929978118161926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00086",0,0,0,0.00838639540301289,0,0,0,0,0.000890471950133571,0.00123456790123457,0,0,0,0,0,0,0,0.00463499420625724,0,0,0,0,0,0,0.00423728813559322,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00429",0,0,0,0,0,0,0,0,0,0,0,0.00400228702115495,0.128659286592866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00446",0.00218102508178844,0.00302800908402725,0,0,0.00674373795761079,0,0.00441826215022091,0,0,0,0,0,0.111383709519136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189035916824197,0,0.00161550888529887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01355",0,0,0,0.0674559900295996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00196463654223969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01360",0,0,0,0.00109000311429461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04106",0.002,0.00142247510668563,0,0,0.000887311446317658,0,0.00130890052356021,0,0,0,0,0.00735294117647059,0.131469217561933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04134",0,0,0,0,0,0,0,0,0.000852514919011083,0,0,0,0,0,0,0,0,0.157828282828283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04135",0,0,0,0,0,0,0,0,0.000848896434634975,0,0,0,0,0,0,0,0,0.164141414141414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00318",0,0,0,0.000311575011684063,0,0,0,0,0.0019047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00692",0,0,0,0.0753690753690754,0,0,0,0,0.00583657587548638,0,0,0,0,0,0,0,0,0.000773395204949729,0,0,0,0,0,0,0,0,0,0,0,0.0111265646731572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g01258",0,0,0,0,0,0,0,0,0.0101569713758079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g01809",0.0227703984819734,0.00318471337579618,0.00140252454417952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187817258883249,0,0,0,0,0,0,0,0,0.00533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g04266",0,0,0,0.000308641975308642,0,0,0,0,0.0549763033175355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127551020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g04466",0,0,0,0.00046583850931677,0,0,0,0,0.00280112044817927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056047197640118,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g00017",0,0,0,0.00653900046707146,0,0,0,0,0.00182815356489945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316957210776545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01325",0,0.0123873873873874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00914634146341463,0,0,0,0,0.140969162995595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01375",0,0.00678733031674208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00940438871473354,0,0,0,0,0.126126126126126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01550",0,0.0011454753722795,0,0,0.000681663258350375,0,0.00272232304900181,0,0,0,0,0.00616698292220114,0.2145659637077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105042016806723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01887",0.00500625782227785,0.00248756218905473,0,0,0.00323974082073434,0,0.00176991150442478,0,0,0,0,0,0.0847874170557877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g02114",0,0,0,0.000466128029832194,0,0,0,0.00232018561484919,0.015180265654649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04010",0,0,0,0,0,0,0,0,0.0552380952380952,0,0,0,0,0,0,0,0,0.00235571260306243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04011",0,0,0,0.000154225786551511,0,0,0,0,0.0628571428571429,0,0,0,0,0,0,0,0,0.00116550116550117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04029",0,0,0,0.000155424308361828,0,0,0,0,0.00282220131702728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166112956810631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324483775811209,0,0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00108",0,0,0,0,0.000997008973080758,0,0.00470219435736677,0,0,0,0,0,0.105120630231413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00675",0.00158730158730159,0,0.00124223602484472,0,0.018842530282638,0,0.00767263427109974,0,0,0,0,0,0.0402157920549289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004149377593361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
