"","magenta","pink","turquoise","cyan","salmon","blue","purple","red","yellow","bisque4","brown","plum2","violet","green","greenyellow","black","mediumpurple3","midnightblue","skyblue3","steelblue","darkred","royalblue","grey60","thistle2","skyblue","yellowgreen","saddlebrown","paleturquoise","darkmagenta","lightcyan","darkolivegreen","darkgreen","tan","palevioletred3","darkorange","orange","ivory","white","thistle1","darkslateblue","darkorange2","lightyellow","darkturquoise","darkgrey","maroon","floralwhite","sienna3","brown4","lightgreen","lightsteelblue1","plum1","navajowhite2","orangered4","lightpink4","salmon4","lavenderblush3","lightcyan1"
"Vitvi00g04005",0.0126315789473684,0,0,0,0,0.00105440742302826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143884892086331,0,0,0,0,0,0,0,0,0,0.0371287128712871,0,0,0,0,0,0,0,0,0,0,0.018348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04006",0,0.0420841683366733,0,0,0,0.00167434072833822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00626959247648903,0,0,0,0,0,0,0,0,0,0.0725995316159251,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04313",0,0.012987012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619834710743802,0,0,0,0,0,0,0,0
"Vitvi00g04500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452488687782805,0,0,0.0128205128205128,0,0,0.149321266968326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04634",0.0145833333333333,0,0,0,0,0.00021043771043771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140969162995595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04728",0.00206611570247934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180995475113122,0,0,0,0,0,0.142222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.0126582278481013,0,0
"Vitvi01g00463",0,0,0.00215788527243302,0,0,0,0.00959692898272553,0.123364485981308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386100386100386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00508",0.000999000999000999,0,0,0,0,0.11704834605598,0,0,0,0,0.00131406044678055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00612",0,0,0.00562103354487761,0,0,0,0,0,0.0126436781609195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688073394495413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00656",0,0,0.266426642664266,0,0,0,0,0,0.00936967632027257,0,0,0,0,0,0,0.0124131082423039,0,0.00164293537787514,0,0,0,0,0,0,0.0058411214953271,0,0,0.00353148911124191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
