"","tan","greenyellow","purple","turquoise","grey60","darkred","cyan","green","magenta","plum1","blue","brown","red","salmon","skyblue","paleturquoise","yellow","black","darkolivegreen","darkgreen","white","lightgreen","darkturquoise","lightyellow","midnightblue","violet","pink","sienna3","darkorange2","darkmagenta","orange","brown4","lightcyan","saddlebrown","darkorange","orangered4","lightcyan1","bisque4","floralwhite","yellowgreen","royalblue","darkslateblue","thistle1","ivory","darkgrey","thistle2","mediumpurple3","steelblue","skyblue3","plum2","lightsteelblue1"
"Vitvi00g04005",0.00823045267489712,0.015358361774744,0,0,0.0102564102564103,0,0,0,0,0,0,0,0,0.0021505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0.0224887556221889,0,0,0,0.00460829493087558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04006",0.011472275334608,0.00316455696202532,0.0273972602739726,0,0.00697674418604651,0,0,0,0,0,0.00184459303666129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510204081632653,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04313",0,0,0.00972447325769854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0.0710659898477157,0,0,0,0,0,0
"Vitvi00g04500",0.00614754098360656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786240786240786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04634",0.022680412371134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698795180722892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi00g04728",0.0040650406504065,0,0,0,0,0,0,0,0,0,0.000232072406590856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085995085995086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00463",0,0,0,0.00228380024360536,0,0,0.00395256916996047,0.0785714285714286,0,0,0,0,0,0,0,0,0.00102880658436214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00508",0.00198216055500496,0,0,0,0,0,0,0,0,0,0.125962211336599,0.00588581518540318,0,0,0,0,0,0,0,0.00378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00612",0,0,0,0.00706605222734255,0,0,0,0,0.00149700598802395,0,0,0,0.00998751560549313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00656",0,0,0,0.231251913070095,0,0,0,0,0,0,0,0,0.00130718954248366,0,0,0,0,0.0146654445462878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01038",0.00135869565217391,0,0,0,0,0,0,0,0,0,0.0647801683816651,0.00139567341242149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015220700152207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01701",0,0,0,0.000764642911760208,0,0,0.00643776824034335,0.0433212996389892,0,0,0,0,0,0,0,0,0,0,0,0,0.00454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01751",0,0,0,0,0,0,0,0.00209205020920502,0,0,0,0,0,0,0,0,0.150392817059484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g02242",0,0,0,0.000151423379769836,0,0,0,0.00215982721382289,0,0,0,0,0,0,0,0,0.111731843575419,0,0,0,0,0,0,0.00259067357512953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00803212851405622,0,0,0
"Vitvi01g04056",0,0,0,0.00334397324821401,0,0,0,0,0,0,0,0,0.100515463917526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595238095238095,0,0,0,0,0.00396825396825397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04115",0,0,0,0.00565489836466453,0,0,0,0.05,0.00144508670520231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04132",0,0,0,0.000460475825019186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829015544041451,0,0,0,0,0,0
"Vitvi02g00032",0,0,0,0.189665746703465,0,0,0,0.000961538461538462,0,0,0,0,0,0,0,0,0,0.0110120608285265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00086",0,0,0,0.0102950215119852,0,0,0,0.00111482720178372,0.00145560407569141,0,0,0,0.00363636363636364,0,0,0,0.00416233090530697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00429",0,0.000917431192660551,0,0,0,0,0,0,0,0,0.122487143525012,0.00297796307325789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00446",0.00107874865156419,0.00388726919339164,0,0,0.00240963855421687,0,0,0,0,0,0.107376283846872,0,0,0.00221729490022173,0,0,0,0,0,0.0028169014084507,0,0,0,0,0,0,0,0,0,0,0,0,0.00117924528301887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01355",0,0,0,0.0630078184884256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222428174235403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01360",0,0,0,0.00169230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04106",0.00099009900990099,0.000896860986547085,0,0,0,0,0,0,0,0,0.125699626865672,0.00529411764705882,0,0,0,0,0,0,0,0.00632911392405063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04134",0,0,0,0,0,0,0,0.00105596620908131,0,0,0,0,0,0,0,0,0.140449438202247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04135",0,0,0,0,0,0,0,0.00105042016806723,0,0,0,0,0,0,0,0,0.146067415730337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00318",0,0,0,0.000307644977695739,0,0,0,0.00242718446601942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00692",0,0,0,0.0759065765212047,0,0,0,0.00531107738998483,0,0,0,0,0,0,0,0,0.000718907260963336,0.000854700854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g01258",0,0,0,0.000305670181873758,0,0,0,0.0128354725787631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16256157635468,0,0,0,0,0,0
"Vitvi03g01809",0,0.00153374233128834,0.00144300144300144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g04266",0,0,0,0.00274977085242896,0,0,0,0.0521945432977461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,0,0
"Vitvi03g04466",0,0,0,0.0010739490641301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248756218905473,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0
"Vitvi04g00017",0,0,0,0.00723076923076923,0,0,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01325",0.0224032586558045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01375",0.0123203285420945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01550",0,0.000687285223367698,0,0,0.00159616919393456,0,0,0,0,0,0.205271751807791,0.00490436488474743,0,0.000754147812971342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000786782061369001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01887",0.00370828182941904,0.00218579234972678,0,0,0.00280112044817927,0,0,0,0,0,0.0815611124094415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g02114",0,0,0,0.00261377613776138,0,0,0.00224719101123596,0.00476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04010",0,0,0,0.000152485513876182,0,0,0,0.0690909090909091,0,0,0,0,0,0,0,0,0.00211193241816262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04011",0,0,0,0.000304645849200305,0,0,0,0.0787878787878788,0,0,0,0,0,0,0,0,0.00104602510460251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
